metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,18.351627061109514,15.884560924645305,21.64061914163189,18.315989058311903,15.747513151619458,21.63361858022569,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2100,44.82004049327944,33.569813646240284,98.3947143017859,44.59943315508701,33.2360279470883,98.52614516002525,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2130,74.73305695857904,42.966515508656286,149.95965947939908,73.62612551135078,42.53122048422947,150.39839772305268,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2150,97.37386391025109,48.56364405834497,184.45363427558732,96.0684162661112,48.05445095471252,184.96286915160277,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2180,130.492836051937,56.388168162069086,236.49539200271303,128.79441809515612,55.78497356824609,236.96319725446648,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2300,252.83909035919967,80.56445420324216,438.3393044832385,249.8206275301321,79.65711736472556,438.4895421332672,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
ais@2130,29.64242262720293,6.053926752772773,100.30986189995785,28.860620619487072,5.982452806654526,100.88364307489461,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gsic@2130,8.694729992082987,7.274960827838239,11.035153913909635,8.606680239060882,7.2458529152394116,10.730605849860856,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gis@2130,9.33078428781886,6.824021912654129,13.753427036703576,9.255157311986972,6.782452322092482,13.779746360100367,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
te@2130,22.46307856389649,14.520686819473895,31.440237128660716,22.45875385623045,14.446911028240594,31.44245992533757,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
