state,postal,median_USD,N_draws,state_pop,median_USD_per_capita
Louisiana,LA,68482054612.069824,1000,6268647.987,10924.533448694003
Florida,FL,61488201989.109604,1000,30017680.5,2048.399508719856
New Jersey,NJ,18347511624.386448,1000,14874579.71,1233.4810113694598
California,CA,14070825276.88013,1000,68692389.74,204.83819721715992
Virginia,VA,13781186931.778584,1000,11155174.42,1235.4075707745485
Massachusetts,MA,12273339750.622963,1000,8113445.765,1512.7160649262025
New York,NY,8364899156.075452,1000,29487567.57,283.6754552988533
North Carolina,NC,7118247136.368332,1000,12208657.79,583.0491163573136
Maryland,MD,3669484701.798973,1000,7667239.344,478.5926899061172
Pennsylvania,PA,2557124754.26397,1000,12588384.05,203.13367816768903
South Carolina,SC,2389929923.850164,1000,6130082.517,389.86912773562
Georgia,GA,1523686246.927562,1000,15848527.07,96.14055869026332
Mississippi,MS,894990241.1071751,1000,3972417.076,225.30117658450402
Washington,WA,624895261.8318911,1000,8541149.109,73.16290277305018
Delaware,DE,555864653.1234167,1000,1115789.704,498.1804825144871
Alabama,AL,544319763.272688,1000,6659553.771,81.73517055196821
Connecticut,CT,351791332.1783872,1000,3843580.918,91.52697437197216
Rhode Island,RI,287180218.3140863,1000,1099010.986,261.3078685949426
Maine,ME,233564959.3056466,1000,1014008.881,230.3381791639817
Oregon,OR,143448093.27285832,1000,4756900.606,30.15578948442261
District of Columbia,DC,94016965.08538981,1000,946592.0481,99.32152427658853
New Hampshire,NH,82885844.7953976,1000,1303529.174,63.585722858088936
