year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,2.3369871161420687e-09,0.0,5.464488483174537e-10,0.0,1.7905382678246151e-09,0.0002243770875576607,0.0,0.23382621347931912,0.0,0.7661737865206809,0.0001420001810519267,0.00023228753884119158,0.0002919919664954307
2032,7.149826279789155e-09,0.0,1.7066458719677943e-09,0.0,5.443180407821361e-09,0.0004187986748483629,0.0,0.238697529867554,0.0,0.761302470132446,0.0002891892968204246,0.00043397232746400505,0.0005412164454110524
2033,1.320551444854192e-08,0.0,3.3752507420915364e-09,0.0,9.830263706450383e-09,0.0005946952434420211,0.0,0.25559403650981677,0.0,0.7444059634901832,0.00043035417875891824,0.0006164228684291118,0.0007659569397269195
2034,2.021705655426969e-08,0.0,5.597322264832377e-09,0.0,1.4619734289437313e-08,0.0007569022110591099,0.0,0.2768613843368937,0.0,0.7231386156631062,0.0005383866806205617,0.0007847582592788171,0.0009712323221346963
2035,2.808235873818243e-08,0.0,8.408553999349531e-09,0.0,1.9673804738832897e-08,0.0009087354848904773,0.0,0.29942477687662206,0.0,0.7005752231233779,0.0006437976815938384,0.0009443896272927077,0.0011617555653824496
2036,0.00010072723180262322,0.0,0.0,0.0,0.00010072723180262322,0.0011147889023628448,0.0,0.0,0.0,1.0,0.0007590764722120724,0.0010795842849748993,0.0013398220407427885
2037,0.00036134521930197383,0.0,0.0,0.0,0.00036134521930197383,0.0014213924824538504,0.0,0.0,0.0,1.0,0.000871383273063131,0.0012157262192005192,0.001507113339437538
2038,0.0012664394697633951,2.2824807399296466e-05,0.0,0.00025170059030791636,0.0009919140720561822,0.0024989217070843623,0.0180228174691687,0.0,0.1987466407336,0.7832305417972312,0.000979128009205965,0.001353021127119547,0.0016663354587933554
2039,0.0018551319409338865,3.137240492409725e-05,0.0,0.00040915909992801696,0.0014146004360817723,0.0031804201820001543,0.016911144825798297,0.0,0.2205552558822546,0.7625335992919471,0.0010855191925660534,0.0014858064326546128,0.0018187131572560133
2040,0.00219826703455054,3.617040723583644e-05,0.0,0.0004601228381827372,0.0017019737891319664,0.0036162446289434887,0.016454055247765602,0.0,0.20931162181432358,0.774234322937911,0.0011881607030375108,0.001615087408939786,0.001964606981132988
2041,0.0029925931948667495,4.904689958803211e-05,0.0,0.0006581656118132057,0.0022853806834655117,0.004492721173185688,0.016389430969823485,0.0,0.2199315339425918,0.7636790350875847,0.0012840146961501375,0.0017387787563869495,0.0021054959514934524
2042,0.0033147791761050116,5.311471994356758e-05,0.0,0.0007542860512440281,0.0025073784049174158,0.0049191479316336275,0.016023607342067155,0.0,0.2275524284336618,0.756423964224271,0.001378696472569274,0.0018598983553950177,0.0022417143951827256
2043,0.004225367437760108,6.739267153376238e-05,0.0,0.001028498245128028,0.003129476521098318,0.005924722242895911,0.015949541081683446,0.0,0.24341036851300224,0.7406400904053143,0.0014659314183251837,0.001979419565817153,0.0023739414039667395
2044,0.004807872502839176,6.961528112248239e-05,0.0,0.0012029826232989116,0.0035352745984177816,0.00660394647348625,0.014479435775672655,0.0,0.2502110075898474,0.7353095566344798,0.001546320664711942,0.002095903763407847,0.0025020809151037327
2045,0.005611922748887114,7.866986997906847e-05,0.0,0.0014131315565610086,0.004120121322347036,0.007469757094767843,0.014018345137532282,0.0,0.25180880418235324,0.7341728506801144,0.0016233963168197363,0.0022090819278410834,0.0026271810188838174
2046,0.006046265475328308,8.055896873630981e-05,0.0,0.0015604941549188418,0.004405212351673157,0.008020127379216608,0.013323756468357107,0.0,0.25809223251714863,0.7285840110144943,0.0016981174514860697,0.002320802377173692,0.002749158083279468
2047,0.006378517337958469,7.810603790840611e-05,0.0,0.0016384596294983938,0.004661951670551669,0.00844890108365586,0.012245171372914228,0.0,0.256871549089934,0.7308832795371518,0.0017711440045147242,0.002430630552520796,0.002868254488660682
2048,0.007184295748639951,0.00010212879372810297,0.0,0.0018515541990136008,0.005230612755898247,0.009302438438781663,0.014215560898566409,0.0,0.257722435683987,0.7280620034174465,0.0018425243177375705,0.0025378812449119437,0.002985238796526346
2049,0.0075425292513882835,0.00010055641573780135,0.0,0.0019027674588739803,0.005539205376776502,0.009718984251281764,0.013331922540345847,0.0,0.25227180372204133,0.7343962737376128,0.0019112042479783042,0.0026436679360521964,0.0030998042675527415
2050,0.007954438787906689,0.00010017689272182245,0.0,0.001955256157457538,0.005899005737727329,0.010172459402152374,0.01259383539089189,0.0,0.24580692737621637,0.7415992372328918,0.0019781163827374826,0.0027467647131196316,0.003212626970782395
2051,0.008233751647696592,9.856710554574977e-05,0.0,0.0019664275525310944,0.006168756989619747,0.01050019325414528,0.011971105003309654,0.0,0.23882522046693094,0.7492036745297593,0.0020434561690798603,0.0028477221997675883,0.0033233120821662965
2052,0.008864452133686394,0.00011623418984434681,0.0,0.002144810011864147,0.006603407931977901,0.011179392490616767,0.013112394098518231,0.0,0.24195629684924483,0.744931309052237,0.0021077144075896115,0.0029472642833212603,0.0034334443867578557
2053,0.009189682606598148,0.00011253289401995683,0.0,0.002243831188963965,0.006833318523614226,0.011565156231435463,0.012245569171144034,0.0,0.24416851865513886,0.7435859121737172,0.0021707048524568506,0.003044288468068146,0.0035413076901882334
2054,0.009569329737068137,0.00011140166386885842,0.0,0.0022520773740205406,0.007205850699178737,0.01194985360314882,0.011641532576448744,0.0,0.23534327229803817,0.753015195125513,0.0022319541138777765,0.003139487517888284,0.003647623862583771
2055,0.010184781082093456,0.0001217543619236047,2.7516878500925867e-06,0.0023619444004588644,0.007698330631860894,0.012596896535289509,0.01195453892844778,0.0002701764355966878,0.23190919681244368,0.7558660878235118,0.002292334988077016,0.0032340597582312114,0.003753300208735766
2056,0.010769098534782771,0.00012092956735894775,2.1907618653527867e-05,0.002483322840415677,0.00814293850835462,0.013211497925330596,0.011229311995647655,0.0020343038540105414,0.2305970952345613,0.7561392889157806,0.002351400543329163,0.0033265317816457696,0.003857169549391415
2057,0.011181150358014341,0.00012772421232986708,9.124556784452455e-05,0.002575288571291522,0.008386892006548428,0.013680000317424704,0.01142317277205005,0.008160660121981298,0.2303241159301311,0.7500920511758377,0.002409606019408983,0.003418065216941102,0.003960024348700131
2058,0.011732632897604796,0.0001318092841873207,9.8881311249796e-05,0.0026999106064098687,0.00880203169575781,0.014073723468272766,0.011234416463693279,0.008427887594606536,0.23011975487284295,0.7502179410688573,0.002466848244381481,0.003507565198205498,0.004060824107270378
2059,0.012018524531930933,0.00013338378212958616,0.00011026615168357188,0.0027293275376056203,0.009045547060512154,0.014404853130787123,0.011098182790675414,0.009174682914746789,0.22709339489671268,0.752633739397865,0.0025231526596272147,0.0035956107484267363,0.004160723119248644
2060,0.012208964758144057,0.0001327681462004013,0.00011295013246294047,0.0027661308871469903,0.009197115592333726,0.01465624839537663,0.010874644069378412,0.00925140949297904,0.2265655558798978,0.7533083905577448,0.0025782065427790712,0.0036822592869683035,0.00425921807495655
2061,0.01255459157088383,0.00013440651895153943,0.0001095107011629575,0.0027493423130727913,0.00956133203769654,0.01499989087220833,0.010705765949666601,0.00872276095519753,0.21899098011670645,0.7615804929784293,0.002632458849653574,0.003768500426829746,0.004357201300628333
2062,0.012664115070395452,0.00013452493244260182,0.00010778607050533238,0.0027990535499975585,0.009622750517449959,0.015185844446760797,0.010622529224886545,0.008511141118521645,0.2210224350014655,0.7598438946551263,0.002686103711312171,0.003853124426690613,0.004453452721676854
2063,0.012928880626708905,0.00013643078027110927,0.00010491545356026001,0.0027490505403640927,0.009938483852513443,0.015456462907690175,0.01055240466752134,0.008114813384812465,0.2126286582525183,0.7687041236951478,0.0027387460154884025,0.003936417000872439,0.004549112580512826
2064,0.01311689976277705,0.00013579033993797138,0.00010703783169490103,0.0027450816174854624,0.010128989973658714,0.015680071464154312,0.010352319709213244,0.008160299585322094,0.20927823396771056,0.7722091467377541,0.0027907987532529432,0.004018146129581623,0.004643461693653705
2065,0.013268497814894477,0.0001493337054877197,0.00016126822020901227,0.0027008127692510226,0.010257083119946723,0.015887926378999582,0.011254756007125841,0.012154218394487848,0.20355075660631608,0.7730402689920702,0.0028417684638029073,0.004099909313978856,0.004736645337722223
2066,0.013609866428488129,0.000146125875722591,0.00018194624802202945,0.0027677471017944913,0.010514047202949017,0.01626164348674299,0.010736760459068195,0.01336870196177533,0.2033632818027554,0.7725312557764011,0.0028926614096533854,0.004180644803028599,0.00483006242778572
2067,0.013726271242802422,0.00014731315220492568,0.0001820661261590006,0.0027596071792125947,0.010637284785225902,0.01642194029459077,0.01073220466061907,0.013264062973727824,0.20104565401617255,0.7749580783494806,0.0029417946281853347,0.004260344556143991,0.00492287960438631
2068,0.013745546528406998,0.0001468779560170314,0.0001811876869440808,0.0027555830155168125,0.010661897869929073,0.016509803521760406,0.010685494077189916,0.013181555682026348,0.20047096780197382,0.7756619824388099,0.0029900485159544132,0.004338983394646334,0.005014311389608395
2069,0.013847484817468312,0.00014501025880124698,0.00018556305310106036,0.002765040154453845,0.01075187135111216,0.01666864311562476,0.010471956511432283,0.013400487925935579,0.19967815028515537,0.7764494052774767,0.0030379983099848573,0.004416980341886756,0.005105275049579916
2070,0.01426897889790691,0.00015241226601676123,0.00020924200823868458,0.002754630160912938,0.011152694462738526,0.01704270143132724,0.010681371603900704,0.014664119257291627,0.19305026523776062,0.781604243901047,0.0030866131722220302,0.004494759258165004,0.005196361205861422
2071,0.014398412488262957,0.00015201204331837027,0.00021102426336117074,0.0027802583536429806,0.011255117827940435,0.01722918136616062,0.010557555802925132,0.014656078476234083,0.19309478429718155,0.7816915814236592,0.0031341080146063405,0.0045730178596059545,0.005284970903957742
2072,0.014586132692766412,0.00015341388612057536,0.00020680374010480663,0.0028084229581750307,0.011417492108366,0.017403999547742195,0.010517790380218927,0.01417810631925522,0.19254061493405927,0.7827634883664666,0.0031810003200192227,0.004649754184427479,0.0053736450881487485
2073,0.014741875826766147,0.00015459941107853666,0.0002033426311091025,0.0028054899846495502,0.011578443799928957,0.017598640782440927,0.01048709220558198,0.013793538454577309,0.1903075305759767,0.785411838763864,0.0032271645075780953,0.004725640831395594,0.005460539970798095
2074,0.014948091608322955,0.00015831823256986545,0.00019657482379447397,0.002846511607045894,0.01174668694491272,0.01785118996857998,0.010591200316280866,0.013150496327238387,0.1904264224244507,0.7858318809320299,0.0032733156046731438,0.004799843406374293,0.00554840056308592
2075,0.015091245362852702,0.00016024677841500228,0.00019356019823312171,0.0028474834548339522,0.011889954931370626,0.018030578225930308,0.01061852581162399,0.012825992393548426,0.18868445819872956,0.787871023596098,0.0033191827858658485,0.00487410877772021,0.005634780504536252
2076,0.015259275523174475,0.00015925338830545218,0.00019454148713419703,0.0029095867168470934,0.011995893930887732,0.018261514606960745,0.010436497333283735,0.012749064451896431,0.19067659617445556,0.7861378420403642,0.0033646065009662607,0.004947077268454336,0.005721960562155459
2077,0.015379568750823457,0.00015723706854080428,0.00020907848049399086,0.0028759830379554577,0.012137270163833204,0.018411689773806812,0.010223763168416894,0.013594560672112234,0.18700023937936952,0.7891814367801013,0.003408924452561024,0.005019414836411329,0.005806291165953326
2078,0.015530928680084701,0.00015718231038710346,0.00020949964084642577,0.002924010416643536,0.012240236312207636,0.018627017356627706,0.010120599587110217,0.01348918954956422,0.18827015929787846,0.7881200515654471,0.0034525833721872345,0.005091314051398399,0.005890887222903984
2079,0.015581969273720435,0.00015609273731424537,0.0002168492417549948,0.0028965845285346473,0.012312442766116547,0.01872481621150687,0.010017523110990953,0.013916677535792541,0.18589335389204265,0.7901724454611738,0.003495809964029206,0.005162042989510951,0.005974264529697848
2080,0.015676176077696957,0.00015439189363218743,0.00021684057664017706,0.002901619802980598,0.012403323804443995,0.018874037144949535,0.009848823645955736,0.013832491773850621,0.1850974235425203,0.7912212610376734,0.003538547911595913,0.005231184086738949,0.006057509411860451
2081,0.015967429284390558,0.00015490672009342034,0.00021383480113708634,0.0028068927782704837,0.012791794984889566,0.01904580182237727,0.009701418890569573,0.013391936631034716,0.17578864626721388,0.8011179982111818,0.0035811828529972445,0.005300193624549365,0.006140818611854115
2082,0.016065512793171817,0.0001539990924968971,0.0002172505656786322,0.0027795843236078964,0.01291467881138839,0.01918052417830338,0.009585694181037904,0.013522790618359115,0.173015599277309,0.8038759159232939,0.003623150823059973,0.005368116437310277,0.0062240756911791095
2083,0.016152013342941626,0.00015466357129253566,0.00021509330274081806,0.00274614462864204,0.013036111840266233,0.01929893506783017,0.009575497989550825,0.013316810615118337,0.17001871966890714,0.8070889717264237,0.0036647319745526374,0.005436250183706193,0.0063057775176957875
2084,0.016235868452552923,0.00015393367626116315,0.00022606057698879955,0.0027377841956211487,0.01311809000368181,0.01939824812676365,0.009481086688464679,0.013923528491834624,0.16862566998629877,0.8079697148334019,0.0037065806002090085,0.005502440498332817,0.0063862526025673105
