year,model_p05,model_p50,model_p95,CSIRO_Recons
1850,-16.696407963547692,-10.141748691523258,-3.9375573303477878,
1851,-15.025696946653683,-10.43832275239478,-6.5852961477982905,
1852,-14.925826153916594,-10.378815397263782,-6.5541799069170805,
1853,-14.817400978658064,-10.31784778624933,-6.516428925652299,
1854,-14.739900192202114,-10.261303749616687,-6.485738115510325,
1855,-14.645793864454559,-10.207538128062938,-6.45538873931283,
1856,-14.557416569499845,-10.14996899570377,-6.42830605319795,
1857,-14.468160886152894,-10.090597104535252,-6.396485086990492,
1858,-14.384431207519786,-10.03641308173392,-6.369127259363624,
1859,-14.2747712265036,-9.972011140393306,-6.337089769523952,
1860,-14.166862406411362,-9.910846471937845,-6.302267360361683,
1861,-14.077407147679212,-9.84587190914354,-6.2678489907570185,
1862,-13.996644381765224,-9.801411465528144,-6.24669183929286,
1863,-13.924880525194736,-9.768357521014588,-6.238847865740578,
1864,-13.838255122030446,-9.719240673463318,-6.221367651985741,
1865,-13.733611923142327,-9.658881211189211,-6.188108155716967,
1866,-13.625072591785546,-9.595172952066038,-6.151470597916487,
1867,-13.530694040505788,-9.5330216432583,-6.114832165508607,
1868,-13.428803601981523,-9.467117987284428,-6.077886044623465,
1869,-13.328413243951049,-9.400902430240512,-6.043518520450447,
1870,-13.221642701859583,-9.337472935946854,-6.0001946571031635,
1871,-13.123858591339689,-9.271489822871873,-5.961609209367298,
1872,-13.01518450310539,-9.204271510174387,-5.921281815829724,
1873,-12.926568167863744,-9.14248280522966,-5.880204695863247,
1874,-12.83370912704861,-9.08403675847167,-5.848653159550664,
1875,-12.740365011550034,-9.023914542183977,-5.816790494298165,
1876,-12.648551433710217,-8.964746595500793,-5.775618311594608,
1877,-12.553961674908566,-8.904644651726167,-5.741768839130592,
1878,-12.457468100340412,-8.843610079812313,-5.707193336801259,
1879,-12.365899304555914,-8.781417342542348,-5.662931112209466,
1880,-12.267570605968471,-8.718981072002313,-5.632039779549984,-17.078
1881,-12.17003611582391,-8.658814496329928,-5.587012812834318,-16.517999999999997
1882,-12.067067471129912,-8.596475903628372,-5.551204236752961,-18.198
1883,-11.978367739028638,-8.543545649304102,-5.525003961360381,-17.668
1884,-11.94018919669557,-8.545214547987838,-5.551941085998167,-15.578
1885,-11.907953660266196,-8.548697549308082,-5.58176590344094,-15.728
