year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1900,-0.7418972194309503,-0.6167203960565699,-0.4915196303700097,-1.2740957791223744,0.018730760402933255,-0.6340783032503996,-6.217958210561276,-5.569907747004555,-4.875037566840778,-7.272393753014111,-3.8103146840960633,-7.27700420293,-4.2215387155789195,-4.048913528686773,-3.8747707750655054,-5.109990153395933,-2.9771641421000234,-4.130332357233222,-4.370273667538729,-4.090387378497741,-3.7252161704692894,-5.202941359357655,-2.9329708304671565,-3.6098928928375242,-14.079485408669989,-12.939944208671772,-12.092567383949985,NaN,NaN,-13.937918849348069,-5.83348844224866
1901,-0.734460542204254,-0.6122334634720504,-0.49040650581514267,-1.2511343008428617,0.033307072516314935,-0.6286254796114836,-6.187563469361953,-5.542104770830164,-4.854124038496801,-7.282869123230668,-3.782420112605814,-7.19201579961,-4.162772979812761,-3.9971779219938437,-3.8292514992746045,-5.034803477665714,-2.9293837746442972,-4.14182832891291,-4.337390646456237,-4.059610291149238,-3.697186721700381,-5.199016334325516,-2.968250203510012,-3.6964476108551025,-13.660293627729368,-12.53150322888262,-11.686441604031597,NaN,NaN,-13.717743189686836,-5.772558634940015
1902,-0.7274978689209944,-0.6073039574895911,-0.48811439723366223,-1.2464506359883625,0.05055741436589084,-0.6231535824862393,-6.119507599470323,-5.4844383603489275,-4.803149467641665,-7.176164580999267,-3.7874316828812695,-7.10599819097,-4.101201050640723,-3.9425704487214364,-3.782940152168125,-5.037193894997658,-2.927464815812524,-4.110059530084785,-4.304412282859212,-4.028743967325459,-3.669076003083429,-5.136657336337121,-2.965176937121913,-3.7697138309478753,-13.362960621765799,-12.249206427128648,-11.418938927958857,NaN,NaN,-13.307361420412224,-5.710599622311371
1903,-0.7196793782112437,-0.6025391775698492,-0.4860562537135063,-1.2088664600487935,0.018285084214031078,-0.6177760037508879,-6.04705710171104,-5.425424313201286,-4.7489104654895264,-7.167421974556308,-3.7604431106737333,-7.04884410771,-4.063320181267636,-3.9122358311702743,-3.758055018482766,-4.955572120374377,-2.8120219165367137,-4.069244558160955,-4.31017704200321,-4.034139532875013,-3.673989877045509,-5.105881148770942,-2.920521352784129,-3.89201683998108,-13.252698357476302,-12.151724071917862,-11.333657647662259,NaN,NaN,-13.366047505500095,-5.677504135062726
1904,-0.7123661808687893,-0.5983486406090017,-0.4844644039825523,-1.2078297881247262,0.02376058163454016,-0.612356558713046,-5.986464300361544,-5.377202945849535,-4.710865465485675,-7.017324122845183,-3.722904724004226,-6.9647086707,-4.038808423222537,-3.892792213021301,-3.745213276680594,-4.843780606783499,-2.961606034623244,-3.986545354669745,-4.426511977828928,-4.143024007711082,-3.7731536404838155,-5.271686328770573,-2.9983995108417987,-4.005975580215455,-13.320166159046828,-12.225974947361728,-11.413174754235357,NaN,NaN,-13.401862591297018,-5.617427294064083
1905,-0.7060588547378511,-0.5952238001010357,-0.4838548137381247,-1.2132256164237742,0.024906565107591122,-0.6069045933810149,-5.9261062764943215,-5.3289777611431965,-4.667006318265608,-7.009664931933293,-3.700739573964814,-6.86514507207,-4.025528207471222,-3.8813700606645285,-3.738311133310367,-4.740450680585494,-3.039336944052237,-3.965610296075995,-4.45212335182331,-4.1669951474844895,-3.794984745766874,-5.2082153278867,-3.0956515888024643,-4.084479761123657,-13.216096527622014,-12.134190421491192,-11.32970488204727,NaN,NaN,-13.311246733632538,-5.541922291445438
1906,-0.6993449502288853,-0.5918317654494334,-0.4836373605482635,-1.1773482765078525,0.02587315914590354,-0.6014521512118254,-5.8546408411858115,-5.271465300673892,-4.618732910872849,-6.902727594324196,-3.6163238258595536,-6.78516536626,-3.9866515139023533,-3.8485946986748027,-3.7102052046164715,-4.708900331225689,-2.9913372356287136,-3.9195184534246272,-4.422482137651801,-4.139252251374559,-3.769718609423005,-5.296513030561524,-3.011285442291829,-4.1820330142974855,-13.28774009263109,-12.211065693524024,-11.418801616177538,NaN,NaN,-13.567440039263273,-5.4860011816467935
1907,-0.692201140834253,-0.5877009646239197,-0.48278304017657325,-1.1758761979240882,0.005665347535280258,-0.5960208806124601,-5.792187692486543,-5.213913362775511,-4.57545219312442,-6.8132455110433625,-3.587128811003409,-6.7199607459,-3.9772041776602984,-3.8418743055092204,-3.7063389283579737,-4.746493995584561,-2.983293246846089,-3.8829637354070488,-4.375863326300528,-4.09561905765303,-3.729980789070069,-5.126002956423147,-3.0583650478270785,-4.245766305923461,-13.194244116805727,-12.133580902637778,-11.352680377302919,NaN,NaN,-13.430518857797505,-5.444855157298149
1908,-0.684982438408612,-0.5836436059429447,-0.48135589125014105,-1.2213209032761612,0.005340857801897052,-0.5906124981966887,-5.737830448339766,-5.168516139527879,-4.542527192740712,-6.805247569985766,-3.495015848935958,-6.64097972783,-3.97012607114637,-3.837146736139444,-3.702629348508774,-4.641211333560476,-3.020769895913966,-3.8119527643377134,-4.3648437759962135,-4.085305234558543,-3.7205877372596436,-5.173387912601576,-2.878762794784803,-4.304152536392211,-13.034050612140588,-11.996889986452725,-11.224872099111556,NaN,NaN,-13.478100215899776,-5.389932735239505
1909,-0.6795436126858438,-0.5801055174312983,-0.4796847818967567,-1.154081187635661,0.017656374112108422,-0.5851665410128508,-5.675653041358349,-5.116725311872271,-4.499157859515796,-6.712894774077159,-3.506292992367438,-6.56629558477,-3.916766274343015,-3.7906480899261012,-3.6614862837495283,-4.500767794128498,-3.084835619890497,-3.7546384638006036,-4.331285505110137,-4.053896142561355,-3.6919827063467383,-5.102209779222769,-2.966855203582663,-4.4123697757720945,-12.802603108928338,-11.775907519480533,-11.015717787838618,NaN,NaN,-13.127202387002756,-5.33930718819086
