component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.6203014496283863,0.013776853622013308,true,true
glaciers,1900,-5.835341914166678,-5.575838652585215,0.25950326158146275,true,true
gis,1900,-4.130332357233222,-4.073514828569659,0.05681752866356238,true,true
te,1900,-3.6098928928375242,-4.084747730567097,-0.4748548377295725,false,true
total,1900,-13.937918849348069,-12.977917096152195,0.9600017531958738,true,false
ais,1950,-0.36264223185452554,-0.3688752938769184,-0.006233062022392877,true,true
glaciers,1950,-2.40107880885278,-2.55243907349508,-0.1513602646423,true,true
gis,1950,-1.3604312723333192,-1.3173879328885918,0.04304333944472738,true,true
te,1950,-2.815257120132446,-2.5610448192667947,0.2542123008656514,false,true
total,1950,-5.985805844939225,-5.350329662099539,0.6354761828396862,false,false
ais,2000,0.0017998782071199648,-0.008825364377035794,-0.010625242584155759,false,true
glaciers,2000,-0.00850888165561,-0.0006566462826773645,0.007852235372932635,false,true
gis,2000,-0.04322274381464186,-0.04877859099303583,-0.005555847178393969,false,true
te,2000,-0.23769707679748553,-0.015214095188306409,0.22248298160917912,false,true
total,2000,-0.2893630562230687,-0.30232424907362043,-0.01296119285055175,false,false
ais,2018,0.696409138766202,0.5708682122145501,-0.12554092655165194,false,true
glaciers,2018,1.20556921092,1.1440274799941386,-0.06154173092586146,true,true
gis,2018,1.2730523759668522,1.2696738988575738,-0.0033784771092784105,true,true
te,2018,2.074393606185913,2.609740085518037,0.5353464793321239,false,true
total,2018,5.965000044906917,6.181146971618569,0.2161469267116516,true,false
ais,2025,0.7663673305319003,0.8510958277290194,0.08472849719711906,false,true
glaciers,2023,1.63055217082,1.483504151619902,-0.14704801920009802,true,true
gis,2025,1.6502983936827973,1.6597215370200824,0.009423143337285111,true,true
te,2025,3.2329575871586798,3.8307780187516007,0.597820431592921,false,true
total,2024,8.225314682835013,8.34189226534548,0.11657758251046779,true,false
ais,2019,0.6917651205871491,0.6093735594009386,-0.0823915611862105,false,true
ais,2020,0.7446601482114583,0.6475796958547169,-0.09708045235674145,false,true
ais,2022,0.7131118056700219,0.7265370628827701,0.013425257212748232,true,true
ais,2024,0.7646276896479223,0.8087523926932885,0.0441247030453662,true,true
ais,2025,0.7663673305319003,0.8510958277290194,0.08472849719711906,false,true
