year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.7736945372399084,-1.2919100762320088,-0.7908130465609366,-2.071845934503897,-0.5083167571586528,-0.7681519642532018,-7.301246177339644,-6.401069459433437,-5.34141184520402,-8.180825566031984,-4.542405842100474,-7.27700420293,-4.516298568822819,-4.103172769130209,-3.7038458288820753,-5.239721129874434,-2.923918847062042,-4.130332357233222,-4.01910650258785,-3.617033834852055,-3.211944839501285,-4.8217625205906645,-2.40670873292137,-3.6098928928375242,-15.642994322488844,-14.094248208682894,-12.6942930003693,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-1.7557399301411547,-1.2785664319025205,-0.7851735227747599,-2.0129119523172365,-0.4633666558244272,-0.7626991406142858,-7.263725729415597,-6.372358540747571,-5.315748517358383,-8.140910788944622,-4.377531166011587,-7.19201579961,-4.461825571260941,-4.055703989268834,-3.6625105961761064,-5.193292916349961,-2.9174252814654165,-4.14182832891291,-3.990905089578213,-3.5916536999935205,-3.1894071478714103,-4.790359255071821,-2.4102758496980776,-3.6964476108551025,-15.218207687318687,-13.682574040063182,-12.299909190827039,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-1.7376606386535187,-1.26692991323837,-0.7815844309663872,-2.0307343192297993,-0.5105043201606951,-0.7572272434890415,-7.188190836434991,-6.307930667291742,-5.264160156675368,-8.086082310127336,-4.46935371566904,-7.10599819097,-4.4011638895588865,-4.004375146723808,-3.6208272640906167,-5.177619708099925,-2.916537981477748,-4.110059530084785,-3.9668312138257615,-3.5699881822779354,-3.170168055565672,-4.743721284043365,-2.44735595226537,-3.7697138309478753,-14.91827564927083,-13.401176469217141,-12.034067712688623,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-1.7196176321372425,-1.2557805243768398,-0.7793158410418181,-1.9987775559161245,-0.48728472938659323,-0.7518496647536901,-7.107614381216153,-6.238326960720592,-5.212713671692229,-8.093447423459505,-4.406156882324254,-7.04884410771,-4.360530131667421,-3.970931046313728,-3.5950718293210384,-5.074965029179617,-2.8009345268343124,-4.069244558160955,-3.947284630489474,-3.552397045233524,-3.154547034466469,-4.771512457773524,-2.3896733315251866,-3.89201683998108,-14.760779125964566,-13.258558328123456,-11.912267534438957,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-1.7007928781350297,-1.2447329226711932,-0.777235124165599,-1.9934704095274942,-0.4967675874407936,-0.7464302197158481,-7.037996602017044,-6.1814557038752955,-5.16767676658372,-7.963505372846139,-4.343551378197771,-6.9647086707,-4.32365926060441,-3.944966905605077,-3.5772440140871087,-4.932413410033213,-2.916628375831038,-3.986545354669745,-3.9736519469483444,-3.576126567132129,-3.17561897321132,-4.7611219176452035,-2.363620271715359,-4.005975580215455,-14.70513729972649,-13.225271210064285,-11.895636505825243,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-1.6811731406013601,-1.2317520832291076,-0.7767320216144264,-1.96780061824668,-0.5242173018550852,-0.740978254383817,-6.970641346538544,-6.124795079549602,-5.123676722748035,-7.851242225940891,-4.298642385965101,-6.86514507207,-4.297333427770339,-3.926183148267631,-3.565480024259909,-4.867205234648673,-3.0061250306853085,-3.965610296075995,-3.9582245779245793,-3.5622425569159835,-3.1632898999978933,-4.707006339932691,-2.4453353568391982,-4.084479761123657,-14.523166673821013,-13.068007788022262,-11.747746515913828,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-1.662252740264643,-1.2197192109846298,-0.7745326561041375,-1.930533348905466,-0.49024141571081614,-0.7355258122146275,-6.889383814709598,-6.055662537012792,-5.067750034595974,-7.798711434635979,-4.202683829071743,-6.78516536626,-4.251526997305714,-3.890179111152257,-3.53790439859449,-4.809053282801095,-3.0071684180564455,-3.9195184534246272,-3.9276545998204484,-3.5347308089535616,-3.138859324855879,-4.799697485769927,-2.279671755925683,-4.1820330142974855,-14.561577138586692,-13.126339877239,-11.818077455718928,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-1.643326121648463,-1.2087107954119252,-0.772968980583741,-1.8843825564692305,-0.4906115700498531,-0.7300945416152622,-6.809508581191963,-5.989856788864092,-5.013193843321998,-7.742105439912906,-4.250444292368105,-6.7199607459,-4.23044873722995,-3.8747629497170597,-3.529793460431893,-4.831564420451718,-2.9372866466816023,-3.8829637354070488,-3.8947032035719378,-3.5050758806604847,-3.1125255944442523,-4.641594824258133,-2.3871353289835535,-4.245766305923461,-14.458887350383742,-13.038448262388687,-11.744905030474802,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-1.624688594292264,-1.1982449106176842,-0.7714104648542176,-1.9190297843481179,-0.4895227838292332,-0.7246861591994909,-6.745791202328482,-5.93581214551828,-4.9729961451780005,-7.714270030153437,-4.075697175158376,-6.64097972783,-4.210251855623945,-3.8608328826163607,-3.521001037433634,-4.754193859957208,-2.954318219494896,-3.8119527643377134,-3.928452928306589,-3.5354492724090174,-3.1394973241374697,-4.707595007955025,-2.2516645207497565,-4.304152536392211,-14.326775926590223,-12.917355360732511,-11.638624811500005,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-1.6060057343142937,-1.1872134508544074,-0.7704464986545909,-1.8816882464014622,-0.4775435925698123,-0.719240202015653,-6.672927169089919,-5.875120461892261,-4.925811706413602,-7.539897473186002,-4.019142982701489,-6.56629558477,-4.156145739144597,-3.817915120571378,-3.4848122152565244,-4.6122491339032425,-3.0092402490140056,-3.7546384638006036,-3.941956152796379,-3.5476016301103437,-3.150288680920049,-4.7485255675808435,-2.339288260162098,-4.4123697757720945,-14.124077957563554,-12.721407171333558,-11.463961258640138,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-1.586825935376796,-1.1761147380759462,-0.7626045702825116,-1.8450333576276137,-0.4957167237026722,-0.713820756977811,-6.607220448054737,-5.819688179274163,-4.882740615209321,-7.474622899279631,-4.0824549295089,-6.4967437354,-4.104518759154529,-3.7712424245031926,-3.4438552654092316,-4.438399219904486,-3.092534190642796,-3.709659749811346,-3.9155154962773286,-3.5238061051140477,-3.1291581310814944,-4.666061403217154,-2.3803067602861065,-4.497396707534791,-13.930158403970582,-12.54859562059217,-11.303954256871192,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1911,-1.567740745897378,-1.163284462869791,-0.7558208366259402,-1.8388341049598849,-0.4944924912868174,-0.7083755627334263,-6.539944841945582,-5.764674847554158,-4.839147762328486,-7.377685316983466,-4.109000828277844,-6.40783153447,-4.080463671199501,-3.753629838808219,-3.4315303946613565,-4.398223178291849,-3.1328747812248774,-3.7024556940252134,-3.889822741722896,-3.5006836617366224,-3.108625281217838,-4.6091328007097045,-2.2247649963954133,-4.502541589736938,-13.768371194135677,-12.402074196234967,-11.170242749123915,NaN,NaN,-12.7859735900405,-6.40783153447,"posterior_predictive_ladrillo.jl | tag L28 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L28.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
