component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.7681519642532018,-1.8481551982514866,-1.0800032339982848,true,false
glaciers,1900,-7.27700420293,-6.412446263685384,0.8645579392446159,true,true
gis,1900,-4.130332357233222,-4.089827540027241,0.04050481720598054,true,true
te,1900,-3.6098928928375242,-3.6321042740521277,-0.02221138121460342,true,true
total,1900,-13.937918849348069,-14.716099593969279,-0.7781807446212099,true,false
ais,1950,-0.4967158928573277,-1.0189616323972799,-0.5222457395399522,false,false
glaciers,1950,-2.64135585698,-2.9284582571681095,-0.2871024001881093,true,true
gis,1950,-1.3604312723333192,-1.6549532491462486,-0.29452197681292946,false,true
te,1950,-2.815257120132446,-2.634741029392307,0.1805160907401393,true,true
total,1950,-5.985805844939225,-6.829606748921373,-0.8438009039821477,false,false
ais,2000,0.003957722236363703,-0.004411452249134085,-0.008369174485497788,false,true
glaciers,2000,-0.00850888165561,0.00017977882724773409,0.008688660482857734,false,true
gis,2000,-0.04322274381464186,-0.029918276431293744,0.013304467383348118,false,true
te,2000,-0.23769707679748553,-0.005636240210716292,0.23206083658676924,false,true
total,2000,-0.2893630562230687,-0.2678906765697124,0.0214723796533563,false,false
ais,2018,0.8568468333363638,0.57987031443805,-0.27697651889831376,false,true
glaciers,2018,1.20556921092,1.205801990078041,0.00023277915804098548,true,true
gis,2018,1.2730523759668522,1.1060760704746615,-0.16697630549219067,false,true
te,2018,2.074393606185913,2.6883663860352405,0.6139727798493273,false,true
total,2018,5.965000044906917,6.172595391629413,0.20759534672249558,true,false
ais,2025,0.9122723537916689,0.853577125056316,-0.05869522873535293,true,true
glaciers,2023,1.63055217082,1.561028690000632,-0.06952348081936788,true,true
gis,2025,1.6502983936827973,1.4905529343009216,-0.15974545938187568,false,true
te,2025,3.2329575871586798,3.977520296978671,0.7445627098199914,false,true
total,2024,8.225314682835013,8.384402031483166,0.15908734864815344,true,false
ais,2019,0.9058193053363638,0.6174650323755284,-0.2883542729608354,false,true
ais,2020,0.9409419163363638,0.6552182543062224,-0.28572366203014143,false,true
ais,2022,0.9587775273363638,0.7323578990739648,-0.22641962826239903,false,true
ais,2024,0.910532712907691,0.8123899819271658,-0.09814273098052517,true,true
ais,2025,0.9122723537916689,0.853577125056316,-0.05869522873535293,true,true
