component,year,obs,p50,bias,in90
ais,2018,0.696409138766202,0.5709933417881528,-0.12541579697804928,false
gsic,2018,1.205569210919467,1.4723811778957139,0.266811966976247,false
gis,2018,1.2730523759668522,0.9940835687950802,-0.27896880717177197,false
te,2018,2.074393606185913,2.592147472419568,0.5177538662336549,false
total,2018,6.691498117289738,6.159755467161231,-0.531742650128507,false
ais,2025,0.7663673305319003,0.8735549545301248,0.10718762399822446,false
gsic,2023,1.8053251912104726,1.900743246046091,0.09541805483561827,true
gis,2025,1.6502983936827973,1.4172136560408695,-0.23308473764192783,true
te,2025,3.2329575871586798,3.7410589970205654,0.5081014098618857,false
total,2024,8.284011907092978,8.270884788160505,-0.013127118932473536,true
ais,2019,0.6917651205871491,0.6125915355882099,-0.07917358499893923,false
ais,2020,0.7446601482114583,0.6547709060883519,-0.08988924212310645,false
ais,2022,0.7131118056700219,0.740449101975024,0.027337296305002146,true
ais,2024,0.7646276896479223,0.8283816360637706,0.0637539464158483,true
ais,2025,0.7663673305319003,0.8735549545301248,0.10718762399822446,false
