year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,provenance
1900,-5.034606926525686,-3.9174012456457756,-2.560180517485973,-3.9507197919564514,-3.377562764102602,-2.9257296330075238,-5.385381362154802,-4.790969838354393,-4.198436584438127,-4.568534119743163,-3.4404535093824107,-2.5240511029341866,-15.272317277427465,-13.998040265744311,-12.645855135801751,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1901,-4.976830599627448,-3.8718447733526684,-2.5290606278990304,-3.9269087090276007,-3.357555165197855,-2.9085074946932967,-5.332831834918782,-4.7449893540615165,-4.158489447448582,-4.536477463002035,-3.416312409788241,-2.5063402491497837,-14.832520318597714,-13.570281767702367,-12.233286814193054,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1902,-4.920534339707737,-3.8274264786617334,-2.499906030818009,-3.9035288825532097,-3.3374837854592334,-2.8911670977671005,-5.278960710273143,-4.698290905765653,-4.118986445342143,-4.509112594044539,-3.3957045830825727,-2.491221542391018,-14.558357133499708,-13.30475623955331,-11.982949303448267,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1903,-4.86413289922481,-3.782166268977589,-2.471773312735436,-3.879100766932935,-3.316560102430091,-2.8730519048008216,-5.225417846981826,-4.651731966898249,-4.079131458933029,-4.486893916127263,-3.3789722294630637,-2.4789460340916523,-14.41164499489217,-13.169846331933256,-11.864760626644818,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1904,-4.804757211286701,-3.7374662135955834,-2.443081252610502,-3.8549801391322958,-3.2962680935781017,-2.8556472577516954,-5.172566494631412,-4.6050771670666695,-4.039155507473513,-4.5168657481279455,-3.4015432975314286,-2.4955050514121866,-14.358540428181932,-13.118870201399346,-11.825970338780882,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1905,-4.7487408366123995,-3.6913631866338625,-2.4148535148929784,-3.8348114883534463,-3.2792651370291486,-2.84121312853304,-5.121445632921261,-4.559220943314129,-4.000011177884772,-4.49932939727047,-3.388337092156136,-2.485816463221072,-14.171629003278452,-12.939486250093804,-11.658666945353824,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1906,-4.689702608851136,-3.6452315204412575,-2.3845101990021154,-3.8146844305980463,-3.2619527654485463,-2.826527850181812,-5.0697803128645225,-4.512930075282437,-3.9612403932498763,-4.46458038329968,-3.362168442884866,-2.4666181197831154,-14.227885763846322,-13.004295166005718,-11.735985440378247,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1907,-4.630465538524271,-3.5993412158654503,-2.3563058521219302,-3.7925161867160497,-3.2427895264274933,-2.8101890246562236,-5.0182074730005155,-4.466994339794697,-3.921243980121116,-4.427124401987024,-3.3339612414112936,-2.4459242148092804,-14.115465753849739,-12.90349230207342,-11.649168126138697,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1908,-4.573203622124982,-3.5540919824319155,-2.325890728634583,-3.769202030601813,-3.222965991160134,-2.7930158949282657,-4.966172080390387,-4.420217463451838,-3.8818168150461165,-4.465487846419989,-3.362851831603232,-2.467119480444906,-13.962600693226927,-12.752172796643707,-11.504752286128339,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1909,-4.5168087156090655,-3.5073217665166037,-2.2967724982592213,-3.7495995407054075,-3.2065265019309104,-2.7787446848375863,-4.914204638973197,-4.374064668128273,-3.8414545988322493,-4.480837014641441,-3.3744109221757177,-2.4755996808687257,-13.776712219883072,-12.57029674553965,-11.337405841372865,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1910,-4.457697863078318,-3.4613125146412465,-2.2687066407401852,-3.7319976121450122,-3.1914138997100054,-2.7658594440744753,-4.862943793824486,-4.328663562609688,-3.802420241525416,-4.450781816706798,-3.351777073221288,-2.4589946050375078,-13.604287311908365,-12.404827323076946,-11.183475683971027,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1911,-4.400939863323662,-3.4145415485380575,-2.2375532593552587,-3.712389586882186,-3.1746914188492745,-2.751348049338014,-4.812180639188536,-4.283591254831863,-3.762679464263712,-4.421576761867736,-3.3297834466489182,-2.442859221357385,-13.427158259903301,-12.237491176996897,-11.034298473553186,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1912,-4.346219278948897,-3.369087062460605,-2.209642870285755,-3.6904772184465897,-3.1560287159697484,-2.7352100551698246,-4.760087670392613,-4.23735421815198,-3.723291508658683,-4.399551939899262,-3.3131970812965195,-2.4306908157541054,-13.312021146230107,-12.129097249303653,-10.935782030548333,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1913,-4.288647663894555,-3.323193819426433,-2.1802948478395336,-3.6673100415866733,-3.1362262573705966,-2.718109353524091,-4.70837958622902,-4.191369420903346,-3.6844501556639724,-4.495955772912068,-3.385796496538595,-2.4839525830224067,-13.385819933858919,-12.197542687951582,-11.006044587846892,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
