ssp,ssp_label,calib,weighting,p05,p50,p95,ais,gsic,gis,te,lws
ssp119,SSP1-1.9,v2.0.0,unweighted,31.078394235118147,35.83740600675747,41.88444804214904,4.006698206982423,11.166338046482146,6.3168635151324555,11.649569056187492,2.442164221011293
ssp119,SSP1-1.9,v2.0.0,dangendorf,31.192809764823913,35.83963821684407,42.08155142211844,4.19776152524302,11.13380471401199,6.252998169940871,11.72144360085593,2.442164221011293
ssp119,SSP1-1.9,new,unweighted,14.737544368984274,36.30596770544781,44.97399462562555,3.973129430647397,11.005046983241277,6.3168635151324555,12.354082930564884,2.442164221011293
ssp119,SSP1-1.9,new,dangendorf,14.496513230241876,36.36031335027457,45.066321982121266,4.191339463481903,11.005046983241277,6.252998169940871,12.354082930564884,2.442164221011293
ssp126,SSP1-2.6,v2.0.0,unweighted,33.59474368823204,39.25917500117767,68.40962223870174,4.235660020513913,12.011947100806287,6.591444578089017,13.566641454716436,2.3842110285458733
ssp126,SSP1-2.6,v2.0.0,dangendorf,33.65323066614394,39.289864392298604,58.458961255951614,4.390631048743043,11.961632538997847,6.517397484790632,13.650343793621381,2.3842110285458733
ssp126,SSP1-2.6,new,unweighted,18.867908191518968,40.26503387235192,67.1431499406459,5.059896432841285,11.593665586283997,6.591444578089017,14.38709130032464,2.3842110285458733
ssp126,SSP1-2.6,new,dangendorf,18.294989209340432,40.30442589697414,59.00003605453551,5.24507179190805,11.593665586283997,6.517397484790632,14.38709130032464,2.3842110285458733
ssp245,SSP2-4.5,v2.0.0,unweighted,42.94382293793849,70.70825847003027,110.51564145320101,29.053600663961674,13.490103230154595,7.099648559136876,17.774456865446695,2.8270525172623544
ssp245,SSP2-4.5,v2.0.0,dangendorf,43.327544132375785,70.14748188606144,106.61720900794577,28.52884139156251,13.454387641406296,7.004899749770366,17.884120234775718,2.8270525172623544
ssp245,SSP2-4.5,new,unweighted,39.37619941326311,71.10461997393958,112.29267941464566,29.409604684649047,12.589556330974647,7.099648559136876,18.849376582290528,2.8270525172623544
ssp245,SSP2-4.5,new,dangendorf,39.515361556035614,71.35168808054358,111.34540835920559,30.096631055658957,12.589556330974647,7.004899749770366,18.849376582290528,2.8270525172623544
ssp460,SSP4-6.0,v2.0.0,unweighted,53.424855712928775,79.58750591547249,116.85527248159335,35.37879640518075,14.09168677154751,7.3204583442709,19.629408836873047,2.2500535659866467
ssp460,SSP4-6.0,v2.0.0,dangendorf,53.896106258094136,79.56498143461077,114.33525783241312,35.96212877472051,14.055854039815834,7.228395284099287,19.750516734981215,2.2500535659866467
ssp460,SSP4-6.0,new,unweighted,49.89235086327138,80.1568703513742,119.1017615546747,36.40680456476673,12.983934912577238,7.3204583442709,20.816507759133867,2.2500535659866467
ssp460,SSP4-6.0,new,dangendorf,50.41795551087374,80.38241346162879,117.99019881636193,36.8497537261019,12.983934912577238,7.228395284099287,20.816507759133867,2.2500535659866467
ssp370,SSP3-7.0,v2.0.0,unweighted,60.96951564923855,83.34156847472224,118.7820124502359,36.61634957786469,14.440034835047136,7.461805271180626,21.195529583396397,2.644875997584264
ssp370,SSP3-7.0,v2.0.0,dangendorf,61.93132289810652,83.33520752838781,116.27170631937078,37.23329378547449,14.391214272879497,7.3452246605114,21.326300003354884,2.644875997584264
ssp370,SSP3-7.0,new,unweighted,57.03523907259477,84.31943259885993,121.67190614936155,38.113611659719936,13.206096596959647,7.461805271180626,22.477340489384208,2.644875997584264
ssp370,SSP3-7.0,new,dangendorf,57.505939209927284,84.63747176616167,119.71293463953825,38.425964777582664,13.206096596959647,7.3452246605114,22.477340489384208,2.644875997584264
ssp585,SSP5-8.5,v2.0.0,unweighted,77.24846544858582,103.24848845706879,142.7415129902336,48.22260744715253,16.46745420799237,8.29814646481105,26.663535096937387,2.3542348684639616
ssp585,SSP5-8.5,v2.0.0,dangendorf,77.43298549681657,102.92644310171985,140.29181247614056,48.24240723219192,16.427120497816723,8.138812334399127,26.828041563665906,2.3542348684639616
ssp585,SSP5-8.5,new,unweighted,75.64364393597263,105.57211866103813,146.4880203016382,51.81996738629305,14.465076895580339,8.29814646481105,28.276026539765798,2.3542348684639616
ssp585,SSP5-8.5,new,dangendorf,76.2838929646048,105.60530639388656,145.8487156023855,51.84190234973644,14.465076895580339,8.138812334399127,28.276026539765798,2.3542348684639616
