year,ssp_label,component,p05,p50,p95
2000,SSP1-1.9,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP1-1.9,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP1-1.9,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP1-1.9,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP1-1.9,lws,0.0,0.0,0.0
2010,SSP1-1.9,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP1-1.9,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP1-1.9,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP1-1.9,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP1-1.9,lws,0.0,0.0,0.0
2020,SSP1-1.9,ais,0.597215095321436,0.635175632140502,0.6785118429607954
2020,SSP1-1.9,gsic,1.0637066947290519,1.152287335313154,1.2681924675674328
2020,SSP1-1.9,gis,0.749524788741778,0.915819647192788,1.1149473557073268
2020,SSP1-1.9,te,2.118859889799517,2.290628040716096,2.4468418415410507
2020,SSP1-1.9,lws,0.08693253961351606,0.08693253961351606,0.08693253961351606
2030,SSP1-1.9,ais,1.116027339148166,1.189502247552741,1.2707464941729496
2030,SSP1-1.9,gsic,1.7686220019207015,1.9234600603287355,2.1409356550532723
2030,SSP1-1.9,gis,1.2608633047432072,1.5792312688005183,1.9783002758506734
2030,SSP1-1.9,te,3.7903553418856797,4.097625459899042,4.377070937763631
2030,SSP1-1.9,lws,0.372658493764833,0.372658493764833,0.372658493764833
2040,SSP1-1.9,ais,1.7040033537051642,1.822251385830114,1.9501380964068307
2040,SSP1-1.9,gsic,2.44850366765272,2.6657327010759335,2.9871158595511376
2040,SSP1-1.9,gis,1.7859021092952394,2.28685715594858,2.9359453364643353
2040,SSP1-1.9,te,5.365225827546188,5.800164883254433,6.195718323498425
2040,SSP1-1.9,lws,0.6479047091174952,0.6479047091174952,0.6479047091174952
2050,SSP1-1.9,ais,2.316813790457282,2.484780310844124,2.6641113231484495
2050,SSP1-1.9,gsic,3.0680065889023123,3.337751242102406,3.753773405600993
2050,SSP1-1.9,gis,2.3136624789604037,3.0064097012137947,3.9167234273749596
2050,SSP1-1.9,te,6.729186568898946,7.27469688776284,7.770808884336339
2050,SSP1-1.9,lws,0.9819360087461484,0.9819360087461484,0.9819360087461484
2060,SSP1-1.9,ais,2.9342624344590535,3.1526926183218436,3.384679162265948
2060,SSP1-1.9,gsic,3.620407901652512,3.9335108792406963,4.43689213179677
2060,SSP1-1.9,gis,2.8388539547589464,3.72450429761058,4.896552717188689
2060,SSP1-1.9,te,7.892253898314975,8.532049792892028,9.113909397893098
2060,SSP1-1.9,lws,1.2949100786624401,1.2949100786624401,1.2949100786624401
2070,SSP1-1.9,ais,3.5424749925174277,3.810400468922131,4.094015265174817
2070,SSP1-1.9,gsic,4.104730667627439,4.453137861667401,5.032328801414538
2070,SSP1-1.9,gis,3.3566497201181456,4.432300865995838,5.861248176595051
2070,SSP1-1.9,te,8.90009531590574,9.621593194436574,10.277756314846375
2070,SSP1-1.9,lws,1.4727539240385445,1.4727539240385445,1.4727539240385445
2080,SSP1-1.9,ais,4.139122960146271,4.456379161492495,4.789425292351014
2080,SSP1-1.9,gsic,4.524193233470769,4.90712831736446,5.55864384300712
2080,SSP1-1.9,gis,3.8693882093237995,5.127149755866746,6.80547872438588
2080,SSP1-1.9,te,9.763448184308848,10.554934893393341,11.274749052588506
2080,SSP1-1.9,lws,1.7863373483187346,1.7863373483187346,1.7863373483187346
2090,SSP1-1.9,ais,4.719407351833687,5.0838916589634255,5.46392293579954
2090,SSP1-1.9,gsic,4.881678450706176,5.303828450272203,6.016551096725532
2090,SSP1-1.9,gis,4.374977913609057,5.806472956073299,7.716164611293267
2090,SSP1-1.9,te,10.524668750624562,11.37786480148535,12.153800254260505
2090,SSP1-1.9,lws,2.063723540666564,2.063723540666564,2.063723540666564
2100,SSP1-1.9,ais,5.28474709413123,5.693447232280743,6.11936592532869
2100,SSP1-1.9,gsic,5.1801733329047295,5.648842109075401,6.429366823202959
2100,SSP1-1.9,gis,4.873895146915535,6.470801171383423,8.596069957093084
2100,SSP1-1.9,te,11.187729657045399,12.094677608345318,12.91949749414461
2100,SSP1-1.9,lws,2.418104572386711,2.418104572386711,2.418104572386711
2000,SSP1-2.6,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP1-2.6,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP1-2.6,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP1-2.6,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP1-2.6,lws,0.0,0.0,0.0
2010,SSP1-2.6,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP1-2.6,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP1-2.6,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP1-2.6,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP1-2.6,lws,0.0,0.0,0.0
2020,SSP1-2.6,ais,0.5969144116687196,0.6348748587258777,0.6782090990570142
2020,SSP1-2.6,gsic,1.0636393429978943,1.1522079748191096,1.2680952575813724
2020,SSP1-2.6,gis,0.7495091293097025,0.9157856999897838,1.1148785334244855
2020,SSP1-2.6,te,2.116786022450214,2.288386052595074,2.444446956712418
2020,SSP1-2.6,lws,0.0812199119829533,0.0812199119829533,0.0812199119829533
2030,SSP1-2.6,ais,1.1136446013638042,1.1868800825534822,1.2679162356099212
2030,SSP1-2.6,gsic,1.7670158938334768,1.9212706989916395,2.1377459090488173
2030,SSP1-2.6,gis,1.260518318683257,1.5778977799465554,1.9758886224268974
2030,SSP1-2.6,te,3.7733589768697677,4.079251262301968,4.357443676293799
2030,SSP1-2.6,lws,0.27813208925362626,0.27813208925362626,0.27813208925362626
2040,SSP1-2.6,ais,1.7092083546765209,1.8280078304118508,1.9561659248302512
2040,SSP1-2.6,gsic,2.451174867058869,2.6697753055466125,2.9932874963021328
2040,SSP1-2.6,gis,1.7870398468044737,2.290049204786932,2.9429657248092846
2040,SSP1-2.6,te,5.46348510115098,5.906389673512196,6.309187318373021
2040,SSP1-2.6,lws,0.6165896014533979,0.6165896014533979,0.6165896014533979
2050,SSP1-2.6,ais,2.360256240129176,2.5366356461001236,2.7685988040093994
2050,SSP1-2.6,gsic,3.092236004640105,3.367998961493193,3.7959015029481957
2050,SSP1-2.6,gis,2.3233543514776116,3.0336688834120773,3.9724301902142356
2050,SSP1-2.6,te,7.072182324653952,7.645498043498234,8.166897540642804
2050,SSP1-2.6,lws,0.9261002783764264,0.9261002783764264,0.9261002783764264
2060,SSP1-2.6,ais,3.045064706338127,3.286230326244652,5.755998996939942
2060,SSP1-2.6,gsic,3.6760888952199053,4.002939060096902,4.533995035043632
2060,SSP1-2.6,gis,2.8626031301228854,3.794367791418816,5.042300236743621
2060,SSP1-2.6,te,8.544903454872053,9.237607240181301,9.86758369723442
2060,SSP1-2.6,lws,1.240372280401791,1.240372280401791,1.240372280401791
2070,SSP1-2.6,ais,3.7459434027588827,4.0534476764009035,19.157291190944385
2070,SSP1-2.6,gsic,4.203219544989637,4.570598189734577,5.197660968130668
