year,ssp_label,p05,p50,p95
2000,SSP1-1.9,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP1-1.9,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP1-1.9,4.845856280297039,5.088235321913963,5.3351494793887895
2030,SSP1-1.9,8.726796028078539,9.179062170558968,9.655828660834553
2040,SSP1-1.9,12.566497278307592,13.251387300750608,13.988520293226408
2050,SSP1-1.9,16.2094194286185,17.126647068034984,18.140086984411074
2060,SSP1-1.9,19.554361067746783,20.69135192865605,21.971137161604023
2070,SSP1-1.9,22.501707823886044,23.855357343693466,25.392471803483666
2080,SSP1-1.9,25.3447102847355,26.90336311355739,28.68025676360857
2090,SSP1-1.9,27.96301185137774,29.71610097559057,31.70628062633994
2100,SSP1-1.9,30.47242468615086,32.413011789341674,34.6278504081276
2000,SSP1-2.6,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP1-2.6,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP1-2.6,4.83761850549865,5.079828045383676,5.326542137041344
2030,SSP1-2.6,8.609158052840927,9.059617886275591,9.535041521969925
2040,SSP1-2.6,12.64805615973289,13.33877381978412,14.083244792302532
2050,SSP1-2.6,16.605788478727007,17.570906496858957,18.88792924790718
2060,SSP1-2.6,20.414593394960473,21.658966498671187,24.524405741498356
2070,SSP1-2.6,24.025690438616742,25.553832639614967,41.005328647138384
2080,SSP1-2.6,27.384414161446163,29.182239633815918,57.299288434811416
2090,SSP1-2.6,30.48713883038093,32.549723063387106,72.15838941631921
2100,SSP1-2.6,33.50636020701137,35.81677784433421,75.95211118010799
2000,SSP2-4.5,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP2-4.5,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP2-4.5,4.836637235701447,5.078252903142931,5.3247174065289595
2030,SSP2-4.5,8.643186039230734,9.087595213390292,9.556341051582367
2040,SSP2-4.5,12.62306155638613,13.3023971339534,14.031550049038858
2050,SSP2-4.5,16.959551154956568,17.954550011729154,20.96410900504535
2060,SSP2-4.5,21.46139771001983,22.944685654044818,38.39724154718055
2070,SSP2-4.5,26.175321352888883,28.755740656621157,55.92305875135838
2080,SSP2-4.5,31.0637640722337,42.9307788322328,73.52386443347939
2090,SSP2-4.5,36.10666863796008,60.38640334626902,91.00634258507037
2100,SSP2-4.5,41.47103033923705,77.84608658426924,108.50647075391176
2000,SSP4-6.0,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP4-6.0,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP4-6.0,4.824118738027903,5.064295636287473,5.310577428989165
2030,SSP4-6.0,8.613688883645574,9.053610168256723,9.515893450773302
2040,SSP4-6.0,12.57131407576621,13.245849575825194,13.968803110130398
2050,SSP4-6.0,16.851047611774657,17.859450454698816,21.99011416789469
2060,SSP4-6.0,21.594417383564473,23.273522900369393,39.64781929844799
2070,SSP4-6.0,26.890931593696518,34.118810909265896,57.57661366031512
2080,SSP4-6.0,33.023452033006144,52.36093567002594,75.78270977646801
2090,SSP4-6.0,41.54625971369991,70.70294892539532,94.19596165727258
2100,SSP4-6.0,59.22445126836323,89.09663831498295,112.60760314898843
2000,SSP3-7.0,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP3-7.0,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP3-7.0,4.780139758081648,5.019660835125582,5.265407930567853
2030,SSP3-7.0,8.385030117381966,8.819660851506029,9.27857686256317
2040,SSP3-7.0,12.328028968885713,12.991205019026712,13.703342018299871
2050,SSP3-7.0,16.586647496898905,17.568148324419376,20.508496982517816
2060,SSP3-7.0,21.342304192474074,22.97414529689761,38.211335607063134
2070,SSP3-7.0,26.82747306235233,34.788359313248804,56.22014120268869
2080,SSP3-7.0,34.1965094265371,53.42565822964258,74.83088539892753
2090,SSP3-7.0,51.41024340925987,72.45000140806644,93.89517943235444
2100,SSP3-7.0,70.89805576563914,91.98422449896219,113.43869798012227
2000,SSP5-8.5,-1.4502720077309708,-1.385147017685974,-1.3204260924427054
2010,SSP5-8.5,1.5505527277823175,1.6254325386924533,1.6987191228980099
2020,SSP5-8.5,4.803264701963919,5.045857035749766,5.292956276675099
2030,SSP5-8.5,8.72788886868992,9.184240522596932,9.664054687754671
2040,SSP5-8.5,13.197921497614509,13.935773996199957,15.051106452083548
2050,SSP5-8.5,18.328536839626697,19.759151624236516,32.176168064178725
2060,SSP5-8.5,24.68176703540324,34.95779403088366,50.88142559064698
2070,SSP5-8.5,37.30367548172662,54.206041112298564,70.15946261739316
2080,SSP5-8.5,57.426666780911795,74.30245876433777,90.36974820895637
2090,SSP5-8.5,78.11324807557514,95.1456865398346,111.3221085744343
2100,SSP5-8.5,99.55451873545867,116.77422636625553,133.13957324483724
