group,model,exp,ssp,var,n_years,last_year,long,y2100,y2150,y2200,y2300
IGE,ElmerIce2,ACCESS1.3_rcp85_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,8.401569165648759,,,
IGE,ElmerIce2,ACCESS1.3_rcp85_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,7.4535423093145425,,,
IGE,ElmerIce2,ACCESS1.3_rcp85_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,6.838849925994683,,,
IGE,ElmerIce2,CESM2-Leo_ssp585_RACMO2.3p2_p25,SSP5-8.5,slc,86,2100,False,11.686826617847856,,,
IGE,ElmerIce2,CESM2-Leo_ssp585_RACMO2.3p2_p50,SSP5-8.5,slc,86,2100,False,10.823049480331814,,,
IGE,ElmerIce2,CESM2-Leo_ssp585_RACMO2.3p2_p75,SSP5-8.5,slc,86,2100,False,10.262208415515861,,,
IGE,ElmerIce2,CESM2_ssp126_RACMO2.3p2_p25,SSP1-2.6,slc,86,2100,False,4.56103412387403,,,
IGE,ElmerIce2,CESM2_ssp126_RACMO2.3p2_p75,SSP1-2.6,slc,86,2100,False,4.393882953232353,,,
IGE,ElmerIce2,MPI-ESM1-2-HR_ssp126_MARv3.12_p25,SSP1-2.6,slc,86,2100,False,2.772315053085439,,,
IGE,ElmerIce2,MPI-ESM1-2-HR_ssp126_MARv3.12_p50,SSP1-2.6,slc,86,2100,False,2.483455181769756,,,
IGE,ElmerIce2,MPI-ESM1-2-HR_ssp126_MARv3.12_p75,SSP1-2.6,slc,86,2100,False,2.262703102010999,,,
IGE,ElmerIce2,UKESM1-0-LL-Robin_ssp585_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,21.027036617974826,,,
IGE,ElmerIce2,UKESM1-0-LL-Robin_ssp585_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,19.553931010850167,,,
IGE,ElmerIce2,UKESM1-0-LL-Robin_ssp585_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,18.481438901796565,,,
IGE,ElmerIce3,ACCESS1.3_rcp85_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,9.513144024155018,,,
IGE,ElmerIce3,ACCESS1.3_rcp85_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,8.031389360745411,,,
IGE,ElmerIce3,ACCESS1.3_rcp85_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,7.076970900609769,,,
IGE,ElmerIce3,CESM2-Leo_ssp585_RACMO2.3p2_p25,SSP5-8.5,slc,86,2100,False,12.54259276730183,,,
IGE,ElmerIce3,CESM2-Leo_ssp585_RACMO2.3p2_p50,SSP5-8.5,slc,86,2100,False,11.164096930303469,,,
IGE,ElmerIce3,CESM2-Leo_ssp585_RACMO2.3p2_p75,SSP5-8.5,slc,86,2100,False,10.290523651620198,,,
IGE,ElmerIce3,CESM2_ssp126_RACMO2.3p2_p25,SSP1-2.6,slc,86,2100,False,4.386826985881775,,,
IGE,ElmerIce3,CESM2_ssp126_RACMO2.3p2_p50,SSP1-2.6,slc,86,2100,False,4.242920672436679,,,
IGE,ElmerIce3,CESM2_ssp126_RACMO2.3p2_p75,SSP1-2.6,slc,86,2100,False,4.165958457275298,,,
IGE,ElmerIce3,MPI-ESM1-2-HR_ssp126_MARv3.12_p25,SSP1-2.6,slc,86,2100,False,3.1034883791651424,,,
IGE,ElmerIce3,MPI-ESM1-2-HR_ssp126_MARv3.12_p50,SSP1-2.6,slc,86,2100,False,2.6463556996838555,,,
IGE,ElmerIce3,MPI-ESM1-2-HR_ssp126_MARv3.12_p75,SSP1-2.6,slc,86,2100,False,2.314360259299608,,,
IGE,ElmerIce3,UKESM1-0-LL-Robin_ssp585_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,23.0851665802426,,,
IGE,ElmerIce3,UKESM1-0-LL-Robin_ssp585_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,20.699288848190545,,,
IGE,ElmerIce3,UKESM1-0-LL-Robin_ssp585_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,19.019652128990128,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,5.536699125689193,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,5.221856615619025,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,5.075135198700131,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,5.108710798689042,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,4.788077194637186,,,
IMAU,IMAUICE1,ACCESS1.3_rcp85_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,4.629299012384092,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,14.535356291867796,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,13.71639261666493,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,13.374303000011256,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,15.604032025790548,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,14.68004901785287,,,
IMAU,IMAUICE1,CESM2-Leo_ssp585_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,14.319760463991127,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp126_MARv3.9_p25,SSP1-2.6,slc,86,2100,False,2.970636421803441,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp126_MARv3.9_p50,SSP1-2.6,slc,86,2100,False,2.882316151391695,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp126_MARv3.9_p75,SSP1-2.6,slc,86,2100,False,2.8362185534734685,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.12_p25,SSP5-8.5,slc,86,2100,False,10.238783632496062,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.12_p50,SSP5-8.5,slc,86,2100,False,9.806362360321241,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.12_p75,SSP5-8.5,slc,86,2100,False,9.580165962498732,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,9.673487106921463,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,9.209115431020898,,,
IMAU,IMAUICE1,CNRM-CM6-1_ssp585_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,8.975409165111259,,,
IMAU,IMAUICE1,CNRM-ESM2-1_ssp585_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,9.26894376109253,,,
IMAU,IMAUICE1,CNRM-ESM2-1_ssp585_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,8.776324052347029,,,
IMAU,IMAUICE1,CNRM-ESM2-1_ssp585_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,8.535696463941811,,,
IMAU,IMAUICE1,CSIRO-Mk3.6.0_rcp85_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,3.2657155581245156,,,
IMAU,IMAUICE1,CSIRO-Mk3.6.0_rcp85_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,2.9662398218482267,,,
IMAU,IMAUICE1,CSIRO-Mk3.6.0_rcp85_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,2.8074586318718175,,,
IMAU,IMAUICE1,HadGEM2-ES_rcp85_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,6.409059985445609,,,
IMAU,IMAUICE1,HadGEM2-ES_rcp85_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,6.060935447335147,,,
IMAU,IMAUICE1,HadGEM2-ES_rcp85_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,5.871118898613492,,,
IMAU,IMAUICE1,IPSL-CM5A-MR_rcp85_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,8.264410344734952,,,
IMAU,IMAUICE1,IPSL-CM5A-MR_rcp85_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,7.90185239496255,,,
IMAU,IMAUICE1,IPSL-CM5A-MR_rcp85_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,7.7649991996348255,,,
IMAU,IMAUICE1,MIROC5_rcp85_MARv3.9_p25,SSP5-8.5,slc,86,2100,False,8.16449496824836,,,
IMAU,IMAUICE1,MIROC5_rcp85_MARv3.9_p50,SSP5-8.5,slc,86,2100,False,7.73455271057113,,,
IMAU,IMAUICE1,MIROC5_rcp85_MARv3.9_p75,SSP5-8.5,slc,86,2100,False,7.5376135974345,,,
IMAU,IMAUICE1,MPI-ESM1-2-HR_ssp126_MARv3.12_p25,SSP1-2.6,slc,86,2100,False,1.7835151764425738,,,
