year,gmst_ours,gmst_raw,gmst_spliced,gmst_ours_11yr,gmst_raw_11yr,gmst_spliced_11yr,n_runs,weights,dropped,basis
1850,-0.0131368039892604,-0.10695463944614403,-0.0131368039892604,0.0055228569901572,-0.03152177915847195,0.0055228569901572,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1851,-0.0019770789135537,-0.036771376181434334,-0.0019770789135537,0.0016242686136347423,-0.024466104190495643,0.0016242686136347423,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1852,0.0091486069850741,0.03030554197760336,0.0091486069850741,-0.0028226030898911257,-0.02054093225177362,-0.0028226030898911257,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1853,0.0120274773892785,0.04686262026792422,0.0120274773892785,-0.0052979202880198565,-0.015590567339654086,-0.0052979202880198565,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1854,0.0176731976279545,-0.031017879683856466,0.0176731976279545,-0.005548904554362631,-0.004355377843117075,-0.005548904554362631,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1855,0.0094017428414502,-0.09155494188492444,0.0094017428414502,-0.004817828855441291,-0.006375748605538828,-0.004817828855441291,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1856,-0.0217672616455,0.017867945617362175,-0.0217672616455,-0.002385455692232228,0.007840436123743003,-0.002385455692232228,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1857,-0.0339507050145722,0.006935271319280544,-0.0339507050145722,-0.0014663212374123097,-0.0005897115016994462,-0.0014663212374123097,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1858,-0.0251004578730497,0.024012351957302207,-0.0251004578730497,-0.0022238606946525376,-0.009167646908651166,-0.0022238606946525376,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1859,-0.0078077629514476,0.09676132762571601,-0.0078077629514476,-0.008321360927019218,-0.012610838222256808,-0.008321360927019218,35,CESM2-Leo:10|UKESM1-0-LL-Robin:10|CNRM-ESM2-1:5|IPSL-CM6A-LR:5|MPI-ESM1-2-HR:5,ACCESS1.3:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
