year,gmst_ours,gmst_raw,gmst_spliced,gmst_ours_11yr,gmst_raw_11yr,gmst_spliced_11yr,n_runs,weights,basis
1850,-0.0131368039892604,-0.12928035356375744,-0.0131368039892604,0.0055228569901572,-0.04556645501980464,0.0055228569901572,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1851,-0.0019770789135537,-0.09499272406881687,-0.0019770789135537,0.0016242686136347423,-0.045385994941881336,0.0016242686136347423,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1852,0.0091486069850741,0.041419838291943734,0.0091486069850741,-0.0028226030898911257,-0.050160138816000455,-0.0028226030898911257,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1853,0.0120274773892785,0.08528225041493442,0.0120274773892785,-0.0052979202880198565,-0.042281473225642685,-0.0052979202880198565,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1854,0.0176731976279545,-0.1100334031570469,0.0176731976279545,-0.005548904554362631,-0.038763930127993264,-0.005548904554362631,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1855,0.0094017428414502,-0.06579433803608481,0.0094017428414502,-0.004817828855441291,-0.05036554128522074,-0.004817828855441291,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1856,-0.0217672616455,-0.04430323447434148,-0.0217672616455,-0.002385455692232228,-0.04335469796796267,-0.002385455692232228,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1857,-0.0339507050145722,-0.08357914593483429,-0.0339507050145722,-0.0014663212374123097,-0.05778112531361175,-0.0014663212374123097,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1858,-0.0251004578730497,0.02074785149721947,-0.0251004578730497,-0.0022238606946525376,-0.07854274527476884,-0.0022238606946525376,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
1859,-0.0078077629514476,-0.007106042249148459,-0.0078077629514476,-0.008321360927019218,-0.09230591678691398,-0.008321360927019218,10,CESM2:5|MPI-ESM1-2-HR:5,C vs 1850-1900; forcing HELD at each GCM's 2081-2100 mean from 2101 (Goelzer 2025 r2300); spliced = ours <=2014 re-ref on 1995-2014
