marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
LN,CH4,0.01,glaciers,2100,2000,11.544399050884824,11.545291857857688,0.0009106929600122271,0.0008928069728639798,0.0009356584280768172,0.0006499362916410511,0.0012770518432073884,0.09106929600122271,4.362728471050132e-6,0.0072525,0.0009284477224464757,7.3470649670586824e-6
LN,CH4,0.01,glaciers,2150,2000,15.216393700750945,15.217335757364678,0.0009288160887015451,0.0009420566137325892,0.000953628155131133,0.0006393378277783412,0.001337109204131437,0.09288160887015451,4.8107323492467025e-6,0.007644166666666666,0.000945954895462969,7.779177364101195e-6
LN,CH4,0.01,glaciers,2300,2000,15.026003235815722,15.027305561718372,0.0012458791068716835,0.0013023259026496703,0.0013045201651959014,0.0008302850451503474,0.0019281559172212859,0.12458791068716835,8.01104119029713e-6,0.007656666666666667,0.00129374417710864,1.0995162272684836e-5
LN,CH4,0.01,gis,2100,2000,6.440518772930814,6.4407338593446495,0.0002943455300830067,0.00021508641383505278,0.0003388823611345071,6.652292194431197e-5,0.0007872471804670765,0.029434553008300668,5.191860827433818e-6,0.0072525,0.00033546399886751874,3.726686194428932e-6
LN,CH4,0.01,gis,2150,2000,9.24294147898545,9.243335942197366,0.00032681975068449276,0.0003944632119150526,0.0003813565312470235,7.524922010837544e-5,0.0008768273118597846,0.032681975068449276,5.8553679880480964e-6,0.007644166666666666,0.00037750986966914263,4.103887110009122e-6
LN,CH4,0.01,gis,2300,2000,14.073703892671656,14.073951088610263,0.00038568979245923174,0.0002471959386074474,0.0004490011169398862,8.924941409471643e-5,0.00101472494431043,0.038568979245923174,6.80129695579485e-6,0.007656666666666667,0.0004444203274246875,4.8988022113113245e-6
LN,CH4,0.01,ais,2100,2000,4.45158031943226,4.451508852536259,-1.5588839036073665e-5,-7.146689600112666e-5,0.006405929293353432,-0.000452543485636725,0.0007984946353428941,-0.0015588839036073665,0.002077349801306951,0.0072525,5.922135035703165e-5,0.008368862027997071
LN,CH4,0.01,ais,2150,2000,6.597347485373414,6.597436966244377,-3.753724894250965e-5,8.948087096261048e-5,0.006581668069215477,-0.0005387657038185889,0.000906091159369637,-0.003753724894250965,0.0020434589402936374,0.007644166666666666,0.00014943526787726782,0.008194527826649152
LN,CH4,0.01,ais,2300,2000,13.996148855758815,13.996240305655459,-0.00017581205691286073,9.144989664378045e-5,0.006044183672809728,-0.0007782235405487725,0.0007450152884377555,-0.017581205691286073,0.001914174172766535,0.007656666666666667,1.5624332263151225e-5,0.0076930782723472904
LN,CH4,0.01,te,2100,2000,9.670376346495102,9.671442337241206,0.0010425517224339487,0.0010659907461043616,0.0010969768559217154,0.0004988189547911581,0.001896447484320518,0.10425517224339487,1.0123953476875478e-5,0.0072525,0.0010895197909867674,7.2969809446496684e-6
LN,CH4,0.01,te,2150,2000,9.553659767524705,9.554709013578673,0.00088525428299846,0.001049246053968389,0.0009560920276432085,0.00040322368160179424,0.0017622548438739108,0.088525428299846,9.972516859481259e-6,0.007644166666666666,0.0009490559056702917,6.960900475647757e-6
LN,CH4,0.01,te,2300,2000,-3.134456444830069,-3.133694688965038,0.0008554544183289048,0.0007617558650307998,0.0009697172055206918,0.00041957453102132726,0.001887178721703961,0.08554544183289048,1.0992063498302612e-5,0.007656666666666667,0.000961660830932861,8.23210446658068e-6
LN,CH4,0.01,lws,2100,2000,2.342515618878139,2.342515618878139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072525,0.0,0.0
LN,CH4,0.01,lws,2150,2000,4.0429579468315175,4.0429579468315175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007644166666666666,0.0,0.0
LN,CH4,0.01,lws,2300,2000,8.89738572754609,8.89738572754609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007656666666666667,0.0,0.0
LN,CH4,0.01,total,2100,2000,34.81503968181967,34.81753125792382,0.002293920083769052,0.0024915761041484075,0.008777446938486342,0.001375411965904405,0.003957838604012309,0.2293920083769052,0.002077560020488543,0.0072525,0.0024126528626576458,0.008387232760103232
LN,CH4,0.01,total,2150,2000,45.1604778622085,45.162841744484844,0.0021822646037108484,0.0023638822763416556,0.008872744783237005,0.0012512199001008639,0.004050287933759477,0.21822646037108484,0.0020437017311174667,0.007644166666666666,0.0024219559386798105,0.008213371791598941
LN,CH4,0.01,total,2300,2000,49.08731028076881,49.09035017454184,0.0024071331415953523,0.0030398937730282682,0.00876742216046625,0.0013626321654371053,0.004642223619315187,0.24071331415953523,0.0019148142752674112,0.007656666666666667,0.0027154496677293536,0.007717204341297903
