marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
L,CH4,0.01,glaciers,2100,2000,11.50785366245449,11.508769883494718,0.0009411353411161727,0.000916221040228038,0.0009681927142927722,0.0006705605018772154,0.0013202141713156478,0.09411353411161727,4.560406986851061e-6,0.00666,0.0009614937791816813,6.752179737635561e-6
L,CH4,0.01,glaciers,2150,2000,15.888267416599128,15.889188300076,0.000933590993073885,0.0009208834768728025,0.000957866479347782,0.0006334346855544126,0.001346090900034369,0.0933590993073885,4.941206557391951e-6,0.007565,0.0009506260436099034,7.2394741945753404e-6
L,CH4,0.01,glaciers,2300,2000,23.01206019913468,23.01295898785677,0.0007904885048812815,0.0008987887220897051,0.0008000800235236767,0.000402387915884006,0.0012235760136054094,0.07904885048812815,5.707482078910937e-6,0.008158333333333333,0.0007943548831591904,5.709133311052046e-6
L,CH4,0.01,gis,2100,2000,6.446979172897191,6.447239515342659,0.00030170436815524226,0.0002603424454683534,0.0003491736910246512,6.801693001712295e-5,0.0008111656188614091,0.030170436815524226,5.344037835157996e-6,0.00666,0.0003462844011660503,3.008996187953886e-6
L,CH4,0.01,gis,2150,2000,9.489131577913742,9.489471179572448,0.00033926825886432255,0.0003396016587053907,0.0003964506174138904,7.791859750749808e-5,0.0009212796319602032,0.033926825886432255,6.111192377880896e-6,0.007565,0.0003926770784434112,3.901386971836661e-6
L,CH4,0.01,gis,2300,2000,16.793175126763884,16.793494806627177,0.00038134853830307236,0.0003196798632920661,0.00044956293788009913,8.866425459164162e-5,0.0010390822175398995,0.038134853830307236,7.018089787052948e-6,0.008158333333333333,0.00044474748449065317,4.838356503886106e-6
L,CH4,0.01,ais,2100,2000,4.3741438157845955,4.3743839250068,-2.0672901276830302e-5,0.0002401092222044099,0.006264569717372655,-0.0004768986073103498,0.0008324272495541241,-0.0020672901276830302,0.0019527939074703146,0.00666,5.980909795686035e-5,0.007513316466578588
L,CH4,0.01,ais,2150,2000,6.628951330902449,6.628953368863982,-2.884693179616704e-5,2.037961532863619e-6,0.007028315544454286,-0.0005584596706706302,0.0009914308599302756,-0.002884693179616704,0.002021573655000833,0.007565,7.781700977305185e-5,0.008089213797782071
L,CH4,0.01,ais,2300,2000,11.901927119006341,11.910371661121932,-8.437336691091701e-5,0.008444542115590536,0.008180559508732166,-0.0007016594287752032,0.0011928916581531723,-0.008437336691091701,0.0020937413646461996,0.008158333333333333,0.00013626244301149034,0.008203484928948079
L,CH4,0.01,te,2100,2000,9.938741531666984,9.939594848886134,0.0010800482746482487,0.0008533172191498295,0.0011376597859724343,0.0005049512337968132,0.001968213562995924,0.10800482746482487,1.0591444810585386e-5,0.00666,0.0011312143022980366,6.205276004002554e-6
L,CH4,0.01,te,2150,2000,11.54827607466412,11.549333575644894,0.0009267110878976581,0.0010575009807745062,0.0010004839986653782,0.00040101202717419683,0.0018618330675113982,0.09267110878976581,1.0533314332086024e-5,0.007565,0.0009928405801246138,7.655760570025887e-6
L,CH4,0.01,te,2300,2000,12.141303171516942,12.142195961061436,0.000735254327917545,0.0008927895444941214,0.000831758410074535,0.00032097209936625686,0.0016655420397574615,0.0735254327917545,9.819637020864505e-6,0.008158333333333333,0.0008235308865386969,8.25629310412775e-6
L,CH4,0.01,lws,2100,2000,2.342515618878139,2.342515618878139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00666,0.0,0.0
L,CH4,0.01,lws,2150,2000,4.0429579468315175,4.0429579468315175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007565,0.0,0.0
L,CH4,0.01,lws,2300,2000,8.89738572754609,8.89738572754609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008158333333333333,0.0,0.0
L,CH4,0.01,total,2100,2000,34.97831625822321,34.98085103586689,0.002368903505010067,0.002534777643681707,0.008719595908662552,0.001397043155002642,0.00412776664079395,0.2368903505010067,0.0019528025999204421,0.00666,0.0024988015806026503,0.0075292829185082
L,CH4,0.01,total,2150,2000,47.803813304605264,47.805954092867374,0.0022503341802817545,0.0021407882621105045,0.009383116639881714,0.001259182273524573,0.004260766514735082,0.22503341802817545,0.0020218489552147985,0.007565,0.002413960711951334,0.008108010419518537
L,CH4,0.01,total,2300,2000,73.54241800241203,73.54457828570054,0.001908025864047147,0.002160283288503706,0.010261960880211,0.0009444484591803359,0.004116590215025439,0.1908025864047147,0.002094232750100311,0.008158333333333333,0.0021988956972005384,0.00822228871186716
