gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,0.0002524237473224833,PASS
SUM,max_abs_cm,8.526512829121202e-14,PASS
SIGN,median_cm_2100,0.0020889730163062836,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0019409412739292975,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.0016099884053986102,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,14.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.007,PASS
AIS-CROSSING,int_over_cont_2100,1.1030710646025323,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.00636,PASS
P-FIRED-CONSISTENT,z_2100,0.3600409350434323,PASS
AIS-CROSSING,n_fired_2150,18.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.009,PASS
AIS-CROSSING,int_over_cont_2150,1.1352677605337969,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.007925,PASS
P-FIRED-CONSISTENT,z_2150,0.5421900879988726,PASS
AIS-CROSSING,n_fired_2300,19.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.0095,PASS
AIS-CROSSING,int_over_cont_2300,1.0573670645425188,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.00899,PASS
P-FIRED-CONSISTENT,z_2300,0.24163859932061696,PASS
MAGNITUDE,cm_per_GtCH4_2100,0.20889730163062836,PASS
