gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.00032644999999997815,PASS
SUM,max_abs_cm,1.3145040611561853e-13,PASS
SIGN,median_cm_2100,0.05549379866865678,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0830849178618891,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.14602563210387132,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,217.0,PASS
AIS-CROSSING,n_bifurcation_2100,2.0,PASS
AIS-CROSSING,p_fired_2100,0.1085,PASS
AIS-CROSSING,int_over_cont_2100,1.0296164802660126,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.1138103448275862,PASS
P-FIRED-CONSISTENT,z_2100,0.7477966463778835,PASS
AIS-CROSSING,n_fired_2150,400.0,PASS
AIS-CROSSING,n_bifurcation_2150,2.0,PASS
AIS-CROSSING,p_fired_2150,0.2,PASS
AIS-CROSSING,int_over_cont_2150,1.0493917240668407,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.19445659928656361,PASS
P-FIRED-CONSISTENT,z_2150,0.6263765002697373,PASS
AIS-CROSSING,n_fired_2300,699.0,PASS
AIS-CROSSING,n_bifurcation_2300,2.0,PASS
AIS-CROSSING,p_fired_2300,0.3495,PASS
AIS-CROSSING,int_over_cont_2300,1.0076963056181563,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.3554256837098692,PASS
P-FIRED-CONSISTENT,z_2300,0.5536592531617888,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.005549379866865678,PASS
