gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,0.0002524237473224833,PASS
SUM,max_abs_cm,9.237055564881302e-14,PASS
SIGN,median_cm_2100,0.005282652188896009,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.007369941719979067,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.01089415910306002,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,43.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.0215,PASS
AIS-CROSSING,int_over_cont_2100,1.3685120190129672,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.015848333333333332,PASS
P-FIRED-CONSISTENT,z_2100,2.0238052704317315,PASS
AIS-CROSSING,n_fired_2150,64.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.032,PASS
AIS-CROSSING,int_over_cont_2150,1.1756767325274018,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.027856666666666665,PASS
P-FIRED-CONSISTENT,z_2150,1.1259915902779258,PASS
AIS-CROSSING,n_fired_2300,95.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.0475,PASS
AIS-CROSSING,int_over_cont_2300,1.1257512810014068,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.04412083333333333,PASS
P-FIRED-CONSISTENT,z_2300,0.7358702727192701,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.005282652188896009,PASS
