gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.01907300000000056,PASS
SUM,max_abs_cm,1.6342482922482304e-13,PASS
SIGN,median_cm_2100,0.05473327582711107,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.07641906070558946,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.1295860391820156,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,264.0,PASS
AIS-CROSSING,n_bifurcation_2100,1.0,PASS
AIS-CROSSING,p_fired_2100,0.132,PASS
AIS-CROSSING,int_over_cont_2100,1.080035164553348,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.12199762187871581,PASS
P-FIRED-CONSISTENT,z_2100,1.3667677963706197,PASS
AIS-CROSSING,n_fired_2150,285.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.1425,PASS
AIS-CROSSING,int_over_cont_2150,1.0675074336016683,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.1326296076099881,PASS
P-FIRED-CONSISTENT,z_2150,1.301448169156764,PASS
AIS-CROSSING,n_fired_2300,286.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.143,PASS
AIS-CROSSING,int_over_cont_2300,1.0657529525978346,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.13311652794292508,PASS
P-FIRED-CONSISTENT,z_2300,1.3011524519137925,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.005473327582711107,PASS
