gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,8.911535581140884e-5,PASS
SUM,max_abs_cm,6.750155989720952e-14,PASS
SIGN,median_cm_2100,0.002374556212060952,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0022711670874713263,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.0019430031732028397,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,3.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.0015,PASS
AIS-CROSSING,int_over_cont_2100,0.5936769097784784,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.0038491666666666665,PASS
P-FIRED-CONSISTENT,z_2100,1.6966134995368907,PASS
AIS-CROSSING,n_fired_2150,5.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.0025,PASS
AIS-CROSSING,int_over_cont_2150,0.7231145640694986,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.004498333333333333,PASS
P-FIRED-CONSISTENT,z_2150,1.335476092442751,PASS
AIS-CROSSING,n_fired_2300,6.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.003,PASS
AIS-CROSSING,int_over_cont_2300,0.7697168968108269,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.004856666666666666,PASS
P-FIRED-CONSISTENT,z_2300,1.1943647320830215,PASS
MAGNITUDE,cm_per_GtCH4_2100,0.2374556212060952,PASS
