gate,key,value,verdict
CUBE-PREPULSE,first_diff_year,2031.0,PASS
CUBE-PREPULSE,ident_last_year,2030.0,PASS
AIS-MAP-EXACT,max_abs_degC,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
LWS-EXACT-ZERO,max_abs_cm,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.0028025499999998482,PASS
SUM,max_abs_cm,1.1013412404281553e-13,PASS
SIGN,median_cm_2100,0.005459814660710549,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.007658710783793765,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.01099242922715149,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,mechanism_present,0.0,PASS
AIS-CROSSING,n_fired_2100,12.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.006,PASS
AIS-CROSSING,int_over_cont_2100,0.9831737479430485,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.00906896551724138,PASS
P-FIRED-CONSISTENT,z_2100,1.447792812431962,PASS
AIS-CROSSING,n_fired_2150,21.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.0105,PASS
AIS-CROSSING,int_over_cont_2150,1.080894116576486,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.014172413793103448,PASS
P-FIRED-CONSISTENT,z_2150,1.3894541246807952,PASS
AIS-CROSSING,n_fired_2300,38.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.019,PASS
AIS-CROSSING,int_over_cont_2300,0.9035970912837674,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.02474435196195006,PASS
P-FIRED-CONSISTENT,z_2300,1.6537077444586805,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.005459814660710549,PASS
