year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,0.00016311777853217357,0.0001636714510032189,9.532827686533515e-7,9.262745668281447e-5,0.0002305506290121162
2033,glaciers,0.00039700800226882826,0.00039939190774881305,1.8501505954798555e-6,0.00027094347616818393,0.0005301614232990026
2034,glaciers,0.0006554382969921058,0.0006626535073470254,2.7617665556680006e-6,0.0004763681072238235,0.0008633418546607041
2035,glaciers,0.0009258442534514355,0.000938041751874674,3.73043692779529e-6,0.0006953736249520892,0.0012084223081819002
2036,glaciers,0.0012032127929784142,0.0012195714918675606,4.753463026183755e-6,0.0009126555484510579,0.0015738257055485593
2037,glaciers,0.0014826289773333112,0.0015044978851584709,5.8175212550034876e-6,0.0011250839307456626,0.0019522760730972253
2038,glaciers,0.0017682207911151604,0.0017912684444018542,6.910623445143801e-6,0.0013389400775917436,0.0023323500675387797
2039,glaciers,0.002054401033779074,0.0020788364094255617,8.024012517338226e-6,0.0015505975813588258,0.0027190651462299267
2040,glaciers,0.0023409387504131907,0.002366409786548623,9.151727666895468e-6,0.0017649754444268417,0.003101691484881641
2041,glaciers,0.0026244495237679466,0.0026533904424464144,1.0289749571353504e-5,0.001975471592539435,0.0034937024136059147
2042,glaciers,0.0029006991895987877,0.002939272277394271,1.1435109875958714e-5,0.00218784404619512,0.0038737827615892948
2043,glaciers,0.003181591832634556,0.003223633107090196,1.2585323908152775e-5,0.0023980863459697635,0.004248907343224983
2044,glaciers,0.0034583101521028503,0.003506119753334332,1.3738497989217672e-5,0.0025990697107767247,0.004612615410643661
