year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,1.6181021408101515e-5,1.638647641878932e-5,6.147012246510031e-8,1.2144969669858342e-5,2.108617439753324e-5
2033,glaciers,4.565620234653345e-5,4.631953443269743e-5,1.9356110630633935e-7,3.3020537233041655e-5,6.144315601501749e-5
2034,glaciers,8.106995904033631e-5,8.245571747664827e-5,3.6815818116384e-7,5.7147656687495106e-5,0.00011193436508782906
2035,glaciers,0.00011911494396077416,0.00012148306092141081,5.634139404737897e-7,8.372651500776485e-5,0.00016660362164300224
2036,glaciers,0.00015811213956173908,0.000161552233125986,7.675358956770091e-7,0.0001111313283121973,0.00022356658216096114
2037,glaciers,0.00019721114382775795,0.00020170611458106703,9.726527541212517e-7,0.0001379343044974668,0.0002799110740755228
2038,glaciers,0.00023606420216437662,0.00024143739940919718,1.1740266118782071e-6,0.0001652448907653703,0.00033653016409007636
2039,glaciers,0.0002737927686000674,0.00028043264070177766,1.368530699927125e-6,0.0001918834585366236,0.00039123518109367427
2040,glaciers,0.00031082226316225814,0.00031849204504990714,1.554958538708541e-6,0.00021768355482691958,0.00044530917821790085
2041,glaciers,0.0003474443662829785,0.000355460140725157,1.73271289208541e-6,0.00024301137082978206,0.0004952350303144559
2042,glaciers,0.0003823610831945601,0.0003912612240421618,1.9022924926741337e-6,0.00026876637672068604,0.0005447441002390363
2043,glaciers,0.0004161474766211093,0.0004258537016350965,2.0643091729149897e-6,0.0002934551192490309,0.0005923460201028518
2044,glaciers,0.0004482190098507033,0.0004592171708959254,2.2192444299383956e-6,0.0003162680942729423,0.0006381464209181952
