year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,0.0021279967332654692,0.0021574204422487417,1.3343467815294607e-5,0.0012337227260370122,0.0031061669181390306
2033,glaciers,0.005316346587903142,0.0054156867203963505,2.7932074599797642e-5,0.003483525238748442,0.007509914785493832
2034,glaciers,0.009022028757219358,0.009166890993188452,4.3557022038128724e-5,0.006315660974149441,0.012563403431146368
2035,glaciers,0.01289748884618147,0.01314709815838432,6.016605500520076e-5,0.009273741016311442,0.017957143052601477
2036,glaciers,0.016897082982991085,0.017225588223552094,7.747247866315003e-5,0.012344716155781477,0.0234261261847186
2037,glaciers,0.02089969795214719,0.021329799159500985,9.517792688946396e-5,0.015251143037975657,0.02881833176273811
2038,glaciers,0.024919322958284917,0.02541495070293902,0.00011304456837814183,0.01819936439952654,0.03450802811509683
2039,glaciers,0.0288985388253733,0.029451561501897896,0.000130899014740367,0.021109425270185667,0.039987224631089564
2040,glaciers,0.032844028941560355,0.03341949675086154,0.000148618428472546,0.023801740332977883,0.04535996942083511
2041,glaciers,0.03663577176336319,0.037305263222972236,0.0001661189666397802,0.026579058584770523,0.050631409549573854
2042,glaciers,0.04047569527425798,0.041099299906494094,0.00018334004430168506,0.029163521834057814,0.0557699017075838
2043,glaciers,0.04407949644290321,0.04479453609079154,0.00020023702168129709,0.03174407705330327,0.060765237805790524
2044,glaciers,0.0476818620890338,0.048385975848966915,0.00021677643217774838,0.03419251851336793,0.06572127967942877
2045,glaciers,0.05112476191852311,0.051870209134953695,0.00023293278989538875,0.03657938455631757,0.07062175924708222
