marker,specie,pulse_Gt,arm,horizon,component,median_cm,mean_cm,per_Gt_median,per_Gt_mean,p_fired,smooth_term_cm,premium_cm
M,CO2,0.1,P0p1,2100,total,0.0007382233124531012,0.0027685769583206754,0.0073822331245310124,0.027685769583206753,0.002,0.007706643721063635,0.019979125862143118
M,CO2,0.1,P0p1,2100,ais,8.643620835746546e-5,0.0020919430092370636,0.0008643620835746546,0.020919430092370635,0.002,0.0009549876668584777,0.01996444242551216
M,CO2,0.1,P0p1,2150,total,0.0009795310753020203,0.004061041816430301,0.009795310753020203,0.040610418164303004,0.003,0.01037748444349571,0.030232933720807292
M,CO2,0.1,P0p1,2150,ais,0.00016429945862128648,0.0032133478818334774,0.0016429945862128648,0.032133478818334775,0.003,0.001929168918553379,0.030204309899781394
M,CO2,0.1,P0p1,2300,total,0.0015174003858788865,0.005217208252427909,0.015174003858788865,0.052172082524279094,0.0035,0.019194517652396284,0.0329775648718828
M,CO2,0.1,P0p1,2300,ais,0.00043131504696702905,0.003874630100522488,0.0043131504696702905,0.03874630100522488,0.0035,0.005820967682703539,0.03292533332252134
M,CO2,0.3,P0p3,2100,total,0.0022153766648216333,0.005472049432414643,0.007384588882738778,0.018240164774715475,0.0035,0.007696918049718433,0.010543246724997046
M,CO2,0.3,P0p3,2100,ais,0.0002597943581772455,0.003442143266082128,0.0008659811939241517,0.011473810886940427,0.0035,0.0009541216953184225,0.010519689191622005
M,CO2,0.3,P0p3,2150,total,0.00294139552367767,0.008782551183345652,0.009804651745592235,0.029275170611152177,0.006,0.010349077378568883,0.018926093232583294
M,CO2,0.3,P0p3,2150,ais,0.0004957033181760551,0.006239465791594045,0.0016523443939201836,0.020798219305313486,0.006,0.0019249912831737338,0.018873228022139754
M,CO2,0.3,P0p3,2300,total,0.004561036230370519,0.012034746083825902,0.015203454101235064,0.04011582027941967,0.007,0.019139693700010816,0.02097612657940886
M,CO2,0.3,P0p3,2300,ais,0.0012962782388292737,0.008007025498834208,0.004320927462764246,0.026690084996114027,0.007,0.005807779839732342,0.02088230515638169
M,CO2,1.0,P1p0,2100,total,0.007397672879999817,0.017476512157970848,0.007397672879999817,0.017476512157970848,0.0095,0.007651362479896766,0.009825149678074085
M,CO2,1.0,P1p0,2100,ais,0.000869275180599427,0.010710152874123907,0.000869275180599427,0.010710152874123907,0.0095,0.0009482567318175349,0.009761896142306372
M,CO2,1.0,P1p0,2150,total,0.009833934124976906,0.026731729581322358,0.009833934124976906,0.026731729581322358,0.0165,0.01025132142257957,0.01648040815874279
M,CO2,1.0,P1p0,2150,ais,0.0016760405537947776,0.018254784708219746,0.0016760405537947776,0.018254784708219746,0.0165,0.0019083876420442336,0.01634639706617551
