gate,key,value,verdict
BASE-IDENTITY,max_abs,0.0,PASS
P0-IDENTITY,skipped,1.0,PASS
IRF-VALID,max_abs_cm_2100,2.323614793908746e-6,PASS
IRF-VALID,pct_of_median_2100,0.03183869376707397,PASS
IRF-VALID,max_abs_cm_2150,2.812055839740424e-6,PASS
IRF-VALID,pct_of_median_2150,0.02957151139353405,PASS
IRF-VALID,max_abs_cm_2300,6.678128045223275e-6,PASS
IRF-VALID,pct_of_median_2300,0.046438800167379314,PASS
FLAT,total_2100_ratio_P0_over_smalllimit,1.000327171393744,PASS
FLAT,total_2150_ratio_P0_over_smalllimit,1.0002082816914044,PASS
FLAT,total_2300_ratio_P0_over_smalllimit,1.0906187971035446,PASS
FLAT,ais_2100_ratio_P0_over_smalllimit,1.0146663162394642,PASS
FLAT,ais_2150_ratio_P0_over_smalllimit,1.063411914058773,PASS
FLAT,ais_2300_ratio_P0_over_smalllimit,1.0731661212044508,PASS
