marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
HL,CO2,1.0,glaciers,2100,8000,10.452034328619744,10.454205125500343,0.0018475682905689794,0.0021707968805984024,0.0019075182934167687,0.0012131814057131153,0.0028216390400118033,0.0018475682905689794,5.473801396200981e-6,0.012868125,0.0018807874542721304,2.6751343182010836e-5
HL,CO2,1.0,glaciers,2150,8000,12.67499844037342,12.67743742096819,0.002075939566756446,0.0024389805947695464,0.0021316340558493454,0.0013831179523516647,0.0030781418392390237,0.002075939566756446,5.780205053700376e-6,0.022967291666666667,0.0020797726477403185,5.188979262094473e-5
HL,CO2,1.0,glaciers,2300,8000,13.162429270029754,13.165117978705329,0.0023548165778084496,0.0026887086755742473,0.0024452227979698113,0.001523965005401351,0.0036898348634272437,0.0023548165778084496,7.415118123022546e-6,0.033756666666666664,0.0023532093877138313,9.19791705715473e-5
HL,CO2,1.0,gis,2100,8000,8.964250053051718,8.96604465526794,0.0018388699346028048,0.0017946022162220743,0.002063448667997598,0.0011525643117280993,0.003694052922920932,0.0018388699346028048,9.323614963621755e-6,0.012868125,0.0020337553482705265,2.9722795804386576e-5
HL,CO2,1.0,gis,2150,8000,10.715083348067878,10.717124265285287,0.002172117050385225,0.002040917217408733,0.0024867915813424277,0.0013640525440479223,0.004587504298005919,0.002172117050385225,1.3345222613516449e-5,0.022967291666666667,0.002425460062632458,6.137273987285777e-5
HL,CO2,1.0,gis,2300,8000,8.105240135062324,8.108397504246435,0.00265134255578392,0.003157369184110692,0.002979075611829326,0.0015913426277643695,0.005069861232983009,0.00265134255578392,2.2476072479502973e-5,0.033756666666666664,0.002854632867911463,0.0001243564144821801
HL,CO2,1.0,ais,2100,8000,27.243121302200805,27.283433299836332,0.0010800924074985119,0.040311997635527064,0.013111450639970887,0.0004492195177228986,0.0027742658273837155,0.0010800924074985119,0.0012539176955380883,0.012868125,0.0012125290664052068,0.012009015140855877
HL,CO2,1.0,ais,2150,8000,37.28112886203152,37.34335552982202,0.0018136838047260184,0.06222666779049746,0.02341432989988957,0.000730016736867256,0.005589964716072517,0.0018136838047260184,0.001656387838661304,0.022967291666666667,0.00206280426258937,0.021554996932268762
HL,CO2,1.0,ais,2300,8000,41.47647973794744,41.51526196140543,0.003267269305076148,0.038782223457985765,0.03519330315545147,0.001218180778612954,0.016478198582069586,0.003267269305076148,0.001995123298943842,0.033756666666666664,0.00389356938937245,0.03119087161243467
HL,CO2,1.0,te,2100,8000,16.455808803838288,16.45875141061483,0.002900832500511541,0.002942606776542789,0.0029537050424161934,0.001602311572547954,0.0046269888504735235,0.002900832500511541,1.0780314897342483e-5,0.012868125,0.002911986998697057,4.175285819785814e-5
HL,CO2,1.0,te,2150,8000,19.68808593156661,19.691727367410557,0.003946802587787346,0.0036414358439458283,0.0041022055007262186,0.002124217132093342,0.006785095631120441,0.003946802587787346,1.6503059231489797e-5,0.022967291666666667,0.004001453756608233,0.00010081563090470758
HL,CO2,1.0,te,2300,8000,16.97108367703771,16.976129855803695,0.006048863239740854,0.005046178765983456,0.00662434812395622,0.0032079424201437944,0.012112952447239422,0.006048863239740854,3.146010037036011e-5,0.033756666666666664,0.00635635153566659,0.0002678361399583248
HL,CO2,1.0,lws,2100,8000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012868125,0.0,0.0
HL,CO2,1.0,lws,2150,8000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022967291666666667,0.0,0.0
HL,CO2,1.0,lws,2300,8000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033756666666666664,0.0,0.0
HL,CO2,1.0,total,2100,8000,65.92179042064754,65.96017434426636,0.007715383659842701,0.0383839236188237,0.020036122643801384,0.00510620082491613,0.013414745952633212,0.007715383659842701,0.0012549116086030836,0.012868125,0.00803905886764486,0.012107242138040127
HL,CO2,1.0,total,2150,8000,83.93904071604813,83.9671328898288,0.010083765534581346,0.028092173780677854,0.03213496103780761,0.006530699752540059,0.019595694446286414,0.010083765534581346,0.0016576566252369405,0.022967291666666667,0.010569490729570436,0.021769075095667268
HL,CO2,1.0,total,2300,8000,88.98190037490554,89.01687409510063,0.014627389845024652,0.03497372019509726,0.04724194968920673,0.008920206645051821,0.034395033129460725,0.014627389845024652,0.0020007276090303902,0.033756666666666664,0.015457763180664282,0.03167504333744669
