marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
H,CO2,1.0,glaciers,2100,2000,10.98109028039405,10.982557778742835,0.0015097378499309144,0.0014674983487861226,0.0015474013251820852,0.0010410889043466654,0.002165180311004278,0.0015097378499309144,7.747699468974993e-6,0.010046967895362663,0.0015314856485168738,1.5883383602373106e-5
H,CO2,1.0,glaciers,2150,2000,17.079600712226046,17.080822448514695,0.0013012397643628049,0.0012217362886488559,0.0013121734476684503,0.0009267333561499668,0.001736772621907079,0.0013012397643628049,5.462593667984325e-6,0.012846611177170036,0.0012945033711510916,1.757615537964522e-5
H,CO2,1.0,glaciers,2300,2000,25.259500458987603,25.25992170363967,0.0005149161087203424,0.00042124465206683226,0.0005094744005907224,0.00018676326271638288,0.0008056541605762744,0.0005149161087203424,4.20387721167412e-6,0.013621878715814507,0.0005011790538916039,8.055666254651232e-6
H,CO2,1.0,gis,2100,2000,9.703048167446529,9.704765471253946,0.001634132171409064,0.001717303807417636,0.0017743504712839852,0.0009915607577638318,0.002979038185886651,0.001634132171409064,1.4768356309026044e-5,0.010046967895362663,0.0017566514948248355,1.7710167088799368e-5
H,CO2,1.0,gis,2150,2000,17.93663864495874,17.938844683197303,0.002186115478071571,0.0022060382385618027,0.0025789341872884393,0.0012491474884580357,0.005248705413292854,0.002186115478071571,2.8381344574142848e-5,0.012846611177170036,0.0025492815235240948,3.0054398670679938e-5
H,CO2,1.0,gis,2300,2000,57.23898997969863,57.24638690828664,0.007598891732321533,0.0073969285880082225,0.006765586403361611,0.001397762271601799,0.010212475357621287,0.007598891732321533,6.161477630366248e-5,0.013621878715814507,0.0066926116770901,7.636745907587705e-5
H,CO2,1.0,ais,2100,2000,25.336833192254048,25.338212821304147,0.0009158691551824916,0.0013796290500991404,0.011362237465359788,0.0003940433898221407,0.0020936068549076477,0.0009158691551824916,0.002351481587440402,0.010046967895362663,0.001001806547485302,0.009463691504295185
H,CO2,1.0,ais,2150,2000,76.86984292231685,76.87348771508377,0.001821649063991515,0.003644792766920091,0.016238801317982998,0.0007303581345080801,0.005250606406954715,0.001821649063991515,0.002756786119271927,0.012846611177170036,0.0021413361006647064,0.012493153728561305
H,CO2,1.0,ais,2300,2000,255.0880175786826,255.1544991178772,0.005696638657568087,0.06648153919459787,0.023215887123230892,0.0019586787570887053,0.025467604244221315,0.005696638657568087,0.0028195961926676155,0.013621878715814507,0.007769540698218396,0.01277073165696063
H,CO2,1.0,te,2100,2000,23.59144503895795,23.59454712690643,0.003298168974197324,0.0031020879484806585,0.0033614082053609485,0.002233483530956626,0.00464058788801509,0.003298168974197324,1.6900977039000196e-5,0.010046967895362663,0.0033281764763089996,3.327900932485482e-5
H,CO2,1.0,te,2150,2000,41.14194532137232,41.14635063271268,0.004217308055338265,0.0044053113403634825,0.004336781441197378,0.002705298614053753,0.006211890215817916,0.004217308055338265,2.4668504623468952e-5,0.012846611177170036,0.004283799449765779,5.329744588324213e-5
H,CO2,1.0,te,2300,2000,89.57174151589749,89.5780312105535,0.005647724742090077,0.006289694656018696,0.005771501121404477,0.002964180832933394,0.008961622528559587,0.005647724742090077,4.114214320114981e-5,0.013621878715814507,0.0057018168559689,7.126423317429712e-5
H,CO2,1.0,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010046967895362663,0.0,0.0
H,CO2,1.0,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012846611177170036,0.0,0.0
H,CO2,1.0,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013621878715814507,0.0,0.0
H,CO2,1.0,total,2100,2000,72.37847199954216,72.38707226409437,0.007387290869246499,0.008600264552214298,0.018045397467187158,0.005284481715124656,0.01140653179787492,0.007387290869246499,0.0023517840380678752,0.010046967895362663,0.007618120167136363,0.009530564064311211
H,CO2,1.0,total,2150,2000,158.38431108798432,158.3933006438796,0.009714048115306184,0.008989555895283274,0.02446669039413789,0.006526005311346239,0.017590235009916452,0.009714048115306184,0.0027565424054141253,0.012846611177170036,0.01026892044510628,0.012594081728494891
H,CO2,1.0,total,2300,2000,439.2117624465652,439.2295172704089,0.019801622294323806,0.017754823843688428,0.03626244904858692,0.008426790331600388,0.042656338088653434,0.019801622294323806,0.0028183396488086084,0.013621878715814507,0.02066514828516814,0.01292641901546552
