marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
LN,CO2,1.0,glaciers,2100,8000,7.247056324100393,7.249000644469971,0.0019988204871177473,0.0019443203695779232,0.002098065043020494,0.001233814019278512,0.0033373559531622026,0.0019988204871177473,7.319343119126871e-6,0.008038333333333333,0.002077660695202125,2.0725273709744955e-5
LN,CO2,1.0,glaciers,2150,8000,7.983396100180721,7.9857933921155535,0.0023296042604110667,0.0023972919348320687,0.0024611425167740957,0.0014331291238713463,0.0039776455508638625,0.0023296042604110667,8.751959755508101e-6,0.00942,0.002432450349554716,2.9117949189148066e-5
LN,CO2,1.0,glaciers,2300,8000,5.822283294870811,5.826959389277147,0.003883528363719968,0.004676094406335984,0.003993726709406208,0.002130244024637129,0.006321047337752717,0.003883528363719968,1.4335155533901719e-5,0.009470208333333334,0.003946725889702514,4.762232837538799e-5
LN,CO2,1.0,gis,2100,8000,5.844649521316041,5.846579960873508,0.0017989853868547456,0.0019304395574666344,0.001921366333195632,0.0011743763081751625,0.00303272618458168,0.0017989853868547456,6.783594566180851e-6,0.008038333333333333,0.0019025752917261672,1.9094472744248438e-5
LN,CO2,1.0,gis,2150,8000,5.827615063827353,5.830028851479822,0.002262361270856772,0.002413787652469246,0.0024063223301891,0.0014644526687755289,0.003823461379870885,0.002262361270856772,8.332944560293477e-6,0.00942,0.0023780415347716827,2.8714696499890416e-5
LN,CO2,1.0,gis,2300,8000,3.0246483557150934,3.0257060330533183,0.0013112377446384826,0.0010576773382249272,0.0013882750759511406,9.035112250037612e-5,0.002894688062959805,0.0013112377446384826,9.86248710972634e-6,0.009470208333333334,0.001370396802932356,1.81985957621942e-5
LN,CO2,1.0,ais,2100,8000,4.549318401482547,4.550161522149413,0.0009174661893540659,0.0008431206668655378,0.008561133340873937,0.00037823332024444767,0.0020848494909842426,0.0009174661893540659,0.0010205341089315552,0.008038333333333333,0.0010075721924761613,0.008232220523225496
LN,CO2,1.0,ais,2150,8000,6.330961148159069,6.332232493154099,0.0014279603417546305,0.0012713449950298994,0.010222615156581164,0.0005644034688687682,0.0033999800537742432,0.0014279603417546305,0.0010669534367680831,0.00942,0.0016320399512679436,0.00924717943132345
LN,CO2,1.0,ais,2300,8000,7.366294723257095,7.368477534921463,0.0017900263505628011,0.0021828116643680673,0.011024945376687004,-0.00017483082406291044,0.007274038426961487,0.0017900263505628011,0.0010458392386657844,0.009470208333333334,0.002555125299416149,0.009036216381220374
LN,CO2,1.0,te,2100,8000,10.469082238416643,10.47255017169893,0.003157812450322872,0.003467933282287561,0.0032415975204814406,0.0017325133592975383,0.0050836213458600454,0.003157812450322872,1.1884113183253406e-5,0.008038333333333333,0.0032096171404246126,3.2517463136672493e-5
LN,CO2,1.0,te,2150,8000,10.277204756898556,10.281351284848588,0.00423486812531948,0.004146527950032564,0.004457772098889457,0.0022634889574356444,0.0074997428079051085,0.00423486812531948,1.8389369659877198e-5,0.00942,0.00440492000102046,5.3691562511332576e-5
LN,CO2,1.0,te,2300,8000,-3.457949831756208,-3.449300829690939,0.010343582841254806,0.008649002065268974,0.010970831169370076,0.006403488183552442,0.017584485435014854,0.010343582841254806,3.9410801786999936e-5,0.009470208333333334,0.010835993418218955,0.00013693271817564039
LN,CO2,1.0,lws,2100,8000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008038333333333333,0.0,0.0
LN,CO2,1.0,lws,2150,8000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00942,0.0,0.0
LN,CO2,1.0,lws,2300,8000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009470208333333334,0.0,0.0
LN,CO2,1.0,total,2100,8000,30.78675020652242,30.79479418754106,0.00784927525632284,0.008043981018641233,0.015822162237571446,0.005244847266020614,0.012934645640683229,0.00784927525632284,0.0010223715355829259,0.008038333333333333,0.008197425319829003,0.008304557732816168
LN,CO2,1.0,total,2150,8000,34.85026201253851,34.860224242615914,0.010226999927777314,0.00996223007740582,0.019547852102433785,0.0066555821985485155,0.01797893491336531,0.010226999927777314,0.0010699611199051667,0.00942,0.010847451836614772,0.009358703639523819
LN,CO2,1.0,total,2300,8000,21.30686620879066,21.326429254265637,0.017511006685456465,0.019563045474978225,0.027377778331414426,0.010985752688175055,0.033861287000798164,0.017511006685456465,0.001052782338240258,0.009470208333333334,0.018708241410269985,0.00923897002353358
