marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
LN,CO2,1.0,glaciers,2100,8000,7.244357312388315,7.24672732051105,0.00199842500774583,0.0023700081227344683,0.002097787442894198,0.0012325039444784913,0.0033374055817907864,0.00199842500774583,7.320004810779052e-6,0.00513125,0.002083271446515948,1.42631629481292e-5
LN,CO2,1.0,glaciers,2150,8000,7.976914507516765,7.979471279498181,0.0023300160535724146,0.0025567719814159062,0.0024608498540396573,0.0014327906864480154,0.003978443668775267,0.0023300160535724146,8.751621846859548e-6,0.005802708333333333,0.0024407765341245987,1.9656262196224367e-5
LN,CO2,1.0,glaciers,2300,8000,5.8211438553723855,5.826176650912615,0.00388348669643257,0.0050327955402291735,0.003995391726814769,0.00213082761730492,0.006326627633904637,0.00388348669643257,1.434632427952391e-5,0.00582125,0.003962394646509905,3.214617886676791e-5
LN,CO2,1.0,gis,2100,8000,5.939085696471944,5.940652831428421,0.0017990259198121805,0.0015671349564776449,0.001938812405181445,0.0012117448801568288,0.0031288059867662812,0.0017990259198121805,6.733393414147652e-6,0.00513125,0.0019250889204098717,1.3469085906223156e-5
LN,CO2,1.0,gis,2150,8000,5.879221261973423,5.8810895288543,0.002296702817563556,0.0018682668808773784,0.002450194383784672,0.0014955753997497824,0.0039187971322247606,0.002296702817563556,8.511416036325979e-6,0.005802708333333333,0.002429706514991174,2.0036519198567988e-5
LN,CO2,1.0,gis,2300,8000,3.0558949539926497,3.05740510409507,0.0013145532347476063,0.0015101501024203934,0.0013928001609035024,0.00011469912406978363,0.0028744376687804165,0.0013145532347476063,9.766140902475966e-6,0.00582125,0.0013803931120509167,1.2031420966843041e-5
LN,CO2,1.0,ais,2100,8000,4.211326983234493,4.212167509053854,0.0008686386001821589,0.0008405258193615595,0.006776153336687706,0.00036117697102184816,0.001900004500299657,0.0008686386001821589,0.0009482806634788212,0.00513125,0.0009513304731421357,0.00543462393840473
LN,CO2,1.0,ais,2150,8000,5.825585723827048,5.827000925588896,0.0013490489598586564,0.0014152017618478396,0.00808708124196237,0.000523657388294918,0.003199860914173148,0.0013490489598586564,0.0009869213833151884,0.005802708333333333,0.0016402666729050705,0.0059861226861894915
LN,CO2,1.0,ais,2300,8000,6.727665938406929,6.729842572597268,0.0016112928415354943,0.0021766341903388664,0.008642300547362822,-0.00036376652707970086,0.006047660319759633,0.0016112928415354943,0.0009531497114338883,0.00582125,0.002343917058480382,0.005752480750193919
LN,CO2,1.0,te,2100,8000,10.469082238416636,10.47255017169893,0.0031578124503255367,0.0034679332822946662,0.003241597520481287,0.0017325133592992258,0.005083621345859513,0.0031578124503255367,1.1884113183252387e-5,0.00513125,0.00322110085515157,2.023631821322122e-5
LN,CO2,1.0,te,2150,8000,10.277204756898561,10.281351284848597,0.0042348681253132625,0.004146527950036116,0.0044577720988894,0.0022634889574352445,0.007499742807891253,0.0042348681253132625,1.8389369659874176e-5,0.005802708333333333,0.004423784784650069,3.3402789418376333e-5
LN,CO2,1.0,te,2300,8000,-3.4579498317561996,-3.4493008296909404,0.01034358284125858,0.008649002065259204,0.010970831169369982,0.006403488183550698,0.0175844854350153,0.01034358284125858,3.941080178699765e-5,0.00582125,0.010884119108246236,8.471579076446064e-5
LN,CO2,1.0,lws,2100,8000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513125,0.0,0.0
LN,CO2,1.0,lws,2150,8000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005802708333333333,0.0,0.0
LN,CO2,1.0,lws,2300,8000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00582125,0.0,0.0
LN,CO2,1.0,total,2100,8000,30.45842242818331,30.466292730343447,0.0077833515468768155,0.007870302160135623,0.014054350705244722,0.005273525930419254,0.012853096890526317,0.0077833515468768155,0.0009501764035041989,0.00513125,0.008180791695219625,0.005482592505472294
LN,CO2,1.0,total,2150,8000,34.259639349796274,34.27123996736064,0.010185358418038248,0.011600617564369031,0.017455897578676164,0.006645754173739959,0.018022250390172804,0.010185358418038248,0.000990141542333405,0.005802708333333333,0.010934534506670963,0.006059218257002676
LN,CO2,1.0,total,2300,8000,20.459389098997413,20.476089206541918,0.01731099332086572,0.016700107544505016,0.025001323604450905,0.010878789987455484,0.032891483949094906,0.01731099332086572,0.0009597097976777784,0.00582125,0.018570823925287278,0.005881374140791984
