marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
M,CH4,0.01,glaciers,2100,2000,10.005335291301478,10.006355548961102,0.000956203035315184,0.00102025765962388,0.0009876058135288384,0.0006282490675865838,0.0014519882380035652,0.0956203035315184,5.710975584941511e-6,0.005814506539833532,0.0009816079460985695,5.989924574440146e-6
M,CH4,0.01,glaciers,2150,2000,14.805812026864245,14.80642197512862,0.0005434802678045969,0.000609948264374438,0.00055603658435908,0.00035533307495079215,0.0007923637443820298,0.05434802678045969,2.994439391511909e-6,0.006898929845422117,0.0005524038861337163,3.6608817494588396e-6
M,CH4,0.01,glaciers,2300,2000,21.414541245794236,21.414755519674046,0.0001592168908857161,0.00021427387980921253,0.00016331694710809507,8.831855967645907e-5,0.0002501822568856227,0.01592168908857161,1.1137883162742928e-6,0.007577288941736028,0.00016220922636297176,1.1219163652412616e-6
M,CH4,0.01,gis,2100,2000,8.664364008748949,8.665223506670683,0.0009236187902326165,0.0008594979217342313,0.0010141039252160918,0.0005813494237547623,0.0017115466148336356,0.09236187902326165,8.341973957170973e-6,0.005814506539833532,0.0010080335674666617,6.064951834001436e-6
M,CH4,0.01,gis,2150,2000,14.099760933437949,14.100372567502578,0.0006623982769617953,0.000611634064629385,0.0007645512259016804,0.0003720399961548715,0.001489328776471943,0.06623982769617953,9.032574688625588e-6,0.006898929845422117,0.0007590305415208448,5.486577531926667e-6
M,CH4,0.01,gis,2300,2000,24.441116756214058,24.441438439073828,0.00036360380280342497,0.00032168285977007827,0.0008284250942733973,0.00015252614337555313,0.002890186514255788,0.0363603802803425,2.0942520706625682e-5,0.007577288941736028,0.0008218977905280523,6.49994841363197e-6
M,CH4,0.01,ais,2100,2000,12.756621825069628,12.757210065427437,0.0005743117325058833,0.0005882403578088002,0.0067215325818652,0.00024158205753517235,0.001306655393798195,0.05743117325058833,0.001804846648895702,0.005814506539833532,0.0006331873630800782,0.00590023500193042
M,CH4,0.01,ais,2150,2000,60.08147379657789,60.08202949096578,0.000698951695039085,0.0005556943878914922,0.009030550237843393,0.00028264863618954195,0.0018198729652816321,0.0698951695039085,0.002107268516813008,0.006898929845422117,0.0008097579666940646,0.0070901078714116295
M,CH4,0.01,ais,2300,2000,211.61197325329965,211.6137204273141,0.0009044336026420297,0.0017471740144401338,0.009386928448975275,0.0003405484224188626,0.003220925100511351,0.09044336026420297,0.0020330214835293237,0.007577288941736028,0.001197136045193582,0.0073017479148559826
M,CH4,0.01,te,2100,2000,21.15045234924257,21.15274248669506,0.00189939857048671,0.002290137452490626,0.001962975348279601,0.0012400231201324273,0.002910153991528652,0.189939857048671,1.1677733200689983e-5,0.005814506539833532,0.0019503610162981127,1.2576997691124434e-5
M,CH4,0.01,te,2150,2000,34.07584217879376,34.0772344894866,0.001546167652499264,0.001392310692835963,0.0016179364958645612,0.0009337412422697255,0.002568299719880684,0.1546167652499264,1.1287639901080709e-5,0.006898929845422117,0.0016049497969177217,1.2733818328482524e-5
M,CH4,0.01,te,2300,2000,60.830254468307686,60.83113011650731,0.0009093974409211114,0.0008756481996243792,0.0009711887790390321,0.0003583301297979347,0.0018034449292649412,0.09093974409211114,1.0284213349449483e-5,0.007577288941736028,0.0009618430460569837,9.128415623759873e-6
M,CH4,0.01,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005814506539833532,0.0,0.0
M,CH4,0.01,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006898929845422117,0.0,0.0
M,CH4,0.01,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007577288941736028,0.0,0.0
M,CH4,0.01,total,2100,2000,57.1315215506103,57.13645405555013,0.004380406988772734,0.004932504939830551,0.010686217668889365,0.003083710325609701,0.007018553611153777,0.43804069887727337,0.001805627030363107,0.005814506539833532,0.0045731898929430624,0.005924866876029982
M,CH4,0.01,total,2150,2000,128.56538235103736,128.56966864891206,0.0034927434210487718,0.004286297874699585,0.011969074543969139,0.002352760484239269,0.006232376094536105,0.3492743421048772,0.002107996758747178,0.006898929845422117,0.003726142191266767,0.007111989149021503
M,CH4,0.01,total,2300,2000,332.76982823179355,332.77151372898976,0.002412363634277881,0.0016854971962061427,0.011349859269396575,0.0013066954313813994,0.00775472064591156,0.2412363634277881,0.0020340532789167817,0.007577288941736028,0.0031430861081424666,0.007318498195258527
