gate,key,value,verdict
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,max_abs_cm_glaciers,0.0,PASS
REACHBACK,pct_of_2100_glaciers,0.0,PASS
REACHBACK,max_abs_cm_gis,2.1513946912854465e-5,PASS
REACHBACK,pct_of_2100_gis,1.3475691933535012,PASS
REACHBACK,max_abs_cm_ais,1.3889099870212362e-7,PASS
REACHBACK,pct_of_2100_ais,0.014937309195021993,PASS
REACHBACK,max_abs_cm_te,0.0,PASS
REACHBACK,pct_of_2100_te,0.0,PASS
REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,pct_of_2100_lws,0.0,PASS
REACHBACK,max_abs_cm_total,2.1599203279265566e-5,PASS
REACHBACK,pct_of_2100_total,0.28933373707260857,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.00032644999999997815,PASS
SUM,max_abs_cm,1.4566126083082054e-13,PASS
SIGN,median_cm_2100,0.007465152006744802,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.009948702648046037,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.01463878537866492,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,2.0,PASS
AIS-CROSSING,n_fired_2100,25.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.0125,PASS
AIS-CROSSING,int_over_cont_2100,1.2832939203051754,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.010111771700356717,PASS
P-FIRED-CONSISTENT,z_2100,1.067539935312058,PASS
AIS-CROSSING,n_fired_2150,45.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.0225,PASS
AIS-CROSSING,int_over_cont_2150,1.2298093927853513,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.018333531510107016,PASS
P-FIRED-CONSISTENT,z_2150,1.3889226379634017,PASS
AIS-CROSSING,n_fired_2300,73.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.0365,PASS
AIS-CROSSING,int_over_cont_2300,1.1422674105061035,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.033456004756242566,PASS
P-FIRED-CONSISTENT,z_2300,0.7570265571615535,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.007465152006744802,PASS
