gate,key,value,verdict
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,max_abs_cm_glaciers,0.0,PASS
REACHBACK,pct_of_2100_glaciers,0.0,PASS
REACHBACK,max_abs_cm_gis,3.0466852199317884e-5,PASS
REACHBACK,pct_of_2100_gis,3.7167039694346546,PASS
REACHBACK,max_abs_cm_ais,1.6758717746867546e-7,PASS
REACHBACK,pct_of_2100_ais,0.038151735656058255,PASS
REACHBACK,max_abs_cm_te,0.0,PASS
REACHBACK,pct_of_2100_te,0.0,PASS
REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,pct_of_2100_lws,0.0,PASS
REACHBACK,max_abs_cm_total,3.058032063663063e-5,PASS
REACHBACK,pct_of_2100_total,0.9009659907286325,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,8.911535581140884e-5,PASS
SUM,max_abs_cm,8.526512829121202e-14,PASS
SIGN,median_cm_2100,0.0033941703628457276,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0029688249574206793,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.0025097476397775154,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,0.0,PASS
AIS-CROSSING,n_fired_2100,12.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.0015,PASS
AIS-CROSSING,int_over_cont_2100,0.7411520817283227,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.0021952083333333333,PASS
P-FIRED-CONSISTENT,z_2100,1.3286154513917878,PASS
AIS-CROSSING,n_fired_2150,18.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.00225,PASS
AIS-CROSSING,int_over_cont_2150,0.8615132657200341,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.0025583333333333335,PASS
P-FIRED-CONSISTENT,z_2150,0.545937785352555,PASS
AIS-CROSSING,n_fired_2300,19.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.002375,PASS
AIS-CROSSING,int_over_cont_2300,0.8504025564088694,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.002738125,PASS
P-FIRED-CONSISTENT,z_2300,0.6215411682573925,PASS
MAGNITUDE,cm_per_GtCH4_2100,0.33941703628457276,PASS
