gate,key,value,verdict
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,max_abs_cm_glaciers,0.0,PASS
REACHBACK,pct_of_2100_glaciers,0.0,PASS
REACHBACK,max_abs_cm_gis,3.503919325353877e-5,PASS
REACHBACK,pct_of_2100_gis,3.894872081486524,PASS
REACHBACK,max_abs_cm_ais,2.2749375716557552e-7,PASS
REACHBACK,pct_of_2100_ais,0.04214338833746961,PASS
REACHBACK,max_abs_cm_te,0.0,PASS
REACHBACK,pct_of_2100_te,0.0,PASS
REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,pct_of_2100_lws,0.0,PASS
REACHBACK,max_abs_cm_total,3.5266687010704345e-5,PASS
REACHBACK,pct_of_2100_total,0.8241398640675885,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.0015477499999999589,PASS
SUM,max_abs_cm,1.0302869668521453e-13,PASS
SIGN,median_cm_2100,0.004279211399463634,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0035157013920610325,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.002483925212445115,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,0.0,PASS
AIS-CROSSING,n_fired_2100,16.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.008,PASS
AIS-CROSSING,int_over_cont_2100,1.520614927788413,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.005334126040428062,PASS
P-FIRED-CONSISTENT,z_2100,1.6367575940280759,PASS
AIS-CROSSING,n_fired_2150,19.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.0095,PASS
AIS-CROSSING,int_over_cont_2150,1.380865746666558,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.006706896551724138,PASS
P-FIRED-CONSISTENT,z_2150,1.5303913589477347,PASS
AIS-CROSSING,n_fired_2300,21.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.0105,PASS
AIS-CROSSING,int_over_cont_2300,1.3458784258756449,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.007579072532699168,PASS
P-FIRED-CONSISTENT,z_2300,1.5061900765165657,PASS
MAGNITUDE,cm_per_GtCH4_2100,0.4279211399463634,PASS
