gate,key,value,verdict
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,max_abs_cm_glaciers,0.0,PASS
REACHBACK,pct_of_2100_glaciers,0.0,PASS
REACHBACK,max_abs_cm_gis,2.833545728719855e-5,PASS
REACHBACK,pct_of_2100_gis,3.903726897106631,PASS
REACHBACK,max_abs_cm_ais,1.5308404544001064e-7,PASS
REACHBACK,pct_of_2100_ais,0.03508294556881331,PASS
REACHBACK,max_abs_cm_te,0.0,PASS
REACHBACK,pct_of_2100_te,0.0,PASS
REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,pct_of_2100_lws,0.0,PASS
REACHBACK,max_abs_cm_total,2.844142419178297e-5,PASS
REACHBACK,pct_of_2100_total,0.9611454112807697,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,0.0015814707692132224,PASS
SUM,max_abs_cm,3.268496584496461e-13,PASS
SIGN,median_cm_2100,0.0029591177212076047,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.0023750514574700787,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.001954712086899235,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,0.0,PASS
AIS-CROSSING,n_fired_2100,31.0,PASS
AIS-CROSSING,n_bifurcation_2100,0.0,PASS
AIS-CROSSING,p_fired_2100,0.003875,PASS
AIS-CROSSING,int_over_cont_2100,0.9820452792182313,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.00396,PASS
P-FIRED-CONSISTENT,z_2100,0.12105366328186719,PASS
AIS-CROSSING,n_fired_2150,39.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.004875,PASS
AIS-CROSSING,int_over_cont_2150,0.9917497692764797,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.004911875,PASS
P-FIRED-CONSISTENT,z_2150,0.047176161079691706,PASS
AIS-CROSSING,n_fired_2300,43.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.005375,PASS
AIS-CROSSING,int_over_cont_2300,0.9223226778569553,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.00578125,PASS
P-FIRED-CONSISTENT,z_2300,0.4792769223739342,PASS
MAGNITUDE,cm_per_GtCH4_2100,0.2959117721207605,PASS
