year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.5090751014644752e-5,2.5653903568781e-5,6.854940050414513e-8,1.6625566358685618e-5,3.670621614735303e-5
2033,glaciers,7.052979889987654e-5,7.241609894743212e-5,2.0985165983708754e-7,4.521143204452294e-5,0.00010639907742926448
2034,glaciers,0.00012456783002567917,0.00012853299113438677,3.915835547761137e-7,7.819885940656411e-5,0.00019160241665381328
2035,glaciers,0.00018219681166220525,0.00018871774390032264,5.930444109516933e-7,0.00011388018671047995,0.00028519552877179775
2036,glaciers,0.00024079936475107644,0.0002498429267493403,8.014358119321289e-7,0.00014970386733934583,0.00038104627055086655
2037,glaciers,0.000298232028681511,0.0003103615977397849,1.009415690687749e-6,0.00018504792315185978,0.0004752306478582824
2038,glaciers,0.00035472761862820334,0.00036930598213594744,1.2109583229467835e-6,0.00022045199690872154,0.0005679623545842283
2039,glaciers,0.00040914775137856907,0.0004261077736072482,1.4027414722916807e-6,0.0002535106183501057,0.0006568108972174081
2040,glaciers,0.00046099090713758173,0.0004803710793874675,1.5834279723724535e-6,0.00028585364257036614,0.0007390455421354415
2041,glaciers,0.0005105017965747471,0.0005318304191167435,1.7526509772566903e-6,0.0003171854405315422,0.0008191777057537931
2042,glaciers,0.0005574031176012184,0.0005803466705446317,1.9104215598809337e-6,0.00034576335380065437,0.0008927197916863694
2043,glaciers,0.000601156221783139,0.0006259032769921628,2.0567487871064316e-6,0.00037283639579088756,0.000961024654736109
2044,glaciers,0.00064208432508428,0.000668559743757028,2.1922528695346953e-6,0.00039866955985172763,0.0010265003711883215
