year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,3.418343058747553e-5,3.514049837296307e-5,2.521291162043578e-7,1.809381643722574e-5,5.547856094429981e-5
2033,glaciers,8.559734548096998e-5,8.762766888247952e-5,5.578384013789441e-7,5.100786468696939e-5,0.0001352664108006607
2034,glaciers,0.00014351590747363474,0.0001472643624061698,8.979789344420308e-7,9.022346011411386e-5,0.00022363481826577215
2035,glaciers,0.00020361650635924988,0.00020965915377430756,1.2604265800678676e-6,0.00013170951173275823,0.00031579266911050394
2036,glaciers,0.00026456282653475327,0.0002726601897419998,1.6346703507017935e-6,0.00017141884038758272,0.0004079625151566901
2037,glaciers,0.0003250079040784115,0.0003349973051308999,2.012154272327416e-6,0.00021067069292262096,0.0004998096844767374
2038,glaciers,0.00038308863020031225,0.000395896820553342,2.386917804713362e-6,0.00024728342504194424,0.0005930207035534707
2039,glaciers,0.0004394530934930252,0.0004548917418801812,2.7547719637034523e-6,0.00028225723353725307,0.0006847356112798852
2040,glaciers,0.0004944446927162005,0.0005116549447712693,3.112759013861292e-6,0.00031595936266111125,0.0007736121899313274
2041,glaciers,0.0005467554869849067,0.0005657454564014306,3.457080856129851e-6,0.00034870477625505993,0.0008545413007533753
2042,glaciers,0.0005954239028556074,0.0006170540771414328,3.7864596471836515e-6,0.0003798059780092178,0.0009340005891321112
2043,glaciers,0.0006422271875314856,0.0006655356291164635,4.099735455149408e-6,0.000409861635919162,0.0010093245733520993
2044,glaciers,0.000686682852288456,0.0007111844571070356,4.39643383396189e-6,0.000437688895208499,0.0010814973722852006
