year,component,med_diff_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0
2032,glaciers,0.000258469838051667,0.0001360567532404655,0.00039911129616392315
2033,glaciers,0.0006238552425452681,0.0003829329807960136,0.0009404791137147539
2034,glaciers,0.0010293358868338487,0.0006732007190465072,0.0015305985008509991
2035,glaciers,0.001454644347763434,0.000975594227333243,0.002155694906133121
2036,glaciers,0.0018818100828235096,0.0012719312988608066,0.002788237697413365
2037,glaciers,0.002309771512166492,0.0015579513110985045,0.0034485741545368766
2038,glaciers,0.0027410238876743875,0.0018358325810413857,0.004087546300515176
2039,glaciers,0.0031738764328546054,0.002118888984304901,0.004744107607169879
2040,glaciers,0.003597904104292393,0.0023961417304741773,0.005373408805954938
2041,glaciers,0.004021984551298097,0.002670604602270199,0.00602582444671178
2042,glaciers,0.004434189459219251,0.002953900893022876,0.006655390651507841
2043,glaciers,0.004849309303133431,0.0031844281695319054,0.007254018086725899
2044,glaciers,0.005260144802875288,0.003436883706821536,0.007855257272341997
2045,glaciers,0.005650822306860537,0.0036845874766591627,0.008462202487103453
2046,glaciers,0.006037996350775288,0.0039328956112294035,0.009062103587673231
2047,glaciers,0.006417609751686371,0.004175407160630229,0.009636976743135415
2048,glaciers,0.006779952255342447,0.004407094561907909,0.010210151826527358
2049,glaciers,0.0071359528752221735,0.004633601879293137,0.010712277100442157
2050,glaciers,0.007472445015560325,0.004877844991126201,0.011214705693816551
2051,glaciers,0.007815765099748795,0.005091971170169307,0.011739255049449948
2052,glaciers,0.008146786940466999,0.005307756332073543,0.012264043482723606
2053,glaciers,0.008472004936489697,0.005521625121967943,0.01278150611229174
2054,glaciers,0.008784075158013493,0.005700150213209021,0.013274055569044573
2055,glaciers,0.009078960322677077,0.005879953455477649,0.013762496622597807
2056,glaciers,0.00935420612082094,0.006069171912580363,0.01417618475080875
2057,glaciers,0.00963243478088005,0.006248742649383576,0.014610393098529248
2058,glaciers,0.00990707704117888,0.0064256206120244744,0.015058222388712038
2059,glaciers,0.010175927194477907,0.006606832241452443,0.015447791333115912
2060,glaciers,0.010424335161649978,0.006765699517907242,0.015808560401656367
2061,glaciers,0.010678912487509962,0.006928019555010323,0.016188057143791654
2062,glaciers,0.010907770997183874,0.007083539131041406,0.0165705145853412
2063,glaciers,0.011127016588932115,0.0072411253983137415,0.01690028237703407
2064,glaciers,0.0113433483133063,0.007388672006929741,0.01727022046402409
2065,glaciers,0.011566389507167152,0.007529720252151062,0.0176306038448903
2066,glaciers,0.011779620347112996,0.00767263608660782,0.017960742527049156
2067,glaciers,0.01198702390671258,0.0078092770070271374,0.018310698520629474
2068,glaciers,0.012186796596465044,0.00793192639308664,0.018648481243768254
2069,glaciers,0.012379436573566771,0.008066934418342697,0.01897607591884425
2070,glaciers,0.012578085569567854,0.008200033407940932,0.0192452083580763
2071,glaciers,0.012766964113184898,0.008322988403783338,0.019558833319961888
2072,glaciers,0.012931841326442317,0.008443896754662995,0.01981080731838167
2073,glaciers,0.013107082585256613,0.008562262983277424,0.02006791620509638
2074,glaciers,0.013279526587655077,0.00868772568509053,0.02029750144209306
2075,glaciers,0.013461457376990893,0.008791894517230147,0.020534284771907437
2076,glaciers,0.013624404859420736,0.008889046665407551,0.020797538478881522
2077,glaciers,0.01377481043822737,0.009012085426715633,0.021074849727525533
2078,glaciers,0.013924017614455941,0.00910670062665746,0.021313677616017827
2079,glaciers,0.014068562933110762,0.009200479576009446,0.021666446386959935
2080,glaciers,0.014208064613681515,0.009295384448638977,0.02182053112050148
2081,glaciers,0.014354888300148083,0.009380929100786516,0.022071759425296995
2082,glaciers,0.01449212472463568,0.009468114964554976,0.022302583069892988
2083,glaciers,0.014619758274899475,0.009558874148773456,0.02251752672933005
2084,glaciers,0.014753802104229052,0.00966546426738475,0.02270834976095628
2085,glaciers,0.014887370101654973,0.009741682386351248,0.02284603527074047
2086,glaciers,0.015033904750290539,0.00981606976701901,0.022978757047469496
2087,glaciers,0.015152529532116432,0.009906626735504886,0.023167606738124392
2088,glaciers,0.015292751847069574,0.009991659371662553,0.023292402307992253
2089,glaciers,0.015402849099595883,0.01007620173555317,0.023435317578995373
2090,glaciers,0.015536386266622237,0.010166982217219456,0.023564620298648357
2091,glaciers,0.0156585096146884,0.010249945302693587,0.023778256948514095
2092,glaciers,0.01576839614668124,0.010342264101932041,0.0239881335768489
2093,glaciers,0.015884040133869348,0.010426266641655602,0.024187770497358055
2094,glaciers,0.015994162570553527,0.01049236058816092,0.024363716836727
2095,glaciers,0.016102384262947744,0.01055852420880541,0.02452442117126221
2096,glaciers,0.01620237140455849,0.010630494394063562,0.024684130072927423
2097,glaciers,0.016306260857970045,0.010716481691365054,0.024825030890660925
2098,glaciers,0.016404255166046156,0.010783541128264051,0.02493237615792667
2099,glaciers,0.016500843893149764,0.010848254055153016,0.02506705270697882
2100,glaciers,0.016590997209906533,0.010911723202949464,0.025256264965847916
2101,glaciers,0.016677669294410613,0.010974075709307751,0.025440339589305336
2102,glaciers,0.01677781527193467,0.011042011067594792,0.02558314436646363
2103,glaciers,0.01686392616997079,0.011112173370165124,0.025705870433298902
2104,glaciers,0.016949408783274222,0.011175457753344543,0.025818472182706206
2105,glaciers,0.017039988115023164,0.011234477411073307,0.02596851255687804
2106,glaciers,0.01713832612577626,0.01129223586041217,0.0261285673589561
2107,glaciers,0.017226520479524332,0.011357387600568725,0.026259000483679348
2108,glaciers,0.017304966944037048,0.011426947732126269,0.02638484627619686
2109,glaciers,0.01736691311279248,0.011491859126901626,0.026533589412383218
2110,glaciers,0.017452295991068567,0.011539074829062735,0.026675132903603415
2111,glaciers,0.017559644558668097,0.011572954863097796,0.026797106536847526
2112,glaciers,0.017652127493465564,0.011619958401524943,0.02691115522895169
2113,glaciers,0.017733071550154023,0.011677447751107817,0.02705442757986578
2114,glaciers,0.017819205165649166,0.011740799073115137,0.02717147744113948
2115,glaciers,0.01790188763415923,0.011810021583372965,0.027254086733368155
2116,glaciers,0.017987033469088587,0.01187373374059506,0.027394207986348815
2117,glaciers,0.018057240934305163,0.011926864307760443,0.02754817810327026
2118,glaciers,0.018136251966913264,0.011972380682825178,0.027695200253904238
2119,glaciers,0.018218942916060854,0.012014057669869693,0.02778590751082141
2120,glaciers,0.01829381923565343,0.012066616020681754,0.027867099503432684
2121,glaciers,0.018359260105440534,0.012119169536012818,0.02794780331010766
2122,glaciers,0.0184251237048354,0.012170915685518223,0.028049228753078817
2123,glaciers,0.01849247953704669,0.012218431594649904,0.028174066917391362
2124,glaciers,0.018564283158230666,0.012271191483798648,0.028299924666382554
2125,glaciers,0.018629030502704147,0.012312170539428548,0.028434241220190868
2126,glaciers,0.018692581155580257,0.012362364697420603,0.02856046050617387
2127,glaciers,0.018748614225452265,0.012412203167198932,0.028662785572156044
2128,glaciers,0.018809231937412463,0.01245229414078084,0.02875773823333274
2129,glaciers,0.01886444187579972,0.01248549412538189,0.02883974673439029
2130,glaciers,0.018928495109505228,0.01251759372503427,0.02891829688711622
2131,glaciers,0.018989689639976604,0.012549287723034297,0.028994715490372865
2132,glaciers,0.01905682535138542,0.012590953415968543,0.0290746135402812
2133,glaciers,0.019122493644136984,0.012630569124472135,0.029176040334684572
2134,glaciers,0.01919134645950571,0.012657382338465872,0.029235508345247574
2135,glaciers,0.01924699061488333,0.012683679554762328,0.029293287506348166
2136,glaciers,0.019292536014365425,0.012709643220378819,0.029350649704934548
2137,glaciers,0.019348564394510603,0.012744290420568839,0.029406844644673136
2138,glaciers,0.01940079837007147,0.01279017656076542,0.029478825464856938
2139,glaciers,0.01946040715494579,0.012835466401306573,0.029564801260969897
2140,glaciers,0.019508165382850606,0.012880728185881818,0.02966441742385681
2141,glaciers,0.01956204261329475,0.01292535607185048,0.029774243586209965
2142,glaciers,0.01962208179716729,0.012969224226111555,0.029880792253957626
2143,glaciers,0.01967164786139186,0.013012328674335105,0.029982993813672282
2144,glaciers,0.019729412117387213,0.013054705757967789,0.030083315517466232
2145,glaciers,0.01978340837758008,0.013076102627266283,0.030181787520972933
2146,glaciers,0.019829500963072455,0.013095119677806943,0.030276998492314265
2147,glaciers,0.019883416266465836,0.013113720250923321,0.030325923997975575
2148,glaciers,0.019930954646745214,0.013131906553695406,0.030361709288680667
2149,glaciers,0.019980522586706684,0.013166979886378537,0.030433538086234075
2150,glaciers,0.020032561273059635,0.013202021643966068,0.03051692574827953
2151,glaciers,0.020083298820686935,0.013228631462334484,0.030599223832012967
2152,glaciers,0.020129715350992505,0.013251391714852102,0.03068035473612287
2153,glaciers,0.02017894195747072,0.013273639599778165,0.030760312568253845
2154,glaciers,0.02022069855748221,0.013295303885985809,0.030839174519754667
2155,glaciers,0.020262775141683953,0.013332073495230912,0.030901939488710183
2156,glaciers,0.020299986641720835,0.01336850352883987,0.030976890705044634
2157,glaciers,0.02034128816991565,0.013405093579485073,0.031071678405839884
2158,glaciers,0.020381582637750917,0.01344172534292891,0.03114015645457382
2159,glaciers,0.02041675454050651,0.013465968360474534,0.031198280019187053
2160,glaciers,0.020454632557560082,0.013486853920727526,0.03128333907633003
2161,glaciers,0.02049346638527183,0.013512421729276802,0.031366012787232125
2162,glaciers,0.020527855833777586,0.013542805433620585,0.03143753883457059
2163,glaciers,0.020566748269822632,0.013558964452894085,0.03151477370631177
2164,glaciers,0.02060548609959678,0.013574647028277553,0.031593857078548206
2165,glaciers,0.020638299646164704,0.013589597084118487,0.0316718121248508
2166,glaciers,0.020665110042122237,0.013603899061228919,0.031738088807825894
2167,glaciers,0.020709882776019484,0.013618676281057151,0.03180441636550135
2168,glaciers,0.02075471096124737,0.013647308352039289,0.03189764372747703
2169,glaciers,0.020787908046112413,0.013675790300881108,0.03195285424823524
2170,glaciers,0.02082468293211104,0.01370407653134702,0.03201019371425992
2171,glaciers,0.020863125643018066,0.013723734874816618,0.032054694202558305
2172,glaciers,0.020896224196987667,0.013732125590717192,0.0320975955505693
2173,glaciers,0.020931352783415846,0.013763577900420999,0.03214071913343499
