year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.3054773007569196e-5,2.3575166105204658e-5,6.156572709955754e-8,1.5496490639188564e-5,3.356263319593822e-5
2033,glaciers,6.377142866531571e-5,6.543478709996798e-5,1.8729420620311807e-7,4.090182852980462e-5,9.581721662028643e-5
2034,glaciers,0.00011235907696827141,0.00011580584632514956,3.5038931424166184e-7,7.041795672853013e-5,0.00017289966083282595
2035,glaciers,0.00016520871114522606,0.0001706686480353504,5.346629092063016e-7,0.00010202948795767774,0.00025773091175800293
2036,glaciers,0.0002200861517471786,0.00022779875971356867,7.300352028188795e-7,0.00013510003426286943,0.00034659683239874895
2037,glaciers,0.000276017758192193,0.0002860735210838954,9.314110179029606e-7,0.00016903149657245822,0.00043769142936902485
2038,glaciers,0.0003327537723882834,0.0003446379606759394,1.1333737634603317e-6,0.0002033119749906831,0.0005293726032240542
2039,glaciers,0.00038878737135794594,0.0004029390586309455,1.3331407858894014e-6,0.00023791215651454146,0.0006194103279941743
2040,glaciers,0.000444155294131221,0.0004605338278491681,1.5286847819191189e-6,0.00027160634690508444,0.0007098263412260941
2041,glaciers,0.0004980701128931564,0.0005170886242851203,1.7196920888737925e-6,0.00030440055886842287,0.0007989259303540665
2042,glaciers,0.0005508830225418038,0.0005723656251884513,1.9059059813927751e-6,0.00033721724707147516,0.0008846274206838701
2043,glaciers,0.0006027827820966891,0.0006262576636831711,2.0870092923064272e-6,0.00036928174849721885,0.0009716985134307521
2044,glaciers,0.0006529233447301053,0.0006787448983289625,2.263350725302787e-6,0.00040076333566960723,0.0010522883995945256
