year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.5711240924319867e-5,2.6314052667664788e-5,7.056351153095246e-8,1.7084116881127543e-5,3.7691811207674075e-5
2033,glaciers,7.228900318700937e-5,7.427092876296166e-5,2.1596526916642687e-7,4.637360131432011e-5,0.00010923529319009085
2034,glaciers,0.0001276847187523522,0.000131833351583306,4.0272872481924236e-7,8.022934098956824e-5,0.00019702402696148983
2035,glaciers,0.000186852332063836,0.00019356385344140465,6.092889876032603e-7,0.0001165015744173381,0.00029253423148918324
2036,glaciers,0.00024689612514361414,0.0002562709556587535,8.229373603928851e-7,0.00015311926738363903,0.0003913975149239413
2037,glaciers,0.00030594656434956846,0.0003182555968555529,1.0353871522956734e-6,0.0001897836339141534,0.0004884552267415909
2038,glaciers,0.00036355106670438175,0.0003785540101349508,1.2425831531698326e-6,0.00022555096860679135,0.0005814160013720482
2039,glaciers,0.000418668924022203,0.00043657145408204786,1.4402841145259092e-6,0.0002594434684153768,0.000671123435339993
2040,glaciers,0.0004715227031795166,0.0004919146230016199,1.6271230554610667e-6,0.00029267399075170173,0.0007570685042703751
2041,glaciers,0.0005220623030433025,0.0005442593707283947,1.8006708449289784e-6,0.0003236015602135378,0.0008370972156225508
2042,glaciers,0.0005694930438675527,0.0005934892820328473,1.9611785932269385e-6,0.000353343209155188,0.0009140194506321198
2043,glaciers,0.0006138562322846042,0.0006396383436187528,2.109554161133118e-6,0.00038086008457129946,0.0009836913869710974
2044,glaciers,0.000655078981474766,0.000682792265185165,2.2466535688310254e-6,0.0004068773749605459,0.001049095568277858
