year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.2771150943512453e-5,2.3307176164519383e-5,6.051675992587441e-8,1.5320922513817336e-5,3.312932137284897e-5
2033,glaciers,6.292045525713164e-5,6.460411008244099e-5,1.8386674854266312e-7,4.055761388452872e-5,9.45883751643617e-5
2034,glaciers,0.00011077898276168341,0.00011420067758168889,3.4366466233926943e-7,6.970836223874066e-5,0.0001704337329117678
2035,glaciers,0.0001627317093375602,0.00016808719112350112,5.232572114952744e-7,0.00010081504719652302,0.0002534332942009776
2036,glaciers,0.00021658692631154608,0.00022407004579360452,7.129441974807123e-7,0.00013340293414940697,0.00034006150178851336
2037,glaciers,0.0002712369777175816,0.0002809529014072671,9.074870502235352e-7,0.00016638173155691938,0.0004288107487476545
2038,glaciers,0.00032626893927956147,0.0003379459647928516,1.1036720938164517e-6,0.00020024807363840935,0.0005172320724856405
2039,glaciers,0.00038050600559014214,0.0003945097677568065,1.296668216870389e-6,0.00023382563160949667,0.0006063390782686806
2040,glaciers,0.0004340128511701735,0.00045027731036128595,1.485505737908642e-6,0.0002666779494698623,0.0006934231882456565
2041,glaciers,0.00048651693446988276,0.0005050169881436159,1.6693800128078646e-6,0.0002990065547969767,0.0007781240410371648
2042,glaciers,0.0005380540100645703,0.0005586088609618935,1.8482358344865087e-6,0.00033093301704942844,0.0008604551508129444
2043,glaciers,0.000588109004262094,0.0006110113204040823,2.0221828955462725e-6,0.0003624749853553766,0.0009441301779138378
2044,glaciers,0.0006375960710629514,0.0006622501378369274,2.1919429955002847e-6,0.0003923431158172619,0.0010243572781369892
