year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,3.401113438350478e-5,3.496749703374724e-5,2.498405435284063e-7,1.7982057969656573e-5,5.4684694000783904e-5
2033,glaciers,8.537744397818514e-5,8.720410283489732e-5,5.517286724275003e-7,5.093267140563462e-5,0.0001330857385794637
2034,glaciers,0.00014283951319127297,0.0001466173476615149,8.873692155469065e-7,9.02662105521035e-5,0.0002212559086817389
2035,glaciers,0.0002031380315168363,0.0002089122224147051,1.2453314456937759e-6,0.00013164156696054974,0.0003135860799376111
2036,glaciers,0.0002638910864454225,0.00027199406929296477,1.6154037150294296e-6,0.0001712156171823409,0.00040712954818604706
2037,glaciers,0.0003250518556274784,0.0003346544708943806,1.989627314477554e-6,0.00021118643383286618,0.0004990003415620503
2038,glaciers,0.0003840536831023478,0.0003961141059965683,2.3622038710401483e-6,0.0002479641693409196,0.0005909929677487824
2039,glaciers,0.00044119485304427997,0.00045590268360323093,2.7293015751562883e-6,0.0002837006071130688,0.0006841606760382035
2040,glaciers,0.0004972732246337763,0.0005137083905711459,3.0879541857658157e-6,0.00031874462793139995,0.0007738813229094976
2041,glaciers,0.0005503252569032391,0.0005690888241582659,3.4347799415949683e-6,0.0003512403744531767,0.0008585153458454895
2042,glaciers,0.0006005033131586401,0.0006219345276776962,3.7683249566041317e-6,0.0003821138817826419,0.0009405575933059573
2043,glaciers,0.0006487084723687531,0.0006722423166143985,4.088002670731418e-6,0.0004137874460633295,0.001017948816586678
2044,glaciers,0.0006952188697288975,0.0007199955556830742,4.39333647071235e-6,0.0004426052957728022,0.0010915230244582296
