year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.565576006618997e-5,2.6098907896674683e-5,1.7698851580071254e-7,1.3474698393922678e-5,3.959257239989355e-5
2033,glaciers,6.178603258044646e-5,6.343685867049497e-5,3.7095450383369567e-7,3.810020217716037e-5,9.309697786323845e-5
2034,glaciers,0.00010192288803345662,0.00010484559852872555,5.815858127522582e-7,6.694224247860703e-5,0.00015147632324348235
2035,glaciers,0.0001441988181380971,0.00014790613305982347,8.069909723305456e-7,9.695240591409693e-5,0.0002120228945543978
2036,glaciers,0.00018630190193924534,0.0001917124507550414,1.0432057013660625e-6,0.00012582468869801744,0.0002742501324505042
2037,glaciers,0.000228759081598362,0.00023581824758191973,1.2865071577106883e-6,0.00015451730027860044,0.00033830131105236914
2038,glaciers,0.00027121903724669494,0.00027993283217846843,1.5342498180518257e-6,0.0001821153353219529,0.00040281478069967844
2039,glaciers,0.00031388577563928877,0.0003238861325475293,1.784540227476361e-6,0.0002103232173639391,0.0004642658904649988
2040,glaciers,0.00035532731472320833,0.0003675355588468454,2.0358872292162937e-6,0.00023722874868621348,0.000529654880479935
2041,glaciers,0.000396560553435954,0.00041059005211366317,2.286120289992375e-6,0.00026437842286819446,0.0005941424997709887
2042,glaciers,0.000438280190593332,0.00045296129602453614,2.534409133745356e-6,0.0002921327636135285,0.0006561624293126122
2043,glaciers,0.00047909368157394994,0.0004946409011063793,2.780290862529304e-6,0.00031804560682830997,0.0007155259022684213
2044,glaciers,0.0005202744635912637,0.0005355917915351163,3.0232796224419952e-6,0.00034257423840426964,0.0007777843021086638
