year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,2.544876381094241e-5,2.6025308165801507e-5,6.978442434877299e-8,1.6855371708190958e-5,3.723011075797978e-5
2033,glaciers,7.161828340684906e-5,7.364635395779567e-5,2.146632668114783e-7,4.5909714718472824e-5,0.000108469777046194
2034,glaciers,0.00012685105479004477,0.0001310627759006751,4.022831278089077e-7,7.955560594559152e-5,0.00019587227088249115
2035,glaciers,0.00018614482688139589,0.00019293904111400507,6.115194145429888e-7,0.00011573255372261393,0.0002927327130313628
2036,glaciers,0.00024652410991210516,0.000256091220025368,8.29658979176979e-7,0.00015228872545525185,0.0003933650241498388
2037,glaciers,0.00030634266180040726,0.00031879844753916845,1.0484857445263094e-6,0.00018895721338356707,0.0004916672425912428
2038,glaciers,0.00036490736010730274,0.0003800328855999663,1.2626712666099746e-6,0.00022490907979761944,0.0005871958468576467
2039,glaciers,0.0004215386860022541,0.00043920006483696224,1.468421208460164e-6,0.00025932731366640205,0.0006806816330807487
2040,glaciers,0.0004754597209832845,0.0004958808627874692,1.663844974420936e-6,0.0002925956538925689,0.0007682133449177453
2041,glaciers,0.0005269385357653533,0.000549736103200364,1.8470246137857267e-6,0.00032440370611732663,0.0008520498128472553
2042,glaciers,0.0005762184802313719,0.0006006081611864447,2.0177631753092427e-6,0.0003540477813262388,0.0009303417340998711
2043,glaciers,0.000621789366702874,0.0006485055636993368,2.1767531740565676e-6,0.0003809929342923901,0.001004027955620579
2044,glaciers,0.0006652762458760897,0.0006935078534108872,2.3247685581052077e-6,0.0004079641524730171,0.0010748911665468875
