year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,0.00016387455913657867,0.0001644456343526073,9.581580558674155e-7,9.307575430956838e-5,0.00023155455778798293
2033,glaciers,0.00039889150340544077,0.00040137816242452785,1.8613121593919578e-6,0.0002722748929282037,0.0005335298122092435
2034,glaciers,0.0006587132100428494,0.0006661190253414024,2.7807629729940826e-6,0.0004790249577141692,0.0008682326605171431
2035,glaciers,0.0009305934915757597,0.0009431956995193995,3.7583168452956942e-6,0.0006990243914074545,0.0012138820681072858
2036,glaciers,0.0012096810446831086,0.0012266150939807116,4.790961447437703e-6,0.0009164863032963933,0.0015851250788351035
2037,glaciers,0.0014925533655867351,0.001513626403638621,5.865123295083226e-6,0.0011305725709279903,0.0019678099235285627
2038,glaciers,0.0017806020512256548,0.0018026941387687353,6.968685159235102e-6,0.0013487706931333942,0.0023476235081270947
2039,glaciers,0.002067192688072428,0.0020927878359066356,8.093084423359161e-6,0.0015597203377469171,0.0027346728907864603
2040,glaciers,0.002358180500419582,0.0023831317523071577,9.232336494949887e-6,0.0017773995970503664,0.003127084209316955
2041,glaciers,0.0026442478966079985,0.0026731457215910482,1.0382511714004362e-5,0.0019910369960154826,0.003516206049660386
2042,glaciers,0.002924181798148462,0.0029623399081646572,1.1540688853835413e-5,0.0022025158291236525,0.00390174135120227
2043,glaciers,0.003209147267152268,0.0032503072603932183,1.2704533256561466e-5,0.002417787063469001,0.0042870365780501634
2044,glaciers,0.003489959698095735,0.0035367187856939603,1.3872159573950167e-5,0.002624538952124311,0.004656974615898646
