gate,key,value,verdict
PRE-PULSE-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_gis,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_ais,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_te,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_lws,0.0,PASS
PRE-PULSE-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,max_abs_cm_glaciers,0.0,PASS
REACHBACK,pct_of_2100_glaciers,0.0,PASS
REACHBACK,max_abs_cm_gis,0.0002149051857971429,PASS
REACHBACK,pct_of_2100_gis,1.3126388193556457,PASS
REACHBACK,max_abs_cm_ais,1.397980298190049e-6,PASS
REACHBACK,pct_of_2100_ais,0.014728092908445534,PASS
REACHBACK,max_abs_cm_te,0.0,PASS
REACHBACK,pct_of_2100_te,0.0,PASS
REACHBACK,max_abs_cm_lws,0.0,PASS
REACHBACK,pct_of_2100_lws,0.0,PASS
REACHBACK,max_abs_cm_total,0.00021630316609488887,PASS
REACHBACK,pct_of_2100_total,0.28651297826024114,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
PAIRING,median_dgmst_bias_degC,0.01907300000000056,PASS
SUM,max_abs_cm,2.0605739337042905e-13,PASS
SIGN,median_cm_2100,0.07549506741660394,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.10217800698168844,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2300,0.20987929639221647,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,0.0,PASS
AIS-CROSSING,n_fired_2100,199.0,PASS
AIS-CROSSING,n_bifurcation_2100,3.0,PASS
AIS-CROSSING,p_fired_2100,0.0995,PASS
AIS-CROSSING,int_over_cont_2100,1.0129961768674478,PASS
P-FIRED-CONSISTENT,p_fired_exact_2100,0.10008026159334125,PASS
P-FIRED-CONSISTENT,z_2100,0.0864694545284256,PASS
AIS-CROSSING,n_fired_2150,264.0,PASS
AIS-CROSSING,n_bifurcation_2150,0.0,PASS
AIS-CROSSING,p_fired_2150,0.132,PASS
AIS-CROSSING,int_over_cont_2150,1.0375676810369452,PASS
P-FIRED-CONSISTENT,p_fired_exact_2150,0.12795719381688467,PASS
P-FIRED-CONSISTENT,z_2150,0.5412484474509104,PASS
AIS-CROSSING,n_fired_2300,283.0,PASS
AIS-CROSSING,n_bifurcation_2300,0.0,PASS
AIS-CROSSING,p_fired_2300,0.1415,PASS
AIS-CROSSING,int_over_cont_2300,1.0390442012043501,PASS
P-FIRED-CONSISTENT,p_fired_exact_2300,0.13518906064209274,PASS
P-FIRED-CONSISTENT,z_2300,0.8254250456272583,PASS
MAGNITUDE,cm_per_GtCO2_2100,0.007549506741660395,PASS
