year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,0.0002563551215275517,0.0002610124632409714,1.7792440279477983e-6,0.0001342659740310115,0.0003939478259411988
2033,glaciers,0.000618726667350078,0.000635596048436498,3.7463027149494976e-6,0.00038142168062420544,0.0009350523969762658
2034,glaciers,0.0010231014183839093,0.0010527911804709446,5.8992388379998575e-6,0.0006692742330834722,0.0015211573472955209
2035,glaciers,0.0014493715774790417,0.0014885867384776925,8.220958918635093e-6,0.0009718348548412247,0.0021511668644178528
2036,glaciers,0.001880295367765239,0.0019340751216079,1.0672864643670198e-5,0.0012658623532590507,0.002785100220811909
2037,glaciers,0.002309518123322807,0.0023847158469736465,1.3216860859049088e-5,0.001556561796738487,0.0034566944403882967
2038,glaciers,0.00274254993114198,0.002836749072153736,1.581603962408923e-5,0.0018381110923556322,0.0041251716121143206
2039,glaciers,0.0031758235641246024,0.0032878767518737966,1.8445812480638273e-5,0.002128160596288886,0.004778967055109495
2040,glaciers,0.0036118683435160115,0.003736366281577476,2.10881932653457e-5,0.0024075362236302134,0.0054330756334658665
2041,glaciers,0.004042584226287449,0.004179046321331478,2.3718590661211374e-5,0.002682493496198912,0.006092842526517561
2042,glaciers,0.004483980699653056,0.004614895592880612,2.6325704018267748e-5,0.0029588750931547557,0.006742158245106644
2043,glaciers,0.004899106539686393,0.005043654862547012,2.8903916866723326e-5,0.003205810347896776,0.0073780151479406085
2044,glaciers,0.005309267629644232,0.00546495329720667,3.144770864314456e-5,0.0034550278180236036,0.008006453204775799
