year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0,0.0,0.0
2032,glaciers,0.000258469838051667,0.00026285989936377475,1.7923485100776693e-6,0.0001360567532404655,0.00039911129616392315
2033,glaciers,0.0006238552425452681,0.0006396955918645037,3.7713807440427875e-6,0.0003829329807960136,0.0009404791137147539
2034,glaciers,0.0010293358868338487,0.0010583462257133204,5.929177269456765e-6,0.0006732007190465072,0.0015305985008509991
2035,glaciers,0.001454644347763434,0.001494212375858864,8.244901902005766e-6,0.000975594227333243,0.002155694906133121
2036,glaciers,0.0018818100828235096,0.0019381095180774869,1.0678042678916343e-5,0.0012719312988608066,0.002788237697413365
2037,glaciers,0.002309771512166492,0.002385376458590124,1.3189875167083938e-5,0.0015579513110985045,0.0034485741545368766
2038,glaciers,0.0027410238876743875,0.0028331556600084923,1.5751652784694276e-5,0.0018358325810413857,0.004087546300515176
2039,glaciers,0.0031738764328546054,0.003279518842248862,1.8342801882076963e-5,0.002118888984304901,0.004744107607169879
2040,glaciers,0.003597904104292393,0.0037228005075104773,2.094683074590533e-5,0.0023961417304741773,0.005373408805954938
2041,glaciers,0.004021984551298097,0.004159753050418631,2.3539530478872248e-5,0.002670604602270199,0.00602582444671178
2042,glaciers,0.004434189459219251,0.004589278271321317,2.610978765363506e-5,0.002953900893022876,0.006655390651507841
2043,glaciers,0.004849309303133431,0.005010604348420837,2.864849264238691e-5,0.0031844281695319054,0.007254018086725899
2044,glaciers,0.005260144802875288,0.005423166171844093,3.1149008303839336e-5,0.003436883706821536,0.007855257272341997
