type,cube,rff_idx,fair_cfg_idx,seed_idx,gmst_2050,gmst_2100
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,5011,575,(N/A),1.7157224416732788,2.2756705284118652
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9,0,(N/A),1.4297040700912476,1.6064425706863403
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9,420,(N/A),2.018639087677002,2.434741973876953
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9,840,(N/A),1.9902452230453491,2.617424249649048
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9983,0,(N/A),1.555361270904541,2.253361701965332
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9983,420,(N/A),2.182677745819092,3.477780818939209
deterministic,lhs_pilot_gmst_full_N200_to2300.npz,9983,840,(N/A),2.147472381591797,3.647181510925293
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,0,0,1.3425066471099854,1.4290516376495361
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,0,9,1.5511528253555298,1.6634678840637207
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,420,0,2.0554869174957275,2.3715009689331055
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,420,9,1.9377014636993408,2.1601874828338623
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,840,0,1.9933785200119019,2.2994577884674072
stochastic,lhs_pilot_gmst_full_stoch_test.npz,91,840,9,1.5772373676300049,1.6191332340240479
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,0,0,1.4948225021362305,2.5089783668518066
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,0,9,1.8999099731445312,2.310091972351074
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,420,0,2.262089729309082,4.2765326499938965
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,420,9,2.0063352584838867,2.786217451095581
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,840,0,2.201639413833618,4.223827838897705
stochastic,lhs_pilot_gmst_full_stoch_test.npz,4389,840,9,0.8447202444076538,1.2451220750808716
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,0,0,1.4045897722244263,1.9159013032913208
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,0,9,1.7228096723556519,2.081453800201416
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,420,0,2.110321521759033,3.195809841156006
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,420,9,1.8394564390182495,2.548347234725952
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,840,0,2.070974826812744,3.2366249561309814
stochastic,lhs_pilot_gmst_full_stoch_test.npz,8247,840,9,0.9434381127357483,1.3338714838027954
