ssp,horizon,arm,label,tant_target,tant_realised,gmst_pctile,n_draws,med_cm,p05_cm,p95_cm,spread_cm,vs_control_med
ssp585,2100,control,shipped MEAN driver,NaN,6.875669770189953,NaN,240,48.87792501366997,11.90549979976188,67.74473268633685,55.83923288657496,1.0
ssp585,2100,tant12,Coulon coldest,12.0,12.560114784969565,98.0,240,63.33130995145408,18.723553533232284,80.18086173885077,61.45730820561848,1.295703734021889
ssp585,2100,tant14,Coulon midpoint,14.5,14.717797779328674,99.4,240,82.84361641222056,23.95027954571881,102.03368914399589,78.08340959827707,1.6949086195670378
ssp585,2100,tant17,Coulon hottest,17.0,17.4174075521273,99.8,240,82.81653770548792,25.72730787963468,103.99229807893666,78.26499019930198,1.6943546126871412
ssp585,2150,control,shipped MEAN driver,NaN,6.875669770189953,NaN,240,121.62620053954655,36.991654296759314,152.07724149384188,115.08558719708256,1.0
ssp585,2150,tant12,Coulon coldest,12.0,12.560114784969565,98.0,240,152.17907820038562,46.44612988043071,181.25342472530622,134.8072948448755,1.2512030921405364
ssp585,2150,tant14,Coulon midpoint,14.5,14.717797779328674,99.4,240,183.9496781178205,54.86426071577779,229.43495363480534,174.57069291902755,1.5124181903389278
ssp585,2150,tant17,Coulon hottest,17.0,17.4174075521273,99.8,240,196.61704892489985,58.68354653532612,254.18347494216206,195.49992840683595,1.6165682069544725
ssp585,2300,control,shipped MEAN driver,NaN,6.875669770189953,NaN,240,363.9514656713732,114.06313388523495,432.3961230866486,318.3329892014136,1.0
ssp585,2300,tant12,Coulon coldest,12.0,12.560114784969565,98.0,240,523.529025068076,148.917817277315,720.8268666724405,571.9090493951255,1.4384583507648019
ssp585,2300,tant14,Coulon midpoint,14.5,14.717797779328674,99.4,240,630.6687498848794,174.39019018433447,1003.7742723716464,829.3840821873118,1.7328375054665563
ssp585,2300,tant17,Coulon hottest,17.0,17.4174075521273,99.8,240,756.3080522377627,197.2594200622114,1312.1872819663224,1114.927861904111,2.0780464528219937
