ssp,horizon,arm,n_draws,med_cm,p05_cm,p95_cm,spread_cm,fastdyn_med_cm,fastdyn_frac_of_med,fastdyn_frac_of_spread
ssp126,2100,lam0,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2100,n0p0,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2100,n0p25,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2100,n0p5,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2100,n1p0,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2100,n2p0,8,4.181206245375232,4.168406055924828,4.934363510551704,0.7659574546268759,0.0,0.0,0.0
ssp126,2150,lam0,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2150,n0p0,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2150,n0p25,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2150,n0p5,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2150,n1p0,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2150,n2p0,8,6.408378037246744,6.391722790683957,7.6014342929436385,1.2097115022596814,0.0,0.0,0.0
ssp126,2300,lam0,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp126,2300,n0p0,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp126,2300,n0p25,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp126,2300,n0p5,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp126,2300,n1p0,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp126,2300,n2p0,8,12.669291570939832,12.624405309905883,15.015837988904142,2.3914326789982585,0.0,0.0,0.0
ssp245,2100,lam0,8,4.9132040038454186,4.730652528151275,5.9676107578238,1.236958229672525,0.0,0.0,0.0
ssp245,2100,n0p0,8,5.397637609751614,4.730652528151275,40.254172101304476,35.5235195731532,0.0,0.0,0.9924531403115038
ssp245,2100,n0p25,8,5.397637609751614,4.730652528151275,20.42036394090594,15.689711412754665,0.0,0.0,0.9829129414297453
ssp245,2100,n0p5,8,5.397637609751614,4.730652528151275,12.034917353527252,7.304264825375977,0.0,0.0,0.9632966459637732
ssp245,2100,n1p0,8,5.397637609751614,4.730652528151275,6.577846323422342,1.8471937952710675,0.0,0.0,0.8548657869323387
ssp245,2100,n2p0,8,4.959582647085282,4.730652528151275,5.9676107578238,1.236958229672525,0.0,0.0,0.07498821241868811
ssp245,2150,lam0,8,8.749028561265806,8.149560171265485,10.925460127755322,2.7758999564898375,0.0,0.0,0.0
ssp245,2150,n0p0,8,36.36661431561963,8.474579554078492,103.95014784220749,95.475568288129,26.829104166109225,0.7377399483290915,0.994250906025318
ssp245,2150,n0p25,8,18.704310682136505,8.474579554078492,59.14901579533136,50.67443624125286,9.166800532626102,0.49009026252867083,0.9891681475890247
ssp245,2150,n0p5,8,12.789628412800504,8.474579554078492,36.24831423533196,27.77373468125347,3.2521182632900993,0.2542777755790947,0.9802367949188655
ssp245,2150,n1p0,8,10.025549315407172,8.38355768951871,17.44930862643962,9.06575093692091,0.4425282336168781,0.04414004855941457,0.9294134723767569
ssp245,2150,n2p0,8,9.193593846456974,8.154222834839691,10.940242479233016,2.786019644393324,0.009722507525950164,0.00105753067715701,0.3191400937073972
ssp245,2300,lam0,8,21.03578238370969,18.82269906620125,26.95908386103127,8.136384794830022,0.0,0.0,0.0
ssp245,2300,n0p0,8,158.73733327602116,19.9888007626588,288.0850540523934,268.0962532897346,135.8464418124049,0.8557939018427861,0.9921895094899412
ssp245,2300,n0p25,8,86.25121168755463,19.9888007626588,182.26561629552268,162.27681553286388,63.360320223938366,0.7346020882983232,0.9870963499300508
ssp245,2300,n0p5,8,53.111694516237364,19.9888007626588,120.06564758370604,100.07684682104724,30.220803052621108,0.5690046858396124,0.9790764466645706
ssp245,2300,n1p0,8,30.03686989454085,19.9888007626588,59.724684793311646,39.73588403065284,7.1459784309245915,0.23790689429404763,0.9473029657403251
ssp245,2300,n2p0,8,23.812895168976617,19.00608361460863,27.94430354166456,8.938219927055929,0.43064513133526994,0.018084534798452956,0.6557837673205087
ssp585,2100,lam0,8,7.100000664538882,6.1626496493205565,9.064003785705639,2.9013541363850823,0.0,0.0,0.0
ssp585,2100,n0p0,8,45.51722462838985,21.57544583357826,65.61324979385627,44.03780396027801,37.68443724168155,0.8279159713568551,0.9673966328261663
ssp585,2100,n0p25,8,29.72294796323511,15.443638492618778,46.16286131191263,30.71922281929385,21.89016057652681,0.7364734010772812,0.9532611648252874
ssp585,2100,n0p5,8,21.271068948220275,12.00344376143178,34.45983550892409,22.456391747492304,13.438281561511975,0.6317633398784286,0.93606360682559
ssp585,2100,n1p0,8,13.472422417520342,8.673278886055495,21.79857957854219,13.125300692486693,5.63963503081204,0.4186058643379473,0.8906096914893441
ssp585,2100,n2p0,8,9.125666003594233,6.7157103561396205,12.367000136851924,5.651289780712304,1.377843564745734,0.15098553510538923,0.7760067443989587
ssp585,2150,lam0,8,18.736746179020138,13.755523886421578,25.161704988023022,11.406181101601444,0.0,0.0,0.0
ssp585,2150,n0p0,8,125.07484860870889,49.480583856154226,138.02611572295325,88.54553186679902,104.55184578100997,0.8359142301110896,0.9115294963044753
ssp585,2150,n0p25,8,96.89701174489323,40.19188872772957,114.28167417413657,74.089785446407,76.37400891719429,0.7881977735110023,0.8942679107916927
ssp585,2150,n0p5,8,78.6647247326228,34.085130766571034,98.52547362313393,64.44034285656289,58.14172190492388,0.7391079305564786,0.8784353487739702
ssp585,2150,n1p0,8,56.943273385352185,26.63100861910938,78.64682133096109,52.01581271185171,36.420270557653254,0.6395886360656925,0.8493983387774894
ssp585,2150,n2p0,8,37.728127676385775,19.705308518434443,58.05162438557859,38.34631586714415,17.205124848686843,0.45602911960710996,0.795712635566227
ssp585,2300,lam0,8,75.85383475291444,45.507652866669744,105.19061955545817,59.682966688788426,0.0,0.0,0.0
ssp585,2300,n0p0,8,359.7576493117083,138.39872559218273,395.83596260258594,257.43723701040324,259.9578849045828,0.7225916819334812,0.9541981279891928
ssp585,2300,n0p25,8,333.50622339568906,126.91684881574405,355.5505362363481,228.63368742060402,242.23514102975182,0.7263286980475668,0.8738223059418535
ssp585,2300,n0p5,8,306.1453864970787,118.52522811340361,345.87447899253897,227.34925087913535,224.90069659583156,0.7346205643310507,0.7849068945552837
ssp585,2300,n1p0,8,268.48449056390814,106.57578446540913,337.5863080708236,231.01052360541445,187.23980066266103,0.6973952211146133,0.7883158930211742
ssp585,2300,n2p0,8,226.3047654191999,91.60399301751899,340.7413602301647,249.1373672126457,145.06007551795278,0.6409943478178554,0.8037176962282638
