family,arm_mid,arm_high,amp_mid,amp_high,n_pass,n_base_surviving,frac_base_surviving,leak_cells_all,leak_max_all_m,leak_cells_among_passers,leak_max_among_passers_m
RANGE,lo,lo,1.6791020391841882,1.8404063248499836,90,3,0.05084745762711865,144,0.2801154087897824,0,0.0
RANGE,lo,mean,1.6791020391841882,2.827785079541622,172,44,0.7457627118644068,144,0.2801154087897824,0,0.0
RANGE,lo,hi,1.6791020391841882,4.056236259495035,139,39,0.6610169491525424,144,0.2801154087897824,0,0.0
RANGE,mean,lo,2.359081851790682,1.8404063248499836,28,12,0.2033898305084746,288,1.9324459404234648,0,0.0
RANGE,mean,mean,2.359081851790682,2.827785079541622,59,59,1.0,288,1.9324459404234648,0,0.0
RANGE,mean,hi,2.359081851790682,4.056236259495035,60,38,0.6440677966101694,288,1.9324459404234648,0,0.0
RANGE,hi,lo,2.981694853057572,1.8404063248499836,2,0,0.0,432,3.085999225201426,0,0.0
RANGE,hi,mean,2.981694853057572,2.827785079541622,20,20,0.3389830508474576,432,3.085999225201426,0,0.0
RANGE,hi,hi,2.981694853057572,4.056236259495035,24,9,0.15254237288135594,432,3.085999225201426,0,0.0
SIGMA,-1sd,-1sd,1.8257556708150369,1.9072553369537038,69,9,0.15254237288135594,144,0.6310128114896822,0,0.0
SIGMA,-1sd,mean,1.8257556708150369,2.827785079541622,129,53,0.8983050847457628,144,0.6310128114896822,0,0.0
SIGMA,-1sd,+1sd,1.8257556708150369,3.7483148221295406,114,43,0.7288135593220338,144,0.6310128114896822,0,0.0
SIGMA,mean,-1sd,2.359081851790682,1.9072553369537038,31,13,0.22033898305084745,288,1.9324459404234648,0,0.0
SIGMA,mean,mean,2.359081851790682,2.827785079541622,59,59,1.0,288,1.9324459404234648,0,0.0
SIGMA,mean,+1sd,2.359081851790682,3.7483148221295406,59,39,0.6610169491525424,288,1.9324459404234648,0,0.0
SIGMA,+1sd,-1sd,2.8924080327663275,1.9072553369537038,5,1,0.01694915254237288,432,3.072980470167228,0,0.0
SIGMA,+1sd,mean,2.8924080327663275,2.827785079541622,31,30,0.5084745762711864,432,3.072980470167228,0,0.0
SIGMA,+1sd,+1sd,2.8924080327663275,3.7483148221295406,37,18,0.3050847457627119,432,3.072980470167228,0,0.0
ANCHOR,cmip6,cmip6,1.7069120856616535,1.911124708373411,82,4,0.06779661016949153,144,0.34587696778671867,0,0.0
ANCHOR,cmip6,mean,1.7069120856616535,2.827785079541622,162,46,0.7796610169491526,144,0.34587696778671867,0,0.0
ANCHOR,mean,cmip6,2.359081851790682,1.911124708373411,31,13,0.22033898305084745,288,1.9324459404234648,0,0.0
ANCHOR,mean,mean,2.359081851790682,2.827785079541622,59,59,1.0,288,1.9324459404234648,0,0.0
