tag,choices,t_on_mid,t_on_high,v_tot,mid_share,tau,v_mid,v_high,t_on_mid_zone,t_on_high_zone,w_mid_zone,w_high_zone,m2300_SSP1-2.6,dorm2300_SSP1-2.6,dorm2100_SSP1-2.6,in_band_SSP1-2.6,m2300_SSP2-4.5,dorm2300_SSP2-4.5,dorm2100_SSP2-4.5,in_band_SSP2-4.5,m2300_SSP5-8.5,dorm2300_SSP5-8.5,dorm2100_SSP5-8.5,in_band_SSP5-8.5,g4_2100_cm,g4_rel_to_ref,keeps_2100,ratio_585_over_245,within_inventory,all_pass
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.0,50,0.0,1.5,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.9282452285621348,1.4593644959242453,0.0,True,8.067567299094108,1.0,True,11.212947683051762,True,True
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.0,100,0.0,1.5,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.7205890600355147,1.2517083273976253,0.0,False,8.067567299094108,1.0,True,10.005405343902165,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.0,200,0.0,1.5,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.3577430779726565,0.888862345334767,0.0,False,8.067567299094108,1.0,True,7.8954180074313545,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.0,400,0.0,1.5,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.0110960770718413,0.5422153444339519,0.0,False,8.067567299094108,1.0,True,5.879629440701142,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.3,50,0.44999999999999996,1.0499999999999998,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.44802965826706376,0.2760637057747807,0.020713166811830486,False,1.9363406457497856,1.4674599131118962,0.21715678487770904,True,29.783245786865013,3.6917257312758105,False,4.321902825003522,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.3,100,0.44999999999999996,1.0499999999999998,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.40745956044193843,0.2354936079496554,0.0110600624249394,False,1.7517199832268586,1.2828392505889692,0.12639435880604505,True,20.707003179698614,2.5666972969687856,False,4.299125982777063,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.3,200,0.44999999999999996,1.0499999999999998,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.3391251888305672,0.1671592363382841,0.005718668808254349,False,1.4010611076617403,0.9321803750238509,0.06842135956710936,False,14.909703255805045,1.8481039826564853,False,4.13139794331743,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.3,400,0.44999999999999996,1.0499999999999998,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.27411538630566723,0.10214943381338415,0.0029081916209482287,False,1.0472592259066444,0.578378493268755,0.0356276383956955,False,11.630331138663658,1.4416156330012402,False,3.8205050800717957,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.5,50,0.75,0.75,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.6320721287835842,0.4601061762913012,0.03452194468638415,False,1.941737590541553,1.4728568579036636,0.3619279747961818,True,44.26036477871229,5.486209552126351,False,3.0720190024489855,True,False
L12,"mid=central, high=north, amp=full, W=gmt_equivalent, calibrator=NO",2.5,5.0,1.5,0.5,100,0.75,0.75,5.385388793471403,13.54638936813359,2.112807891676815,2.7474600671715113,0.09179890893615683,0.0,0.0,True,0.5644552990750421,0.392489346582759,0.018433437374899,False,1.772473932021088,1.3035931993831986,0.21065726467674178,True,29.133293766768286,3.6111621616146428,False,3.1401493349882514,True,False
