quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,k_c,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
g1_scale,high,0.2265243789188759,0.2265,2.4378918875883615e-05,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,south,0.8180051182932474,0.818,5.118293247452499e-06,0.001,2002-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,mid,0.0,0.0,0.0,0.001,2002-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,high,0.18199488170675268,0.182,5.118293247313721e-06,0.001,2002-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,south,0.7878389594023743,0.788,0.00016104059762578338,0.001,2012-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,mid,0.0,0.0,0.0,0.001,2012-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_share,high,0.21216104059762575,0.212,0.00016104059762575562,0.001,2012-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_inertness,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP1-2.6,4.0,False,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP2-4.5,4.0,False,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP5-8.5,4.0,False,2088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP1-2.6,4.69,False,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP2-4.5,4.69,False,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
