ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp126,glaciers,2100,fixed,8000,8.184735105762352,8.223104346737246,6.311687206277102,10.262087052948024,3.950399846670922,1.0,1.0
ssp126,glaciers,2100,joint,8000,7.3757308897260945,7.553510701355789,5.278567672287313,10.523528876032945,5.244961203745632,1.3277038799415866,0.9011569457554358
ssp126,glaciers,2150,fixed,8000,10.166601168658007,10.209136087883275,7.898559236895088,12.682523471087704,4.783964234192616,1.0,1.0
ssp126,glaciers,2150,joint,8000,8.78582715209988,9.066749035582209,6.202977564448671,12.957794240640064,6.7548166761913935,1.4119705636410127,0.8641852873293752
ssp126,glaciers,2300,fixed,8000,12.935112979181998,13.012900006917821,10.124715601710504,16.155771572462374,6.03105597075187,1.0,1.0
ssp126,glaciers,2300,joint,8000,10.660014978266775,11.082145023377237,7.384032611014422,16.24639623742504,8.862363626410616,1.469454713965418,0.8241145628509927
ssp126,gis,2100,fixed,8000,6.77642731998642,6.777614175018949,6.033489186670149,7.529925496974243,1.4964363103040936,1.0,1.0
ssp126,gis,2100,joint,8000,5.963177212192571,6.150012481777374,4.640906213986033,8.350085703464762,3.7091794894787293,2.4786751457033143,0.8799883671156266
ssp126,gis,2150,fixed,8000,8.326259259937702,8.350061545993002,7.2372387871878034,9.519428319410155,2.2821895322223513,1.0,1.0
ssp126,gis,2150,joint,8000,6.905061362914413,7.193388078210579,5.008274940997908,10.433806547202556,5.425531606204648,2.377336119371896,0.8293113566783263
ssp126,gis,2300,fixed,8000,10.496490923695685,10.584572498181894,8.694402038469097,12.769759263149691,4.0753572246805945,1.0,1.0
ssp126,gis,2300,joint,8000,8.06336731035983,8.49054305573659,5.049264485656923,13.531546060387265,8.482281574730344,2.0813590335986167,0.7681964733715806
ssp126,ais,2100,fixed,8000,4.932442668156801,6.514914878131498,3.908081921034038,6.248334593665079,2.3402526726310406,1.0,1.0
ssp126,ais,2100,joint,8000,4.431368405818484,7.235193235585573,3.48162380894915,28.185483904389457,24.70386009544031,10.556065327624163,0.8984125521471974
ssp126,ais,2150,fixed,8000,7.690255540070858,9.980576701885823,6.001888083743439,9.799986164995712,3.798098081252273,1.0,1.0
ssp126,ais,2150,joint,8000,6.611040719149472,11.356435260017385,5.112896529028515,39.25587399943092,34.1429774704024,8.989493356934348,0.859664634640809
ssp126,ais,2300,fixed,8000,15.457689962133937,18.768840705370245,11.96689595504522,19.674296834690235,7.707400879645014,1.0,1.0
ssp126,ais,2300,joint,8000,12.421542729322727,22.382083775774557,9.486225351039694,66.56480658875968,57.07858123771999,7.405684760534851,0.8035833788716985
ssp126,te,2100,fixed,8000,16.377507456333838,16.3246440637374,14.79468116289449,17.646657601950924,2.8519764390564344,1.0,1.0
ssp126,te,2100,joint,8000,10.958592337597205,11.285625048728152,6.253366151580413,17.62679337759453,11.373427226014119,3.9879106539102316,0.6691245518779525
ssp126,te,2150,fixed,8000,20.481091444792767,20.414982485249546,18.501668743042373,22.068242618978474,3.5665738759361005,1.0,1.0
ssp126,te,2150,joint,8000,13.101846213180133,13.822836590714912,7.187120026036735,23.088725231944284,15.90160520590755,4.4585099759734925,0.6397044927266913
ssp126,te,2300,fixed,8000,26.77565341851113,26.689226843376737,24.1878842864966,28.85059214320414,4.662707856707538,1.0,1.0
ssp126,te,2300,joint,8000,17.88932972174301,19.686447382031766,9.81473102596314,35.36804896933787,25.55331794337473,5.480360067297591,0.6681192590196647
ssp126,lws,2100,fixed,8000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
ssp126,lws,2100,joint,8000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
ssp126,lws,2150,fixed,8000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
ssp126,lws,2150,joint,8000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
ssp126,lws,2300,fixed,8000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
ssp126,lws,2300,joint,8000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
ssp126,total,2100,fixed,8000,38.904505499036745,40.43665811370862,36.08615048676565,42.85770543550285,6.771554948737197,1.0,1.0
ssp126,total,2100,joint,8000,31.222465464984104,34.82072211753042,24.191394609192557,61.79510160398865,37.60370699479609,5.553186421651747,0.8025411212528368
ssp126,total,2150,fixed,8000,50.94222137848911,53.185555467931884,47.253260521329835,56.04084674813959,8.787586226809758,1.0,1.0
ssp126,total,2150,joint,8000,39.524383691557844,45.67020761144532,30.02014261229958,81.42411262989339,51.40397001759381,5.849612019824867,0.7758669061150802
ssp126,total,2300,fixed,8000,74.27398876872898,77.53915613116281,68.72572946220772,81.67753297613046,12.95180351392274,1.0,1.0
ssp126,total,2300,joint,8000,57.6247983317151,70.12483531423628,42.45242482177395,125.90062092885871,83.44819610708475,6.442978849808895,0.7758409005223162
