ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,glaciers,2100,fixed,2000,9.82190298568629,9.851003634323598,7.6523197492065,12.146502794880968,4.494183045674468,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2100,joint,2000,9.765947677868668,9.968938857884682,7.153272104415928,13.711785625328819,6.558513520912891,1.4593338665244813,0.9943030074824435,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,fixed,2000,13.784361483943847,13.801021478761497,10.889932755350905,16.722821708573594,5.832888953222689,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,joint,2000,13.309015396971803,13.637158416876435,9.660439724752967,18.75487252855214,9.094432803799174,1.5591643997910285,0.9655155527134331,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,fixed,2000,18.942895915628547,19.028540487724644,15.029303460066487,23.019479401801522,7.9901759417350355,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,joint,2000,18.019496510945572,18.35482884771382,12.867591611085551,24.81189682452167,11.94430521343612,1.4948738676763682,0.9512535248678035,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,fixed,2000,8.472526902499293,8.486635439670497,7.448917602655351,9.536418017851192,2.0875004151958407,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,joint,2000,8.302779875540427,8.633195558259567,6.5944198219589,11.983476848821049,5.389057026862148,2.5815836910176464,0.9799650058462732,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,fixed,2000,12.46908976136943,12.506554244707448,10.651749406666339,14.483590964300843,3.8318415576345046,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,joint,2000,11.867547361189471,12.612050294736207,8.829353327519872,19.32258371190212,10.493230384382247,2.7384301324974385,0.9517573125470954,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2300,fixed,2000,18.64416427639965,18.870904753265137,15.045025415537433,23.37883198464885,8.333806569111418,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2300,joint,2000,17.121148938885383,19.764402269394513,11.326616283147368,36.90709589319467,25.580479610047306,3.069483242490807,0.9183114182574467,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2100,fixed,2000,10.89790422473925,20.38818264309867,4.452608428109277,58.666746084132996,54.214137656023716,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2100,joint,2000,14.2583489861432,24.90876612666901,4.148290545083245,71.9154780398154,67.76718749473216,1.2499910618278103,1.3083569732403622,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2150,fixed,2000,53.016918718317214,54.82736492081012,8.104344369520058,125.39407290725374,117.28972853773368,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
