ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,glaciers,2100,fixed,2000,9.935167246971123,9.948770785314055,8.674978328211623,11.363680214499922,2.6887018862882996,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2100,joint,2000,9.858896522902537,10.063498614507443,7.818018435589046,13.119725186347289,5.3017067507582425,1.97184625703415,0.9923231565032952,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,fixed,2000,13.748793785071404,13.80075231672566,11.823389776196466,15.943295160090114,4.119905383893649,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,joint,2000,13.377115432423341,13.647267173268464,10.337892312607394,18.22758206374306,7.889689751135666,1.9150172190797408,0.9729664755717236,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,fixed,2000,18.71641777258395,18.791438837720353,15.736694596602092,22.138115679577464,6.4014210829753715,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,joint,2000,17.772734489420323,18.15944838699045,13.342079359764988,24.445338302272916,11.103258942507928,1.734499074281667,0.9495799199061508,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,fixed,2000,7.485523297245688,7.486896617512578,5.983050949335036,8.978139927224436,2.9950889778894005,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,joint,2000,7.439544485147596,7.604723574051487,5.655494150859,10.233812624747005,4.578318473888005,1.528608501345521,0.9938576355623647,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,fixed,2000,11.54836164743772,11.5718152388585,8.647766517225307,14.448046747678243,5.800280230452936,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,joint,2000,11.235991743413768,11.704242299024568,7.977331737093299,17.257114066117648,9.27978232902435,1.5998851711169315,0.9729511498201775,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2300,fixed,2000,19.183186787828447,19.296889161973414,13.010004517762978,26.188130229883967,13.17812571212099,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
