ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp245,glaciers,2100,fixed,2000,9.888511169162989,9.922243701944984,7.733600624873574,12.38431242802133,4.650711803147756,1.0,1.0
ssp245,glaciers,2100,joint,2000,9.691501473012291,9.910191786515714,6.877480529671847,13.72119740011244,6.843716870440592,1.4715418112574807,0.980076910185927
ssp245,glaciers,2150,fixed,2000,13.85434724821736,13.888481594362146,11.001594165947305,17.050105684655747,6.048511518708443,1.0,1.0
ssp245,glaciers,2150,joint,2000,13.451893104793125,13.769384559373632,9.417251783891848,19.23479573298868,9.817543949096832,1.6231338766125392,0.9709510570066
ssp245,glaciers,2300,fixed,2000,18.926023697031574,18.987733736870094,15.008322373341768,23.05713045861611,8.048808085274343,1.0,1.0
ssp245,glaciers,2300,joint,2000,18.24086894554503,18.55069837494454,12.604003795220544,25.730284110445023,13.126280315224479,1.6308352958793488,0.9637982725555815
ssp245,gis,2100,fixed,2000,8.457526862872761,8.466247353142496,7.420725822562511,9.567758037389753,2.1470322148272425,1.0,1.0
ssp245,gis,2100,joint,2000,8.245756549693017,8.571724159209957,6.235588687840629,12.103054070242656,5.8674653824020275,2.732825964082772,0.9749607282822377
ssp245,gis,2150,fixed,2000,12.398610016549604,12.429860606871221,10.566751020547954,14.429173320969367,3.8624223004214127,1.0,1.0
ssp245,gis,2150,joint,2000,11.93796401138504,12.709531584276016,8.534405880683575,19.437963843742864,10.903557963059288,2.8229844162482305,0.9628469639298521
ssp245,gis,2300,fixed,2000,18.098960347528056,18.1977730090537,14.560879528938957,22.21558642195924,7.654706893020284,1.0,1.0
ssp245,gis,2300,joint,2000,16.856288463171744,18.573094455299245,10.804114693502912,31.569698015043016,20.765583321540106,2.7127862126862863,0.9313401510089481
ssp245,ais,2100,fixed,2000,13.572387085079189,20.601119904390277,4.792818704099083,54.30807205357606,49.51525334947698,1.0,1.0
ssp245,ais,2100,joint,2000,11.356652393859893,21.46993941857667,4.211106054617156,63.84392258907144,59.632816534454285,1.2043322511866776,0.8367468686731485
ssp245,ais,2150,fixed,2000,59.233525090072135,58.44450181103304,8.854067616719824,122.3562027585327,113.50213514181289,1.0,1.0
ssp245,ais,2150,joint,2000,50.964306863354324,54.45346362314069,7.103480440399957,132.19316798596165,125.08968754556169,1.1020910522015377,0.860396317555921
ssp245,ais,2300,fixed,2000,194.9366323069683,190.58968640120943,22.729750619002036,333.385780311666,310.65602969266394,1.0,1.0
ssp245,ais,2300,joint,2000,171.53698946738098,160.82953138655245,15.172870709299833,348.0676232612618,332.894752551962,1.0715863229221692,0.8799628240076512
ssp245,te,2100,fixed,2000,17.95713824430794,17.88215459717585,16.421065660110273,19.151641840623306,2.730576180513033,1.0,1.0
ssp245,te,2100,joint,2000,17.791469209582665,17.860238169565914,11.884015205975862,23.640275213970362,11.7562600079945,4.3054136675965875,0.9907741961736142
ssp245,te,2150,fixed,2000,26.570529501942058,26.459578904960495,24.297658326130634,28.33799337142213,4.040335045291496,1.0,1.0
ssp245,te,2150,joint,2000,26.308578840529485,26.419162766623383,16.25426403611799,36.34903901902075,20.09477498290276,4.973541737911241,0.9901413081966083
ssp245,te,2300,fixed,2000,41.878327934098365,41.7034565419216,38.29601150169024,44.66406208863779,6.368050586947554,1.0,1.0
ssp245,te,2300,joint,2000,40.897039416001334,41.61374386179219,20.94424202164471,63.895428248123636,42.951186226478924,6.744793503135006,0.9765681065480639
ssp245,lws,2100,fixed,2000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
ssp245,lws,2100,joint,2000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
ssp245,lws,2150,fixed,2000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
ssp245,lws,2150,joint,2000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
ssp245,lws,2300,fixed,2000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
ssp245,lws,2300,joint,2000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
ssp245,total,2100,fixed,2000,52.634888538132195,59.46814620673712,42.13370085921888,93.29905104540876,51.16535018618988,1.0,1.0
ssp245,total,2100,joint,2000,51.578744773417384,60.40847418395178,34.77367776701578,109.03956867579285,74.26589090877707,1.4514879823655011,0.9799345302317934
ssp245,total,2150,fixed,2000,115.9311802056915,115.45322156414714,64.46030042403169,179.60450991012922,115.14420948609754,1.0,1.0
ssp245,total,2150,joint,2000,108.36933120798409,111.58234118033397,49.9347069611262,199.8109673051447,149.87626034401848,1.301639578863186,0.9347729490522674
ssp245,total,2300,fixed,2000,282.36193228020403,277.962265766371,110.78890111880935,423.03306754753464,312.2441664287253,1.0,1.0
ssp245,total,2300,joint,2000,261.57739540932687,248.05068415590458,76.92476828399664,454.7808972809551,377.8561289969585,1.2101303070563856,0.9263904425676919
