ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
vvLN,glaciers,2100,fixed,2000,7.983341680663728,8.024849358885932,6.143310165208304,9.96622435384206,3.8229141886337556,1.0,1.0
vvLN,glaciers,2100,joint,2000,7.835276501908689,8.037140438549176,5.565410133198519,11.245617876366193,5.680207743167674,1.485831871417884,0.981453232909514
vvLN,glaciers,2150,fixed,2000,9.372862440773037,9.400169082117012,7.198269935631856,11.643168370435703,4.4448984348038465,1.0,1.0
vvLN,glaciers,2150,joint,2000,9.124292651512985,9.412184807384692,6.417612480669508,13.374336240834687,6.956723760165179,1.5651029741632734,0.9734798423821153
vvLN,glaciers,2300,fixed,2000,9.568339363916056,9.604825454931968,7.365725488400518,11.91532615959556,4.5496006711950425,1.0,1.0
vvLN,glaciers,2300,joint,2000,9.302628202786446,9.58517794391942,6.424711525395079,13.723012801048277,7.298301275653198,1.6041630470693937,0.9722301696225726
vvLN,gis,2100,fixed,2000,6.67576143511614,6.683636042519104,5.950744581952426,7.4513540908006926,1.5006095088482665,1.0,1.0
vvLN,gis,2100,joint,2000,6.490541852469972,6.7321758917179855,5.064896817754649,9.166968189591902,4.102071371837253,2.7336034775533546,0.9722549128745274
vvLN,gis,2150,fixed,2000,7.552902849370566,7.575952668909309,6.514672042279046,8.75288921615374,2.238217173874694,1.0,1.0
vvLN,gis,2150,joint,2000,7.294758670897773,7.586770477213373,5.178681485669185,11.054754647050965,5.87607316138178,2.6253364642044117,0.9658218590095718
vvLN,gis,2300,fixed,2000,4.584075978926287,4.68363132909163,3.4165326915325167,6.21628111863437,2.7997484271018536,1.0,1.0
vvLN,gis,2300,joint,2000,4.497334844058241,4.757243415956118,2.294417190003746,7.956668446405761,5.662251256402015,2.0224143003674326,0.9810777274925614
vvLN,ais,2100,fixed,2000,4.709794235581148,6.4086939429701415,3.771657506416243,5.822476167064682,2.050818660648439,1.0,1.0
vvLN,ais,2100,joint,2000,4.5489702694066265,10.338224062394296,3.5431867054812067,55.119265564648195,51.57607885916699,25.14901968117424,0.9658532924942788
vvLN,ais,2150,fixed,2000,6.970512659547118,8.822732042627427,5.612756325335887,8.5864325672315,2.973676241895612,1.0,1.0
vvLN,ais,2150,joint,2000,6.663162795819419,15.18102682681183,5.133844589728664,80.98804064242665,75.85419605269799,25.50855906369405,0.9559071364275139
vvLN,ais,2300,fixed,2000,9.141507427832789,10.91824927919888,7.75960898695803,10.838104748777472,3.0784957618194415,1.0,1.0
vvLN,ais,2300,joint,2000,8.733415949680467,17.6816475435744,6.26018282404284,80.98709627393063,74.72691344988779,24.273839963230273,0.9553584043579266
vvLN,te,2100,fixed,2000,15.72504913199825,15.657171373676153,14.206647755389636,16.914873421282618,2.708225665892982,1.0,1.0
vvLN,te,2100,joint,2000,15.50236154918962,15.656012447884718,10.200791287336648,21.75496883779872,11.554177550462073,4.266327468930592,0.9858386717307298
vvLN,te,2150,fixed,2000,17.636934392594867,17.560803910572574,15.933922514153194,18.97142007544866,3.0374975612954653,1.0,1.0
vvLN,te,2150,joint,2000,17.30643475558272,17.559407108060544,10.522877874478956,25.599021874116165,15.076143999637209,4.963343573256194,0.9812609363024614
vvLN,te,2300,fixed,2000,8.23373509179266,8.19819386861698,7.43869053625175,8.85673460813839,1.4180440718866407,1.0,1.0
vvLN,te,2300,joint,2000,8.0558191884932,8.188907587861989,0.8318198803618608,16.381848116588973,15.550028236227112,10.965828597653198,0.978391835380178
vvLN,lws,2100,fixed,2000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
vvLN,lws,2100,joint,2000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
vvLN,lws,2150,fixed,2000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
vvLN,lws,2150,joint,2000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
vvLN,lws,2300,fixed,2000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
vvLN,lws,2300,joint,2000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
vvLN,total,2100,fixed,2000,37.72093457458447,39.37073136813486,35.0367374489342,41.34137874734906,6.3046412984148645,1.0,1.0
vvLN,total,2100,joint,2000,37.191242949329045,43.3599334906297,29.45428578585894,94.00784318728726,64.55355740142832,10.239053158767115,0.9859576219086491
vvLN,total,2150,fixed,2000,45.78936145733259,47.59045635114657,42.427630210356284,50.065842739708124,7.63821252935184,1.0,1.0
vvLN,total,2150,joint,2000,44.92575725085544,53.970187866390674,34.41614744280401,125.56826171444979,91.15211427164579,11.93369704251745,0.9811396320238737
vvLN,total,2300,fixed,2000,40.182582763589544,41.88851600915558,37.00865726096657,44.43728994986263,7.428632688896059,1.0,1.0
vvLN,total,2300,joint,2000,39.44977052053457,48.69659256862806,28.71612666477232,118.59399236382237,89.87786569905005,12.098843685378993,0.9817629382519684
