ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
vvM,glaciers,2100,fixed,8000,10.296806599073825,10.333708630063592,8.026913054408183,12.767735608719667,4.7408225543114835,1.0,1.0
vvM,glaciers,2100,joint,8000,10.110605764871112,10.3274986178259,7.213921102050945,14.19226200925444,6.978340907203496,1.4719683825451615,0.9819166425618345
vvM,glaciers,2150,fixed,8000,15.392458996205225,15.441233978002183,12.278761385913691,18.81774388112721,6.538982495213519,1.0,1.0
vvM,glaciers,2150,joint,8000,14.9773234190991,15.304577052649487,10.732674380097524,20.907155522124185,10.17448114202666,1.5559731425300949,0.9730299377631301
vvM,glaciers,2300,fixed,8000,22.292266177104473,22.355682882889518,17.901596584513467,27.06375695714035,9.162160372626882,1.0,1.0
vvM,glaciers,2300,joint,8000,21.61420832904092,21.80773454437642,15.706989198023532,28.566901442206696,12.859912244183164,1.4035895161368037,0.9695832697009531
vvM,gis,2100,fixed,8000,8.894898966635974,8.895175900086837,7.773155515563065,10.047003776958423,2.273848261395358,1.0,1.0
vvM,gis,2100,joint,8000,8.668337995784,9.019730435865043,6.779305080492323,12.339437211077541,5.5601321305852185,2.4452520535267452,0.9745291125057423
vvM,gis,2150,fixed,8000,14.748251741998494,14.77710114787209,12.489484603020081,17.176455380636718,4.6869707776166365,1.0,1.0
vvM,gis,2150,joint,8000,14.098663945584537,15.068832564828936,10.17722078131047,22.96535552859185,12.78813474728138,2.728443456134423,0.9559549289110566
vvM,gis,2300,fixed,8000,25.410808794689018,25.58461644514054,20.357606450234396,31.4273901612759,11.069783711041502,1.0,1.0
vvM,gis,2300,joint,8000,23.898346496407214,30.846797569752777,14.952673584008455,74.84703932547853,59.89436574147008,5.410617524688286,0.9404795687338408
vvM,ais,2100,fixed,8000,17.75683077605609,21.831748905382373,4.859047017318498,54.448143975921255,49.58909695860276,1.0,1.0
vvM,ais,2100,joint,8000,14.8941695209639,22.325584955631378,4.176089828373937,61.76256361394699,57.58647378557305,1.1612728869341287,0.8387853502015516
vvM,ais,2150,fixed,8000,67.43653106504544,69.97402752340972,22.41568841389307,123.76623266641003,101.35054425251697,1.0,1.0
vvM,ais,2150,joint,8000,63.27068537418563,63.92659165630254,7.8788409317895045,133.81879995645488,125.93995902466537,1.2426174911393013,0.9382256823554332
vvM,ais,2300,fixed,8000,225.6874224732826,230.41171719501097,126.75469108000736,350.25078133150623,223.49609025149886,1.0,1.0
vvM,ais,2300,joint,8000,215.19540249840614,213.31590714638253,21.594476490201743,366.4899439581194,344.8954674679177,1.543183449338236,0.9535108343216666
vvM,te,2100,fixed,8000,21.5089878076829,21.439560999613292,19.430222675806853,23.175794254328068,3.745571578521215,1.0,1.0
vvM,te,2100,joint,8000,21.23788387958865,21.436470423275587,14.605848883093355,29.039289456311387,14.433440573218032,3.8534680944253865,0.9873957840081432
vvM,te,2150,fixed,8000,34.78553304732501,34.673252146518834,31.423638297137273,37.48118526730345,6.057546970166179,1.0,1.0
vvM,te,2150,joint,8000,34.136862725426525,34.66728199685526,22.42374405144787,48.264321496752494,25.840577445304625,4.2658484651577915,0.9813522960531902
vvM,te,2300,fixed,8000,62.79998105409817,62.59727499138609,56.730592198379675,67.66657050991515,10.935978311535472,1.0,1.0
vvM,te,2300,joint,8000,60.889637760202866,62.578170388269996,35.97091596341355,93.41610873292292,57.44519276950937,5.252862719096208,0.9695805116207016
vvM,lws,2100,fixed,8000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
vvM,lws,2100,joint,8000,2.596380650083528,2.5963806500835225,2.596380650083528,2.596380650083528,0.0,NaN,1.0
vvM,lws,2150,fixed,8000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
vvM,lws,2150,joint,8000,4.2307986469202445,4.230798646920235,4.2307986469202445,4.2307986469202445,0.0,NaN,1.0
vvM,lws,2300,fixed,8000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
vvM,lws,2300,joint,8000,8.483616077316128,8.483616077316125,8.483616077316128,8.483616077316128,0.0,NaN,1.0
vvM,total,2100,fixed,8000,60.92704889647534,65.09657508522962,46.70640096381991,97.87607800038116,51.16967703656125,1.0,1.0
vvM,total,2100,joint,8000,58.44782582160373,65.70566508268143,38.81792855759215,112.47354854859945,73.65561999100731,1.439438828945112,0.9593083348073497
vvM,total,2150,fixed,8000,136.69648960245155,139.09641344272305,90.81701185468677,192.69433881330843,101.87732695862167,1.0,1.0
vvM,total,2150,joint,8000,132.7265068984532,133.19808191755646,63.51622293560718,215.38962487611298,151.8734019405058,1.4907478089034518,0.9709576835839452
vvM,total,2300,fixed,8000,345.2991012736653,349.4329075917433,245.4804070792018,469.4977044879012,224.01729740869942,1.0,1.0
vvM,total,2300,joint,8000,336.9511540175088,337.0322257260978,118.51504846630465,523.3622037124785,404.8471552461739,1.8072138175453776,0.975824011051971
