gate,key,value,verdict
PAIRING,configs_used,40.0,PASS
PAIRING,median_dgmst_bias_degC,0.5151092000000004,CHECK
CONTROL,glaciers_med_2100,0.004684244335532384,PASS
CONTROL,glaciers_med_2150,-0.7355910067546638,CHECK
CONTROL,glaciers_med_2300,-1.0826590289641373,CHECK
CONTROL,gis_med_2100,-0.3672811775009439,PASS
CONTROL,gis_med_2150,-1.2172844135601366,CHECK
CONTROL,gis_med_2300,-1.6281636136025952,CHECK
CONTROL,ais_med_2100,5.364135897003706,CHECK
CONTROL,ais_med_2150,12.104347845591874,CHECK
CONTROL,ais_med_2300,35.463746809238614,CHECK
CONTROL,te_med_2100,-0.3603318412022283,PASS
CONTROL,te_med_2150,-0.670236304499511,CHECK
CONTROL,te_med_2300,-1.35633386715935,CHECK
CONTROL,lws_med_2100,0.0,PASS
CONTROL,lws_med_2150,0.0,PASS
CONTROL,lws_med_2300,0.0,PASS
CONTROL,total_med_2100,6.787650805825024,CHECK
CONTROL,total_med_2150,13.772156620137139,CHECK
CONTROL,total_med_2300,29.95884903887179,CHECK
CALIB-MOVE,glaciers_max_cm,0.0,measured
CALIB-MOVE,gis_max_cm,0.0,measured
CALIB-MOVE,ais_max_cm,0.03646493199170875,measured
CALIB-MOVE,te_max_cm,1.006177686795576,measured
CALIB-MOVE,lws_max_cm,0.0,measured
CALIB-MOVE,total_max_cm,0.9902858022336041,measured
SUM,fixed_max_cm,1.1368683772161603e-13,PASS
SUM,joint_max_cm,2.2737367544323206e-13,PASS
